cohort,variant_id,systems,complete_systems,heldout_converged_roots,all_roots,equal_complete_system_RMS_arcsec,improvement_vs_scalar
P0581_four,scalar_control,4,4,11,True,22.514165987894383,0.0
P0581_four,fixed_support,4,4,11,True,22.490556761590422,0.0010486387244660333
P0581_four,width_minus_linear,4,4,11,True,22.52851690054829,-0.0006374170227589904
P0581_four,width_minus_rational,4,4,11,True,22.51637641382462,-9.817933879618934e-05
P0581_four,width_minus_even,4,4,11,True,22.497482783823525,0.0007410091974905386
P0581_four,width_plus_even,4,4,11,True,22.484512643481217,0.001317097174690418
P0581_four,width_plus_linear,4,4,11,True,22.466406837108963,0.002121293358639198
P0581_four,return_minus_linear,4,4,11,True,22.530573111416505,-0.0007287466713599144
P0581_four,return_minus_rational,4,4,11,True,22.523424525203026,-0.0004112316358342305
P0581_four,return_minus_even,4,4,11,True,22.499445396601956,0.0006538368465588418
P0581_four,return_plus_even,4,4,11,True,22.48220762909667,0.0014194777996616725
P0581_four,return_plus_linear,4,4,11,True,22.448854879466015,0.0029008895316613437
P0581_four,phase_hard_no_cross,4,4,11,True,22.53119252388548,-0.0007562587928084952
P0581_four,phase_tanh_no_cross,4,4,11,True,22.534754152554264,-0.0009144538008181158
P0581_four,phase_rational_no_cross,4,4,11,True,22.55579649442017,-0.0018490805543573963
P0581_four,joint_rational_narrow,4,4,11,True,22.561058085432727,-0.0020827819055593277
P0581_four,joint_even_narrow,4,4,11,True,22.507788193734484,0.000283279165807393
P0581_four,joint_even_wide,4,4,11,True,22.476682808428702,0.0016648708855497851
P0581_four,joint_width_narrow_return_wide,4,4,11,True,22.503025662816388,0.0004948140243785648
P0581_four,joint_width_wide_return_narrow,4,4,11,True,22.51548426020448,-5.8553015501727756e-05
RXJ2129,scalar_control,1,1,7,True,1.2561701083427703,0.0
RXJ2129,fixed_support,1,1,7,True,1.245798188893051,0.008256779381100476
RXJ2129,width_minus_linear,1,1,7,True,1.2538447793272034,0.0018511258945929088
RXJ2129,width_minus_rational,1,1,7,True,1.2519449079126441,0.0033635575325864364
RXJ2129,width_minus_even,1,1,7,True,1.2468633032348622,0.007408873245826841
RXJ2129,width_plus_even,1,1,7,True,1.2449677208440326,0.008917890518439942
RXJ2129,width_plus_linear,1,0,6,False,inf,-inf
RXJ2129,return_minus_linear,1,1,7,True,1.2411098099939852,0.011989059641495325
RXJ2129,return_minus_rational,1,1,7,True,1.241023254166622,0.012057964184588932
RXJ2129,return_minus_even,1,1,7,True,1.246075077919749,0.008036356187729576
RXJ2129,return_plus_even,1,1,7,True,1.251238488851514,0.003925916926778683
RXJ2129,return_plus_linear,1,1,7,True,1.266797731977812,-0.008460337946635699
RXJ2129,phase_hard_no_cross,1,1,7,True,1.236223799080424,0.015878668923798078
RXJ2129,phase_tanh_no_cross,1,1,7,True,1.2330436824800923,0.01841026602136553
RXJ2129,phase_rational_no_cross,1,1,7,True,1.2358621850350797,0.01616653920740263
RXJ2129,joint_rational_narrow,1,1,7,True,1.2508980613311356,0.004196921242290985
RXJ2129,joint_even_narrow,1,1,7,True,1.2473953914080937,0.006985293533415482
RXJ2129,joint_even_wide,1,1,7,True,1.2498982493243969,0.004992842113276996
RXJ2129,joint_width_narrow_return_wide,1,1,7,True,1.2584841276054983,-0.001842122533691537
RXJ2129,joint_width_wide_return_narrow,1,1,7,True,1.2401466144130497,0.012755831255099603
