system_label,variant_id,source_family,source_redshift,root_index,root_x_arcsec,root_y_arcsec,root_radius_arcsec,closure_arcsec,signed_jacobian_determinant,signed_magnification,parity,assigned,assigned_image_id,relative_to_faintest_assigned_abs_magnification,potentially_observable_surplus
RXJ2129,multipole_gated_routing_P0691,1,0.6786,0,-5.020658715580233,2.0500193322263245,5.423061238897587,5.551115123125783e-17,0.07983363930969586,12.526048024952674,positive,True,1a,2.51526948509061,False
RXJ2129,multipole_gated_routing_P0691,1,0.6786,1,-3.889195550345334,-0.635854163011159,3.9408314535697375,5.551115123125783e-17,-0.07357373680556245,-13.591806579605404,negative,True,1b,2.729277124663141,False
RXJ2129,multipole_gated_routing_P0691,1,0.6786,2,-0.7149857488457108,-5.70768786550689,5.752295662699116,5.551115123125783e-17,0.20080311683940819,4.98000238113708,positive,True,1c,1.0,False
RXJ2129,multipole_gated_routing_P0691,2,0.916,0,-6.075282327189691,10.299311762573016,11.957628449560485,9.930136612989092e-16,0.306584833341147,3.2617399533500966,positive,True,2a,1.0,False
RXJ2129,multipole_gated_routing_P0691,3,1.5194,0,-1.3189915132328376,8.736609863659039,8.835614892115018,2.498001805406602e-16,0.14128496300110174,7.077894057219678,positive,True,3a,2.701460512746776,False
RXJ2129,multipole_gated_routing_P0691,3,1.5194,1,1.4398439338988231,4.446171817514744,4.673499158537167,2.498001805406602e-16,-0.18066796490342663,-5.535015576970356,negative,True,3c,2.112581213810565,False
RXJ2129,multipole_gated_routing_P0691,3,1.5194,2,7.290878724262491,-12.459701946480111,14.436103531321177,5.095246377785861e-16,0.3816757485923656,2.620024991600953,positive,True,3d,1.0,False
RXJ2129,multipole_gated_routing_P0691,4,1.5202,0,-2.570107045902167,11.161328437611687,11.453414456817464,0.0,0.2352580091090941,4.250652310571407,positive,True,4a,1.4255054066930783,False
RXJ2129,multipole_gated_routing_P0691,4,1.5202,1,2.3401684843546438,3.297590880329716,4.043574427310621,0.0,-0.24639782864038962,-4.058477323107708,negative,True,4b,1.3610573023446302,False
RXJ2129,multipole_gated_routing_P0691,4,1.5202,2,6.6949991086386875,-10.764799327257691,12.676904891210649,4.440892098500626e-16,0.3353615639528631,2.981856323107306,positive,True,4c,1.0,False
RXJ2129,multipole_gated_routing_P0691,5,1.521,0,5.60055374169582,13.391774398522365,14.515709550502246,0.0,0.15832193980282752,6.3162439851696455,positive,True,5a,1.0,False
RXJ2129,multipole_gated_routing_P0691,5,1.521,1,11.27645265326086,3.007623720043153,11.67065486091505,0.0,-0.036475557101467986,-27.4156196495695,negative,True,5b,4.340494083816358,False
RXJ2129,multipole_gated_routing_P0691,5,1.521,2,11.794699737986646,1.488412649391056,11.888242684439511,0.0,0.0368313222350359,27.15080369959532,positive,True,5c,4.298567908925716,False
RXJ2129,multipole_gated_routing_P0691,6,3.0815,0,-9.646141977420646,18.648056449306974,20.99519145864348,4.440892098500626e-16,0.4513960829026145,2.2153493082387756,positive,True,6a,1.0,False
RXJ2129,multipole_gated_routing_P0691,7,3.427,0,-7.1024553672745006,-1.6376111791246866,7.288802550359044,2.220446049250313e-16,-0.3004916013886341,-3.3278800318504485,negative,True,7b,1.2035183496874025,False
RXJ2129,multipole_gated_routing_P0691,7,3.427,1,-10.8195512729283,10.362069556194616,14.981160677161823,6.661338147750939e-16,0.2578891144512307,3.8776355571576855,positive,True,7a,1.4023358720189978,False
RXJ2129,multipole_gated_routing_P0691,7,3.427,2,1.465721179042874,-15.948055861335172,16.015268475144648,6.661338147750939e-16,0.3616471561981737,2.765126126007817,positive,True,7c,1.0,False
