system,redshift,catalog_rows,f160w_5sigma_detections,hard_photoz_members,hard_photoz_f160w_5sigma_members,soft_membership_sum,hst_shape,hst_finite_fraction,hst_infinite_pixels,segmentation_catalog_match_fraction,segmentation_positive_pixels,chandra_observations,chandra_exposure_ks,chandra_counts,all_chandra_images_valid
AS295,0.3,2931,820,265,130,483.6354366153693,5000x5000,0.198622,0,1.0,1403407,6,205.70087611425748,111542,True
MACS0025,0.586,2591,884,273,195,501.87600000082426,5000x5000,0.19871916,0,0.9992280972597453,770145,5,157.553522425917,57305,True
MACS0159,0.405,2865,810,240,97,517.524082473026,5500x5500,0.16406452892561985,0,0.9989528795811519,974669,3,72.71126508642,51659,True
PLCKG287,0.39,3633,842,452,146,781.1173490515189,5200x5200,0.18361967455621303,0,0.9997247453894853,2165037,5,196.402529274865,133501,True
