system,obsid,filename,shape,exposure_s,counts,positive_pixels,valid
AS295,12260,acisf12260N002_cntr_img2.fits.gz,1025x1024,19794.940681493,13464,12967,True
AS295,16127,acisf16127N002_cntr_img2.fits.gz,1024x1024,43321.334262554,22390,20709,True
AS295,16282,acisf16282N003_cntr_img2.fits.gz,1024x1024,9025.5139119635,5404,5294,True
AS295,16524,acisf16524N003_cntr_img2.fits.gz,1025x1024,44601.214979961,24593,22902,True
AS295,16525,acisf16525N003_cntr_img2.fits.gz,1024x1024,44478.915921634,24820,22965,True
AS295,16526,acisf16526N002_cntr_img2.fits.gz,1025x1024,44478.956356652,20871,19313,True
MACS0025,3251,acisf03251N004_cntr_img2.fits.gz,1025x1024,19326.756641816,5884,5707,True
MACS0025,5010,acisf05010N009_cntr_img2.fits.gz,1025x1025,24827.249671577,7750,7517,True
MACS0025,10413,acisf10413N004_cntr_img2.fits.gz,1025x1024,75639.253956528,29046,27454,True
MACS0025,10786,acisf10786N004_cntr_img2.fits.gz,1025x1024,13908.469913148,5410,5310,True
MACS0025,10797,acisf10797N003_cntr_img2.fits.gz,1024x1024,23851.792242848,9215,8904,True
MACS0159,3265,acisf03265N004_cntr_img2.fits.gz,1025x1024,17901.031466117,12609,10743,True
MACS0159,6106,acisf06106N004_cntr_img2.fits.gz,1024x1025,35303.046499771,24809,20310,True
MACS0159,9376,acisf09376N003_cntr_img2.fits.gz,1024x1024,19507.187120532,14241,12443,True
PLCKG287,17165,acisf17165N002_cntr_img2.fits.gz,1024x1025,55346.206126457,38104,35867,True
PLCKG287,17166,acisf17166N002_cntr_img2.fits.gz,1024x1024,20842.799283933,14386,14016,True
PLCKG287,17494,acisf17494N002_cntr_img2.fits.gz,1024x1025,59286.837275424,39607,37166,True
PLCKG287,17495,acisf17495N002_cntr_img2.fits.gz,1024x1024,32228.611845131,22031,21302,True
PLCKG287,18807,acisf18807N002_cntr_img2.fits.gz,1024x1024,28698.07474392,19373,18791,True
