k_hMpc,k_1_per_m,a,mu,D,f
1.000000000000000048e-04,2.268545502611055538e-27,1.000000000000000194e-01,1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00
1.000000000000000048e-04,2.268545502611055538e-27,1.001920663025713809e-01,1.000000000000000000e+00,1.001920644928748910e-01,9.999811775479657827e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.003845014997885171e-01,1.000000000000000000e+00,1.003844942501462001e-01,9.999623786797824376e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.005773063001738493e-01,1.000000000000000000e+00,1.005772899639345158e-01,9.999436028105088692e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.007704814136104465e-01,1.000000000000000000e+00,1.007704523275645553e-01,9.999248493734212984e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.009640275513448843e-01,1.000000000000000000e+00,1.009639820355671680e-01,9.999061177885376628e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.011579454259898675e-01,1.000000000000000000e+00,1.011578797836789612e-01,9.998874074756139985e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.013522357515267147e-01,1.000000000000000000e+00,1.013521462688459357e-01,9.998687178648039131e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.015468992433080225e-01,1.000000000000000000e+00,1.015467821892243466e-01,9.998500483817189810e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.017419366180605106e-01,1.000000000000000000e+00,1.017417882441829929e-01,9.998313984591520320e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.019373485938872975e-01,1.000000000000000000e+00,1.019371651343039392e-01,9.998127675153641869e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.021331358902708569e-01,1.000000000000000000e+00,1.021329135613829320e-01,9.997941549736942823e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.023292992280754321e-01,1.000000000000000000e+00,1.023290342284317311e-01,9.997755602657978358e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.025258393295499643e-01,1.000000000000000000e+00,1.025255278396810660e-01,9.997569828191791297e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.027227569183304795e-01,1.000000000000000000e+00,1.027223951005801217e-01,9.997384220567676616e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.029200527194428227e-01,1.000000000000000000e+00,1.029196367177992177e-01,9.997198774120392706e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.031177274593055443e-01,1.000000000000000000e+00,1.031172533992307239e-01,9.997013483060903649e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.033157818657322452e-01,1.000000000000000000e+00,1.033152458539906421e-01,9.996828341707691967e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.035142166679343945e-01,1.000000000000000000e+00,1.035136147924200362e-01,9.996643344267697184e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.037130325965241878e-01,1.000000000000000000e+00,1.037123609260853091e-01,9.996458485019302787e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.039122303835169625e-01,1.000000000000000000e+00,1.039114849677818392e-01,9.996273758281910560e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.041118107623339589e-01,1.000000000000000000e+00,1.041109876315346461e-01,9.996089158296809218e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.043117744678052489e-01,1.000000000000000000e+00,1.043108696325988766e-01,9.995904679337668242e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.045121222361721364e-01,1.000000000000000000e+00,1.045111316874624136e-01,9.995720315672966816e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.047128548050899610e-01,1.000000000000000000e+00,1.047117745138460843e-01,9.995536061531014038e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.049139729136309984e-01,1.000000000000000000e+00,1.049127988307056308e-01,9.995351911219019225e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.051154773022869304e-01,1.000000000000000000e+00,1.051142053582341251e-01,9.995167858997844323e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.053173687129716068e-01,1.000000000000000000e+00,1.053159948178619132e-01,9.994983899122734661e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.055196478890240569e-01,1.000000000000000000e+00,1.055181679322595295e-01,9.994800025939764021e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.057223155752108068e-01,1.000000000000000000e+00,1.057207254253386131e-01,9.994616233651655302e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.059253725177289329e-01,1.000000000000000000e+00,1.059236680222516158e-01,9.994432516519321519e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.061288194642086152e-01,1.000000000000000000e+00,1.061269964493955359e-01,9.994248868816876241e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.063326571637161488e-01,1.000000000000000000e+00,1.063307114344117926e-01,9.994065284788614667e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.065368863667563726e-01,1.000000000000000000e+00,1.065348137061878919e-01,9.993881758698209827e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.067415078252755972e-01,1.000000000000000000e+00,1.067393039948590638e-01,9.993698284781371566e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.069465222926645198e-01,1.000000000000000000e+00,1.069441830318096504e-01,9.993514857335529245e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.071519305237606801e-01,1.000000000000000000e+00,1.071494515496750760e-01,9.993331470613915357e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.073577332748514440e-01,1.000000000000000000e+00,1.073551102823421394e-01,9.993148118825339044e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.075639313036768629e-01,1.000000000000000000e+00,1.075611599649507755e-01,9.992964796278107631e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.077705253694322268e-01,1.000000000000000000e+00,1.077676013338953048e-01,9.992781497106746347e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.079775162327709648e-01,1.000000000000000000e+00,1.079744351268250302e-01,9.992598215629775460e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.081849046558076427e-01,1.000000000000000000e+00,1.081816620826478448e-01,9.992414946117389452e-01
