D_Mpc,z_hubble,z_best
1.0,0.00023349486663870646,0.00013287462538490107
16.07035175879397,0.0037523446407566993,0.003428909119358567
31.14070351758794,0.0072711944148746935,0.0068866513199257705
46.21105527638191,0.010790044188992686,0.010383014112613132
61.28140703517588,0.014308893963110681,0.013903951639383055
76.35175879396985,0.017827743737228674,0.01744452820892553
91.42211055276383,0.021346593511346667,0.021002406171773867
106.49246231155779,0.02486544328546466,0.024576293053954743
121.56281407035176,0.028384293059582656,0.028165403264482063
136.63316582914572,0.031903142833700646,0.031769228527723056
151.7035175879397,0.03542199260781864,0.03538742575832144
166.77386934673368,0.03894084238193664,0.0390197567315501
181.84422110552765,0.04245969215605463,0.042666053165099124
196.91457286432163,0.04597854193017262,0.04632619531953418
211.98492462311557,0.049497391704290614,0.05000009826492089
227.05527638190955,0.0530162414784086,0.05368770272588366
242.12562814070353,0.056535091252526606,0.057388968780928314
257.1959798994975,0.060053941026644596,0.06110387140671119
272.26633165829145,0.06357279080076259,0.06483239725232066
287.33668341708545,0.06709164057488058,0.06857454225585051
302.4070351758794,0.07061049034899858,0.07233030985142015
317.4773869346734,0.07412934012311657,0.07609970959873281
332.54773869346735,0.07764818989723457,0.07988275612060992
347.6180904522613,0.08116703967135255,0.08367946826871832
362.6884422110553,0.08468588944547055,0.08748986846089168
377.75879396984925,0.08820473921958855,0.09131398214922472
392.82914572864325,0.09172358899370653,0.09515183738904844
407.8994974874372,0.09524243876782452,0.09900346448659898
422.96984924623115,0.09876128854194252,0.10286889570869973
438.04020100502515,0.1022801383160605,0.10674816504177342
453.1105527638191,0.1057989880901785,0.11064130799043718
468.1809045226131,0.10931783786429651,0.11454836140811406
483.25125628140705,0.11283668763841448,0.11846936335373642
498.321608040201,0.11635553741253248,0.1224043529698601
513.391959798995,0.11987438718665049,0.12635337037846298
528.462311557789,0.12339323696076848,0.1303164565914391
543.5326633165829,0.12691208673488646,0.13429365343337452
558.6030150753769,0.13043093650900447,0.13828500347464273
573.6733668341709,0.13394978628312246,0.14229054997321405
588.7437185929648,0.13746863605724044,0.14631033682386016
603.8140703517588,0.14098748583135845,0.15034440851366054
618.8844221105528,0.14450633560547643,0.15439281008290415
633.9547738693468,0.14802518537959444,0.15845558709062732
649.0251256281407,0.15154403515371243,0.162532785584152
664.0954773869347,0.1550628849278304,0.1666244520720877
679.1658291457287,0.15858173470194842,0.17073063350034287
694.2361809045226,0.1621005844760664,0.17485137723076016
709.3065326633166,0.16561943425018438,0.1789867310220462
724.3768844221106,0.1691382840243024,0.18313674301271468
739.4472361809045,0.17265713379842038,0.1873014617057988
754.5175879396985,0.17617598357253836,0.19148093595512763
769.5879396984925,0.1796948333466564,0.19567521495298182
784.6582914572865,0.18321368312077438,0.19988434821897683
799.7286432160804,0.18673253289489233,0.2041083855900334
814.7989949748744,0.19025138266901037,0.20834737721131918
829.8693467336684,0.19377023244312835,0.21260137352805664
844.9396984924623,0.1972890822172463,0.21687042527810674
860.0100502512563,0.20080793199136435,0.2211545834852482
875.0804020100503,0.20432678176548233,0.22545389945308128
890.1507537688442,0.20784563153960028,0.22976842475949483
905.2211055276382,0.21136448131371832,0.23409821125164162
920.2914572864322,0.2148833310878363,0.23844331104137098
935.3618090452262,0.2184021808619543,0.24280377650107868
950.4321608040201,0.2219210306360723,0.24717966025993252
965.5025125628141,0.22543988041019028,0.25157101520044095
980.5728643216081,0.22895873018430826,0.2559778944553321
995.643216080402,0.23247757995842627,0.2604003514047182
1010.713567839196,0.23599642973254426,0.26483843967351783
1025.78391959799,0.23951527950666224,0.26929221312911555
1040.854271356784,0.24303412928078028,0.2737617258792386
1055.924623115578,0.24655297905489826,0.27824703227003167
1070.9949748743718,0.2500718288290162,0.28274818688431497
1086.0653266331658,0.2535906786031342,0.28726524454000923
1101.1356783919598,0.2571095283772522,0.29179826028871586
1116.2060301507538,0.2606283781513702,0.2963472894144386
1131.2763819095478,0.2641472279254882,0.3009123874324373
1146.3467336683418,0.2676660776996062,0.30549361008820186
1161.4170854271358,0.2711849274737242,0.3100910133565398
1176.4874371859296,0.2747037772478422,0.3147046534407667
1191.5577889447236,0.27822262702196016,0.3193345867719934
1206.6281407035176,0.28174147679607814,0.32398087000850206
1221.6984924623116,0.2852603265701962,0.3286435600352068
1236.7688442211056,0.28877917634431416,0.33332271396318935
1251.8391959798996,0.29229802611843214,0.33801838912930937
1266.9095477386936,0.2958168758925502,0.3427306430958798
1281.9798994974874,0.29933572566666816,0.34745953365040533
1297.0502512562814,0.3028545754407861,0.3522051188053808
1312.1206030150754,0.3063734252149041,0.35696745679814235
1327.1909547738694,0.30989227498902217,0.3617466060907709
1342.2613065326634,0.3134111247631401,0.3665426253700441
1357.3316582914574,0.31692997453725813,0.3713555735474319
1372.4020100502512,0.3204488243113761,0.37618550975913595
1387.4723618090452,0.32396767408549404,0.3810324933661682
1402.5427135678392,0.3274865238596121,0.38589658395446647
1417.6130653266332,0.3310053736337301,0.3907778413350459
1432.6834170854272,0.33452422340784804,0.39567632554418314
1447.7537688442212,0.3380430731819661,0.4005920968436329
1462.8241206030152,0.34156192295608406,0.4055252157208724
1477.894472361809,0.345080772730202,0.41047574288937566
1492.964824120603,0.34859962250432003,0.41544373928891315
1508.035175879397,0.35211847227843807,0.4204292660858762
1523.105527638191,0.355637322052556,0.4254323846736269
1538.175879396985,0.35915617182667403,0.430453156672869
1553.246231155779,0.362675021600792,0.4354916439320404
1568.316582914573,0.36619387137491005,0.4405479085277273
1583.3869346733668,0.369712721149028,0.4456220127650962
