center,radial_bin,radius_minimum,radius_maximum,radius_midpoint,samples,mean_radial_deflection,mean_tangential_deflection,radius_minimum_kpc,radius_maximum_kpc,radius_midpoint_kpc,mean_scalar_magnitude_arcsec,mean_halo_magnitude_arcsec,mean_halo_kappa,halo_to_scalar_magnitude_ratio
baryonic_center,0,4.222731929085844,6.250578670347797,5.236655299716821,4,5.444335342704466,0.04940907485586188,15.799999999999999,23.3875,19.59375,1.606832994381566,5.518170990837805,0.815438438522839,3.4341907405017067
baryonic_center,1,6.250578670347797,8.27842541160975,7.264502040978773,4,6.515243344942282,-0.06913834764331855,23.3875,30.975,27.18125,1.9935744881407145,6.6022848107001195,0.6243494149593392,3.3117823537447393
baryonic_center,2,8.27842541160975,10.306272152871703,9.292348782240726,8,6.835378131081751,0.02088550612342388,30.975,38.56250000000001,34.768750000000004,2.0212628285544145,6.909724546768626,0.5849928238489084,3.4185185860813494
baryonic_center,3,10.306272152871703,12.334118894133654,11.32019552350268,16,7.640662882879596,-0.013112076031697062,38.56250000000001,46.150000000000006,42.35625000000001,2.2933189347397764,7.717137490833471,0.44564900891742343,3.3650520099635144
baryonic_center,4,12.334118894133654,14.361965635395608,13.348042264764631,8,8.03937507177757,0.06608835988786371,46.150000000000006,53.73750000000001,49.94375000000001,2.4015116567486228,8.110765136316061,0.38580960139332543,3.377358220820434
baryonic_center,5,14.361965635395608,16.38981237665756,15.375889006026583,16,8.320440911440238,-0.026720447118695298,53.73750000000001,61.32500000000001,57.53125000000001,2.5453638996325645,8.395717836138605,0.3341653179669046,3.298435181449131
baryonic_center,6,16.38981237665756,18.417659117919513,17.403735747288536,8,8.478651639563843,0.027623059060159966,61.32500000000001,68.91250000000001,65.11875,2.5940455033381964,8.548583598012934,0.31220380596135733,3.2954640105626627
baryonic_center,7,18.417659117919513,20.445505859181463,19.43158248855049,28,8.727123006717692,-0.011943358392011308,68.91250000000001,76.5,72.70625000000001,2.693956211363124,8.79935993803558,0.2716207197391187,3.2663336920324935
halo_fit_center,0,4.222731929085844,6.250578670347797,5.236655299716821,6,5.193756969335898,0.08030118724087108,15.799999999999999,23.3875,19.59375,1.507832560379061,5.2527104001057205,0.847239495159465,3.4836165089744564
halo_fit_center,1,6.250578670347797,8.27842541160975,7.264502040978773,8,6.633059622410496,-0.053711547577823565,23.3875,30.975,27.18125,2.042580093747227,6.698559947944183,0.6159055476478159,3.2794601144160285
halo_fit_center,2,8.27842541160975,10.306272152871703,9.292348782240726,5,6.901870203234745,0.2782087835703866,30.975,38.56250000000001,34.768750000000004,1.9909725625340353,6.9730492010516825,0.5667076504771054,3.5023331472617816
halo_fit_center,3,10.306272152871703,12.334118894133654,11.32019552350268,13,7.748918034798716,-0.1948503329815638,38.56250000000001,46.150000000000006,42.35625000000001,2.3191020485284053,7.817424407948144,0.43511539969382085,3.3708841803269154
halo_fit_center,4,12.334118894133654,14.361965635395608,13.348042264764631,10,7.929392023758188,0.17814404975247228,46.150000000000006,53.73750000000001,49.94375000000001,2.360576659730632,7.996701366867576,0.3976918374866277,3.3876050302810707
halo_fit_center,5,14.361965635395608,16.38981237665756,15.375889006026583,17,8.305885059286991,0.006664055431959457,53.73750000000001,61.32500000000001,57.53125000000001,2.5533932710551572,8.375797314310981,0.3356927998327107,3.2802613718997504
halo_fit_center,6,16.38981237665756,18.417659117919513,17.403735747288536,11,8.47986999429287,0.14495516032282738,61.32500000000001,68.91250000000001,65.11875,2.5965993153702716,8.551726109691243,0.30622041945132916,3.2934330911474414
halo_fit_center,7,18.417659117919513,20.445505859181463,19.43158248855049,21,8.825703596513842,-0.10506942294170989,68.91250000000001,76.5,72.70625000000001,2.705945651557435,8.89038014238107,0.2649301069026317,3.285498412454855
