tier,galaxy,component,realization,status,profile,baseScaleHeightKpc,flaringPerR80,r80Kpc,projection_relative_error
haar_128,NGC2403,gas,0,assumed_prior_not_measured,sech_squared,1.786091211959743,0.3266439025681541,13.44242429557938,2.918061245494389e-16
haar_128,NGC2403,gas,1,assumed_prior_not_measured,exponential,1.1977352521179156,0.5222516233430596,13.44242429557938,2.918061245494389e-16
haar_128,NGC2403,gas,2,assumed_prior_not_measured,exponential,1.3749560992851997,0.9248548710530688,13.44242429557938,2.918061245494389e-16
haar_128,NGC2403,stars,0,assumed_prior_not_measured,sech_squared,0.8259474458295728,0.39291545361686697,13.937132195259,1.5935210437234433e-16
haar_128,NGC2403,stars,1,assumed_prior_not_measured,exponential,1.469924410560134,0.692470638671448,13.937132195259,1.5935210437234433e-16
haar_128,NGC2403,stars,2,assumed_prior_not_measured,exponential,1.4033902295829848,0.11164440524999253,13.937132195259,2.390281565585165e-16
haar_128,NGC3198,gas,0,assumed_prior_not_measured,exponential,4.683630415224124,0.5824188951006194,30.427141051502797,3.0466227195511345e-16
haar_128,NGC3198,gas,1,assumed_prior_not_measured,exponential,3.0620676622580767,0.4069977296579673,30.427141051502797,4.062163626068179e-16
haar_128,NGC3198,gas,2,assumed_prior_not_measured,exponential,3.1329292744183594,0.22492621016828784,30.427141051502797,4.062163626068179e-16
haar_128,NGC3198,stars,0,assumed_prior_not_measured,exponential,2.296234888830904,0.16972428211922752,21.958326485849767,8.168531135494957e-17
haar_128,NGC3198,stars,1,assumed_prior_not_measured,exponential,1.2900921239528138,0.44947328092739436,21.958326485849767,1.6337062270989914e-16
haar_128,NGC3198,stars,2,assumed_prior_not_measured,exponential,1.3028475045236712,0.7760529223492527,21.958326485849767,1.6337062270989914e-16
haar_128,NGC5055,gas,0,assumed_prior_not_measured,sech_squared,1.9308887729932511,0.16589312451868232,32.2153347541068,4.317487002504978e-16
haar_128,NGC5055,gas,1,assumed_prior_not_measured,exponential,3.448723562590282,0.21398567260351176,32.2153347541068,2.878324668336652e-16
haar_128,NGC5055,gas,2,assumed_prior_not_measured,sech_squared,4.693550858014674,0.2982369032061677,32.2153347541068,2.878324668336652e-16
haar_128,NGC5055,stars,0,assumed_prior_not_measured,exponential,2.192390175810025,0.8671492675212656,19.58063712952573,1.2454979731235145e-16
haar_128,NGC5055,stars,1,assumed_prior_not_measured,sech_squared,0.7562707083748269,0.33074433881498433,19.58063712952573,2.490995946247029e-16
haar_128,NGC5055,stars,2,assumed_prior_not_measured,exponential,0.9442334422130335,0.5041136435174921,19.58063712952573,1.2454979731235145e-16
haar_128,NGC7793,gas,0,assumed_prior_not_measured,exponential,0.45767600771290085,0.26118170133070806,6.322701046858291,2.9121626295440233e-16
haar_128,NGC7793,gas,1,assumed_prior_not_measured,sech_squared,0.7635002210604754,0.9251255087093995,6.322701046858291,2.9121626295440233e-16
haar_128,NGC7793,gas,2,assumed_prior_not_measured,exponential,0.9106903282627558,0.022171409970179745,6.322701046858291,2.9121626295440233e-16
haar_128,NGC7793,stars,0,assumed_prior_not_measured,sech_squared,0.619405414981419,0.11872415165510186,9.114477419218607,1.3621656816121675e-16
haar_128,NGC7793,stars,1,assumed_prior_not_measured,exponential,0.9424993363713856,0.3546631973640366,9.114477419218607,1.3621656816121675e-16
haar_128,NGC7793,stars,2,assumed_prior_not_measured,exponential,0.44080783043370236,0.43625458155472707,9.114477419218607,1.3621656816121675e-16
haar_256,NGC2403,gas,0,assumed_prior_not_measured,exponential,1.362823266436393,0.3207552727528128,13.36832779816311,2.8431123015138e-16
haar_256,NGC2403,gas,1,assumed_prior_not_measured,sech_squared,1.4619810599860934,0.5842639164232808,13.36832779816311,2.8431123015138e-16
haar_256,NGC2403,gas,2,assumed_prior_not_measured,sech_squared,1.786679506524255,0.8238076963011507,13.36832779816311,4.2646684522707e-16
haar_256,NGC2403,stars,0,assumed_prior_not_measured,sech_squared,1.2086236506713042,0.08336395917662354,11.512566497034133,1.5272875789722025e-16
haar_256,NGC2403,stars,1,assumed_prior_not_measured,exponential,1.1033044180186375,0.06008366443232305,11.512566497034133,1.5272875789722025e-16
haar_256,NGC2403,stars,2,assumed_prior_not_measured,exponential,0.7514323495875262,0.695075035383296,11.512566497034133,1.5272875789722025e-16
haar_256,NGC3198,gas,0,assumed_prior_not_measured,sech_squared,4.387827506754984,0.41641126131236095,30.17384615384615,4.0560959413826957e-16
haar_256,NGC3198,gas,1,assumed_prior_not_measured,sech_squared,3.6470938237197936,0.31431846492486526,30.17384615384615,4.0560959413826957e-16
haar_256,NGC3198,gas,2,assumed_prior_not_measured,exponential,4.239835150098829,0.5032991546853371,30.17384615384615,4.0560959413826957e-16
