tier,galaxy,cells_per_axis,input_surface_cells,numeric_representation_values,cell_to_parameter_ratio,coefficient_count_per_component,parameter_json_bytes,source_npz_bytes,generated_npz_bytes,parameter_content_sha256,generated_map_sha256,gravity_parameter_count,observed_velocity_arrays_opened
haar_128,NGC2403,257,132098,520,254.0346153846154,128,13424,2601152,17527,788b24dc260904ae6b11df2708399fbbfa625912a957eb431e03731faec0e4c5,b3d94fda0c7a6a8975f82ec4e15f8cc9dfabb23f82c718f78184375dedccd56c,0,0
haar_128,NGC3198,157,49298,520,94.80384615384615,128,13298,1032708,10707,5727fb1f38a9bb80f0bda1db19b2f1f98f6653f9fb8bad763e5dfdc0b791bf9e,443e053780b8f0ddce5656e2fbe586172f593c0c1a997e0241555092d41c316b,0,0
haar_128,NGC5055,237,112338,520,216.0346153846154,128,13283,2198236,16338,1bedf9d7b48fbf2c30dbf7a79383e206d5bae002f3ed4747c98140d2d77c1075,c63bf96da7b4b90b07d2fd61d5e3bf82b74fda974286eab4fbe3a9e711badb85,0,0
haar_128,NGC7793,175,61250,520,117.78846153846153,128,13325,1066319,12397,83969f9148cb3b1ef24a1899c0af9a549198093ba29c07c6854c7a9253ee149f,851568eeb68e3e9a393ecce1c0adaaf4f032fc46c1f989d534aa1032bc44b181,0,0
haar_256,NGC2403,257,132098,1032,128.00193798449612,256,24901,2601152,23119,d1aeb39f1c855a5b58d5a52f30d9b8d4c43b1602b319f42b54762b9d85d5864f,35e2490a0e150951e9cc1bccebc0bc715485832f54e441123b0e89be98668c0b,0,0
haar_256,NGC3198,157,49298,1032,47.76937984496124,256,24546,1032708,16056,6034278da141cce082370645a3ba018d1ab66bbac88f59f6ae294e977298bb6b,30aaf7d9b3ea703f8cd530f6e2491fe6068ed4596c48db385fefd49be8201301,0,0
haar_256,NGC5055,237,112338,1032,108.8546511627907,256,24671,2198236,22193,5fbddd145dc6cd1db8d8529f513e9c39576be16735b30a0d3f8188f67bb32ff9,ec04aab69335c7e1561e4abb33d75fdbaa7293af56d7163c315ad8bd1b2e7217,0,0
haar_256,NGC7793,175,61250,1032,59.35077519379845,256,24563,1066319,17381,67546fd5a8cf2891ad83e5a1734443d5965e7fc86a2e6c82d73d147f6c563f01,c81a335fcf98bcd375bc3155665086cfd3aa75d3fe4900485bbecfb66460d794,0,0
haar_512,NGC2403,257,132098,2056,64.25,512,47772,2601152,33838,c4ed6796c127e29da11447b288c5c96d5b89889ffae1ca32d1153eb78e6b28a7,70d8113f91b179d9b1121fe1f9f84b6f653c7754eed889ce7d44ed56d98883e6,0,0
haar_512,NGC3198,157,49298,2056,23.97762645914397,512,47206,1032708,26413,b49209555c0532cf572c962920c5cba0f1032af033515a308ed63cf40b5fb524,1261e0ff0b35eedfe1bf0e28e26180733e9b87b2741cfbf5c93a030952f235e0,0,0
haar_512,NGC5055,237,112338,2056,54.63910505836576,512,47294,2198236,32646,a5e75fca37d51348bbd6bbedec15d076d3e716d513b5df3552023b5f22d2c9da,9748baa6482d587d3350377193308e847e9a97f50a47dad4398afd1febeb7e75,0,0
haar_512,NGC7793,175,61250,2056,29.790856031128406,512,47313,1066319,26981,7da16004ce4c5969edcfc37da34d6467867360a79837056c5005026e51357392,96a2cd1cefd85e11834267f0b68552723c0ac46272ff708f75fc62b16635d217,0,0
