omitted_system,systems,Pearson_r,Spearman_rho
RXJ2129,3,0.9993243412380867,1.0
MACS0329,3,0.9702526942873493,0.5
MACS0429,3,0.23011297240435888,0.5
MACS1115,3,0.9617243933896785,1.0
