model,manifestPath,manifestSha256,batchId,batchState,batchScientificResultSha256,modelSha256,systems,succeededSystems,convergenceFraction,maximumEquationResidual,scoredSystems,validObservationPoints,equalGalaxyRmseKmS,pointWeightedRmseKmS,reducedChiSquare,universalGravityParameters,perObjectGravityParameters,downloadedArtifactCount,allDownloadedArtifactHashesValid,frozenCurveConformance,scenario,scenarioRole
newtonian_poisson,hosted-simulator/examples/models/newtonian-poisson.json,34b75c42911410f33322734fb2b149de447682a35f34f4ecaea83472578d493f,batch_312818e86858622cedd77c91,succeeded,a52894f0ab661f9af02d9239c9e85d73a53772df3209ff27f541334830ab5617,43738f2c7bb3c4e94193763cf46f39b2a47fa852b25d1c063fef00fa7e1aa661,4,4,1,6.972190894312883e-10,4,55,24.292702136548137,23.271417087967233,44.008328704765624,1,0,10,True,,baseline_33x33x9,P0723 commissioning geometry
aqual_simple_mu,hosted-simulator/examples/models/aqual.json,0df2a67bef17cfa07b539b8b09d5a2113f746e5a836c7a0f23d12c08d676acab,batch_cfeb1e5976cb1904d11f869c,succeeded,fc4d507281e3d4f48460bbf11a8ca5ad4c8028a8f3b47f8eba3d404b774d147f,37fe7ed1b60b8b3d05dbdf7a0b61c1ffdd3dfa22cdcd2e661e9e58e7c8e5a054,4,4,1,9.935903468946796e-09,4,55,22.16850434109612,20.335075992590145,21.80825343401474,2,0,10,True,,baseline_33x33x9,P0723 commissioning geometry
qumond_simple_nu,hosted-simulator/examples/models/qumond.json,254b19a02ccf082d49a9f031d04a275514ea7bade182cd616a6ba688936131dc,batch_e222b3d2440e097d7c775771,succeeded,2bea257bb618014d1cfd7259f60d97742976fb5d64cc3077c3ef7f39d3343cb2,68dee7e94c66fea1ee4c8a66e27dbf1636ca0a7fa4bd62d49c19ec2f00971332,4,4,1,5.940177323580679e-10,4,55,16.200770015119456,15.297799240696408,21.032686694133798,2,0,10,True,,baseline_33x33x9,P0723 commissioning geometry
refracted_gravity_published_fixture,hosted-simulator/examples/models/refracted-gravity.json,cc760ee32424972a7898bf731d573099f7fe25ebbd48cde97c29fee1714af1af,batch_d53a76d275bdaaebe0381c86,succeeded,ea8938147a6a336b37007265a6a62efb522c20e89beada073d1e7ac23fc06b6d,4a0c9be0ba6f430d4d073f0ee6bf1e98de437908de81d0ad533261fea5d14bef,4,4,1,7.062385323554363e-10,4,55,19.04416018262289,18.539003408958298,27.949131440480095,4,0,10,True,,baseline_33x33x9,P0723 commissioning geometry
newtonian_poisson,hosted-simulator/examples/models/newtonian-poisson.json,34b75c42911410f33322734fb2b149de447682a35f34f4ecaea83472578d493f,batch_f80311bdcdd70de1c4c960a1,succeeded,50285d4dadc6013b130a5a6ba8167b0d3b42d4356085713683121a8e2f5c6f59,43738f2c7bb3c4e94193763cf46f39b2a47fa852b25d1c063fef00fa7e1aa661,4,4,1,7.362888817408137e-10,4,55,25.07440409239347,24.03516515438232,44.84119666591858,1,0,10,True,,coarse_25x25x9,lower transverse resolution
aqual_simple_mu,hosted-simulator/examples/models/aqual.json,0df2a67bef17cfa07b539b8b09d5a2113f746e5a836c7a0f23d12c08d676acab,batch_708a482f6531ba7523f64093,succeeded,b171978e8117119fd8960cf9bf6cb7c7efce8def91f871f364b26a7fdc250088,37fe7ed1b60b8b3d05dbdf7a0b61c1ffdd3dfa22cdcd2e661e9e58e7c8e5a054,4,4,1,6.662182415669508e-09,4,55,39.35536192794055,34.53014153713228,28.139786853676082,2,0,10,True,,coarse_25x25x9,lower transverse resolution
qumond_simple_nu,hosted-simulator/examples/models/qumond.json,254b19a02ccf082d49a9f031d04a275514ea7bade182cd616a6ba688936131dc,batch_ddcd249474c9cc14ac4df2f8,succeeded,2d782efae201d2293fb3cf4dcc6ab79e6f51259941ef06f0a72e26707afcdc71,68dee7e94c66fea1ee4c8a66e27dbf1636ca0a7fa4bd62d49c19ec2f00971332,4,4,1,5.990765027525781e-10,4,55,16.545443625420965,15.805049660904908,20.174198931751032,2,0,10,True,,coarse_25x25x9,lower transverse resolution
refracted_gravity_published_fixture,hosted-simulator/examples/models/refracted-gravity.json,cc760ee32424972a7898bf731d573099f7fe25ebbd48cde97c29fee1714af1af,batch_71cb6ee5a38f648c802698ba,succeeded,c108209b5adf258364cc8e565ddc868fa3eca33d6e84f059e7c72b5a42fbe532,4a0c9be0ba6f430d4d073f0ee6bf1e98de437908de81d0ad533261fea5d14bef,4,4,1,7.45382158636827e-10,4,55,18.89338979194628,18.554002890365016,28.013326425085754,4,0,10,True,,coarse_25x25x9,lower transverse resolution
newtonian_poisson,hosted-simulator/examples/models/newtonian-poisson.json,34b75c42911410f33322734fb2b149de447682a35f34f4ecaea83472578d493f,batch_7333eabcb49d2020a13656d3,succeeded,4f57e41108faf0073605c001cad314dee63d38b7ddd5e27b77cc1e69cd04778c,43738f2c7bb3c4e94193763cf46f39b2a47fa852b25d1c063fef00fa7e1aa661,4,4,1,4.999730538445779e-10,4,55,24.419748236292026,23.55769340928677,45.07922862857688,1,0,10,True,,fine_49x49x17,higher transverse and vertical resolution
aqual_simple_mu,hosted-simulator/examples/models/aqual.json,0df2a67bef17cfa07b539b8b09d5a2113f746e5a836c7a0f23d12c08d676acab,batch_6ec6d8cb71bc136943ed420f,completed_with_failures,36165df2622aad0c6a29da6455acc26ff3422f395d58a010fdf6abab41aff59c,37fe7ed1b60b8b3d05dbdf7a0b61c1ffdd3dfa22cdcd2e661e9e58e7c8e5a054,4,2,0.5,0.0392472548070551,2,36,23.03742360532264,18.671329235143066,7.307286975704453,2,0,10,True,,fine_49x49x17,higher transverse and vertical resolution
