scenario,model,system_id,source_kind,source_id,field_job_id,scientific_job_id,state,converged,iterations,maximum_relative_update,maximum_equation_residual,universal_gravity_parameters,per_object_gravity_parameters,observation_targets,scored_observation_targets,valid_observation_points,observation_rmse_m_s,observation_weighted_rmse_m_s,observation_chi_square,observation_degrees_freedom
baseline_33x33x9,newtonian_poisson,DDO53,galaxy_job_artifact,job_a1244b332b4660fe4b68f903,job_2f4b0e51a0f391636e601993,fieldjob_6077348bafb4703fad12bdda,succeeded,true,17,3.0132704727704555e-9,3.0164387371029804e-10,1,0,1,1,9,8499.303409513488,6281.722634104078,24.91651784446349,9
baseline_33x33x9,newtonian_poisson,DDO101,galaxy_job_artifact,job_b9dcce542b634d18ca07f011,job_00f0a9ec611f671669a49ba2,fieldjob_04aaf049d26bc1e33c037d11,succeeded,true,17,3.013270475366036e-9,2.3092983712032423e-10,1,0,1,1,10,39887.21912140947,42560.51138237013,1966.2602457456633,10
baseline_33x33x9,newtonian_poisson,DDO50,galaxy_job_artifact,job_3c97a3b792604addb760f6a9,job_b83e4621c1ae480ccd1dc58e,fieldjob_dd42044c4af2b5e538b17656,succeeded,true,17,3.013270472328036e-9,2.6689419307897944e-10,1,0,1,1,26,19768.28268521684,19254.155173726456,408.93239188143025,26
baseline_33x33x9,newtonian_poisson,NGC1569,galaxy_job_artifact,job_ad2436f96423390304723a0b,job_9d8b16abd07251a4ffc2c5a3,fieldjob_9aad963b83ea08192622c977,succeeded,true,17,3.0132704654806657e-9,6.972190894312883e-10,1,0,1,1,10,17507.943921867467,12081.954187333218,20.34892329055245,10
baseline_33x33x9,aqual_simple_mu,DDO53,galaxy_job_artifact,job_a1244b332b4660fe4b68f903,job_10a3e595b23513e74f33ac75,fieldjob_896c2b9dc6e449055f18717a,succeeded,true,42,9.048304479006912e-10,7.921347221686963e-9,2,0,1,1,9,3500.6990688918554,4547.393918011963,13.057348290190392,9
baseline_33x33x9,aqual_simple_mu,DDO101,galaxy_job_artifact,job_b9dcce542b634d18ca07f011,job_5708911986058952f8103231,fieldjob_c5baaa4a263f855549da157b,succeeded,true,61,2.1295570250186005e-9,9.241099910544933e-9,2,0,1,1,10,26166.79284025687,28069.23987981442,855.2412263517824,10
baseline_33x33x9,aqual_simple_mu,DDO50,galaxy_job_artifact,job_3c97a3b792604addb760f6a9,job_6dda00bcd656cd089fa2ad0f,fieldjob_20e132c337fc706d085e1909,succeeded,true,34,1.0405877843989143e-9,9.935903468946796e-9,2,0,1,1,26,13914.681689823889,12000.73592806882,158.8613819928639,26
baseline_33x33x9,aqual_simple_mu,NGC1569,galaxy_job_artifact,job_ad2436f96423390304723a0b,job_84a61c084ce6eea9d16d5ca4,fieldjob_7953d198b1bb5df0fc1641c3,succeeded,true,31,6.535242785944656e-9,9.046633554047538e-9,2,0,1,1,10,32790.18192751927,35156.16724273846,172.29398223597434,10
baseline_33x33x9,qumond_simple_nu,DDO53,galaxy_job_artifact,job_a1244b332b4660fe4b68f903,job_d6368b49070eb5c241d15019,fieldjob_ade969097117cba2fac30a20,succeeded,true,18,6.378175199712677e-9,4.2385898794037494e-10,2,0,1,1,9,1594.9686566731584,1875.5419033246847,2.221178078259199,9
baseline_33x33x9,qumond_simple_nu,DDO101,galaxy_job_artifact,job_b9dcce542b634d18ca07f011,job_f0ef7285f74a4fe0176014b8,fieldjob_1b1bfbb22ef0127a1a19b846,succeeded,true,18,6.514913204193714e-9,3.9421309165689275e-10,2,0,1,1,10,29064.013294672375,30863.53672741529,1033.9956374522608,10
