system_label,variant_id,source_family,source_redshift,root_index,root_x_arcsec,root_y_arcsec,root_radius_arcsec,closure_arcsec,signed_jacobian_determinant,signed_magnification,parity,assigned,assigned_image_id,relative_to_faintest_assigned_abs_magnification,potentially_observable_surplus
RXJ2129,mass_planarity_intensity_projected_routing_P0705,1,0.6786,0,-4.060676574827287,-0.8929514089478227,4.157698457571565,2.830524433501838e-16,-0.11111461021460227,-8.99971658154261,negative,True,1b,2.3064745931566457,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,1,0.6786,1,-5.533879977709417,3.3163742008126627,6.451524273186067,3.925231146709438e-16,0.09720739480240821,10.287283205487428,positive,True,1a,2.63645606293046,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,1,0.6786,2,1.1484848285508493,-7.653674030871973,7.739363253669872,3.925231146709438e-16,0.256283025388484,3.9019361445579945,positive,True,1c,1.0,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,2,0.916,0,-0.726387658979842,-4.193385432984394,4.2558336927896905,2.220446049250313e-16,-0.12630328440625818,-7.917450481995947,negative,True,2b,2.4415930280624405,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,2,0.916,1,1.125858039995401,-6.202644333725367,6.303995007685022,2.482534153247273e-16,0.11350915252251169,8.809862269050727,positive,True,2c,2.7167960624721244,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,2,0.916,2,-6.643475814503084,11.162766415413513,12.990116433002871,6.753223014464259e-16,0.30838121862770757,3.242739633918003,positive,True,2a,1.0,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,3,1.5194,0,-2.4217349892484967,8.193375223696325,8.543781242191962,0.0,0.07732886511102688,12.931781664766767,positive,True,3a,5.427294694995393,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,3,1.5194,1,-2.464310749522309,3.4768309092515826,4.261593673936828,4.440892098500626e-16,-0.061595342675452906,-16.234993695367848,negative,True,3c,6.813608320980165,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,3,1.5194,2,8.071980874326028,-13.92584386453088,16.09614868764505,4.440892098500626e-16,0.4196865393870905,2.382730695772131,positive,True,3d,1.0,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,4,1.5202,0,-2.5950896754766783,0.99337877796341,2.7787212563108468,5.551115123125783e-17,-0.19990187926368821,-5.002454222458368,negative,False,,1.84630379282284,True
RXJ2129,mass_planarity_intensity_projected_routing_P0705,4,1.5202,1,3.228275582870511,3.839142586792216,5.016052136957865,1.6653345369377348e-16,-0.14488719798483085,-6.901921038632387,negative,True,4b,2.547358241516978,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,4,1.5202,2,1.386837934935464,2.713546138229606,3.047400876497359,4.742874840267547e-16,0.11381680324767585,8.786048908999033,positive,False,,3.242751398260675,True
RXJ2129,mass_planarity_intensity_projected_routing_P0705,4,1.5202,3,-3.5979042434517043,10.66101690930138,11.251764149921456,6.106226635438361e-16,0.18245255212114933,5.480877019116704,positive,True,4a,2.0228798862286697,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,4,1.5202,4,7.4315390267561074,-12.517064739659777,14.55694617710161,7.550332863779066e-16,0.369079597876961,2.7094426398864973,positive,True,4c,1.0,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,5,1.521,0,13.02522868953014,2.799123714318541,13.322600196006013,0.0,-0.019475432906964123,-51.34674052058761,negative,True,5b,8.60562192374712,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,5,1.521,1,13.312120519758508,1.9327408877064187,13.451692832933249,0.0,0.01930082910313944,51.811245758211584,positive,True,5c,8.683472171222702,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,5,1.521,2,5.23882712487508,14.619899360827004,15.530188890191797,8.881784197001252e-16,0.16759821239863656,5.966650751748324,positive,True,5a,1.0,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,6,3.0815,0,-9.360524370871758,18.23168139255462,20.49423389388602,4.577566798522237e-16,0.48607921678194976,2.0572778375928586,positive,True,6a,1.0,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,6,3.0815,1,0.49249399045966463,-5.628987093074546,5.650490777325339,4.577566798522237e-16,-0.08219884641436377,-12.165620852621306,negative,True,6b,5.91345545570832,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,6,3.0815,2,1.9163772799336354,-6.941408032686667,7.201086539911378,4.577566798522237e-16,0.06630138565623203,15.082641035361295,positive,True,6c,7.331358341471715,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,7,3.427,0,-7.144677405917078,-2.0545099904755646,7.434206516877635,2.220446049250313e-16,-0.2858023612441006,-3.498921407251465,negative,True,7b,1.3483349105631972,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,7,3.427,1,-10.227611253880221,10.136977293408018,14.40008127086674,3.1401849173675503e-16,0.24627489928047286,4.060503132563011,positive,True,7a,1.5647445286250898,False
RXJ2129,mass_planarity_intensity_projected_routing_P0705,7,3.427,2,3.715716023309387,-15.844744840026332,16.274596296419126,3.1401849173675503e-16,0.38535730118681494,2.594994299887979,positive,True,7c,1.0,False
