candidate_id,selection_role,parameter,value,near_bound
P0070,best_cluster_within_galaxy_limit,axis_ratio_q,0.6592722169793563,False
P0070,best_cluster_within_galaxy_limit,position_angle_phi_radian,0.37489608910548056,False
P0070,best_cluster_within_galaxy_limit,center_x_arcsec,-1.231558225584316,False
P0070,best_cluster_within_galaxy_limit,center_y_arcsec,-0.5612889666932378,False
P0070,best_cluster_within_galaxy_limit,external_shear_gamma1,0.1093179356590918,False
P0070,best_cluster_within_galaxy_limit,external_shear_gamma2,0.06518055482290647,False
P0420,best_zero_slip_within_galaxy_limit,axis_ratio_q,0.5727395111711178,False
P0420,best_zero_slip_within_galaxy_limit,position_angle_phi_radian,0.3555648998494292,False
P0420,best_zero_slip_within_galaxy_limit,center_x_arcsec,-2.0805218222278885,False
P0420,best_zero_slip_within_galaxy_limit,center_y_arcsec,-0.6061207594948975,False
P0420,best_zero_slip_within_galaxy_limit,external_shear_gamma1,0.09841853810004061,False
P0420,best_zero_slip_within_galaxy_limit,external_shear_gamma2,0.030038726185459007,False
P0554,best_galaxy_below_cluster_threshold,axis_ratio_q,0.6426569506636143,False
P0554,best_galaxy_below_cluster_threshold,position_angle_phi_radian,0.33806651589031533,False
P0554,best_galaxy_below_cluster_threshold,center_x_arcsec,-1.6547157396633123,False
P0554,best_galaxy_below_cluster_threshold,center_y_arcsec,-1.1260758081991695,False
P0554,best_galaxy_below_cluster_threshold,external_shear_gamma1,0.17571911611301294,False
P0554,best_galaxy_below_cluster_threshold,external_shear_gamma2,0.10679820784988145,False
P0396,best_zero_slip_cluster_overall,axis_ratio_q,0.6490914553975404,False
P0396,best_zero_slip_cluster_overall,position_angle_phi_radian,0.3621277130401527,False
P0396,best_zero_slip_cluster_overall,center_x_arcsec,-1.339150235803677,False
P0396,best_zero_slip_cluster_overall,center_y_arcsec,-0.5801573311200732,False
P0396,best_zero_slip_cluster_overall,external_shear_gamma1,0.09560018805822582,False
P0396,best_zero_slip_cluster_overall,external_shear_gamma2,0.03768303984578824,False
