alpha,apogee_ratio,screen_exponent,screen_scale,mass_radius_delta,extent_leak,invariant_mode,invariant_power,invariant_scale,secondary_path_ratio_power,photon_extra_multiplier,candidate_id,universal_q,fold_q_min,fold_q_max,cross_galaxy_outer_RMSE_km_s,cross_galaxy_equal_RMSE_km_s,cluster_RMSE_dex,cluster_equal_system_RMSE_dex,cluster_mean_residual_dex,cluster_median_observed_over_predicted,maximum_dynamic_fraction_limb_to_Saturn,maximum_lensing_fraction_limb_to_Saturn,Earth_orbit_fractional_change,Saturn_orbit_fractional_change,Mercury_precession_mas_per_century,Cassini_proxy_pass,Earth_proxy_pass,Mercury_proxy_pass,all_solar_proxies_pass,pareto
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.25,1.0,P0000,0.9024018120575696,0.8944183004035402,0.9140020014227417,15.022511189950295,14.965861369042438,0.38061139547712164,0.38550026048460584,-0.3458067943291015,2.298050922539268,8.646980829569326e-09,8.646980829569326e-09,2.6148161711473364e-11,8.646980829569326e-09,-1.4305198431870072,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.25,1.5,P0001,0.9024018120575696,0.8944183004035402,0.9140020014227417,15.022511189950295,14.965861369042438,0.2799389436252615,0.28426651939284064,-0.2219102674736993,1.6625290890488065,8.646980829569326e-09,1.297047124435399e-08,2.6148161711473364e-11,8.646980829569326e-09,-1.4305198431870072,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.25,1.75,P0002,0.9024018120575696,0.8944183004035402,0.9140020014227417,15.022511189950295,14.965861369042438,0.2453469664567165,0.24891011055468568,-0.1715063085816919,1.4991850518371357,8.646980829569326e-09,1.513221645174632e-08,2.6148161711473364e-11,8.646980829569326e-09,-1.4305198431870072,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.25,2.0,P0003,0.9024018120575696,0.8944183004035402,0.9140020014227417,15.022511189950295,14.965861369042438,0.21970371396504065,0.22218503087874572,-0.12650680963100802,1.3700225010093845,8.646980829569326e-09,1.7293961659138653e-08,2.6148161711473364e-11,8.646980829569326e-09,-1.4305198431870072,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.25,2.25,P0004,0.9024018120575696,0.8944183004035402,0.9140020014227417,15.022511189950295,14.965861369042438,0.20239467573374956,0.20351900162526565,-0.08584569636207208,1.234435477852867,8.646980829569326e-09,1.9455706866530985e-08,2.6148161711473364e-11,8.646980829569326e-09,-1.4305198431870072,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.25,2.5,P0005,0.9024018120575696,0.8944183004035402,0.9140020014227417,15.022511189950295,14.965861369042438,0.1927722454649628,0.19236749471114356,-0.048747294053025456,1.1364525940477506,8.646980829569326e-09,2.1617452073923318e-08,2.6148161711473364e-11,8.646980829569326e-09,-1.4305198431870072,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.4,1.0,P0006,0.865778319711881,0.858241810956285,0.8752148070517941,15.26500623266951,15.10771272389148,0.33798337481446716,0.34448866517680066,-0.31050768022119307,2.1232423134547247,8.296047761845339e-09,8.296047761845339e-09,2.508695262756155e-11,8.296047761845339e-09,-1.3724629645024902,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.4,1.5,P0007,0.865778319711881,0.858241810956285,0.8752148070517941,15.26500623266951,15.10771272389148,0.22819689203065546,0.23422706134424073,-0.181035215715026,1.5522547223375964,8.296047761845339e-09,1.2444071642768009e-08,2.508695262756155e-11,8.296047761845339e-09,-1.3724629645024902,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.4,1.75,P0008,0.865778319711881,0.858241810956285,0.8752148070517941,15.26500623266951,15.10771272389148,0.1911973429022927,0.19625577749432876,-0.1286340257102737,1.364568643387648,8.296047761845339e-09,1.4518083583229343e-08,2.508695262756155e-11,8.296047761845339e-09,-1.3724629645024902,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.4,2.0,P0009,0.865778319711881,0.858241810956285,0.8752148070517941,15.26500623266951,15.10771272389148,0.16547790649691793,0.16895324795928254,-0.08197671626266463,1.2130718277365693,8.296047761845339e-09,1.6592095523690677e-08,2.508695262756155e-11,8.296047761845339e-09,-1.3724629645024902,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.4,2.25,P0010,0.865778319711881,0.858241810956285,0.8752148070517941,15.26500623266951,15.10771272389148,0.15116207760445796,0.1524863018661095,-0.0399153159651988,1.0968430933117703,8.296047761845339e-09,1.8666107464152013e-08,2.508695262756155e-11,8.296047761845339e-09,-1.3724629645024902,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.4,2.5,P0011,0.865778319711881,0.858241810956285,0.8752148070517941,15.26500623266951,15.10771272389148,0.1476395694112027,0.14655443655783337,-0.001617156891069618,1.0053455533290598,8.296047761845339e-09,2.0740119404613346e-08,2.508695262756155e-11,8.296047761845339e-09,-1.3724629645024902,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.5,1.0,P0012,0.8381864767425207,0.8311546968094984,0.8464408956216183,15.64081096116631,15.387998317566776,0.3097110322843341,0.3174167329588264,-0.2857772066548274,1.9733145438670001,8.031657626519098e-09,8.031657626519098e-09,2.4287446285441767e-11,8.031657626519098e-09,-1.3287233815912227,True,True,True,True,False
