candidate_id,bin,galaxies,points,arc_RMSE_km_s,RAR_RMSE_km_s,arc_over_RAR,arc_mean_residual_km_s,selection_role
P0070,all,131,968,15.494864012430085,10.348465773189677,1.497310263379665,-8.530297175391073,best_cluster_within_galaxy_limit
P0070,dwarf_mass,19,92,12.352985730149028,6.315121038797132,1.9560964317640306,-9.876517459579315,best_cluster_within_galaxy_limit
P0070,intermediate_mass,90,648,15.858736520924424,9.828369033085178,1.6135674665388793,-10.75947706164325,best_cluster_within_galaxy_limit
P0070,giant_mass,22,228,15.58752279475308,12.807628583496323,1.2170498771988811,-1.6515215945282282,best_cluster_within_galaxy_limit
P0070,gas_rich,50,275,14.178690026186475,8.624709022190821,1.6439615515961894,-10.850215839580924,best_cluster_within_galaxy_limit
P0070,gas_poor,41,416,14.519352775721492,9.628359297758395,1.507977873146236,-5.610068747316457,best_cluster_within_galaxy_limit
P0070,disk_dominated,104,640,14.686526806872047,9.942288606424803,1.4771776789281164,-9.350239349088781,best_cluster_within_galaxy_limit
P0070,bulge_dominated,13,181,18.436139305750853,12.30550257985143,1.4982028719361287,-7.1949228973135755,best_cluster_within_galaxy_limit
P0070,late_type,61,324,12.671705780564453,8.132247767315997,1.5582045878499688,-9.775500093710479,best_cluster_within_galaxy_limit
P0070,early_type,26,308,17.484518678380127,10.725983983629979,1.6301085947046947,-9.01058172239822,best_cluster_within_galaxy_limit
P0420,all,131,968,15.055912340196462,10.348465773189677,1.454893186118721,-8.019866879262654,best_zero_slip_within_galaxy_limit
P0420,dwarf_mass,19,92,11.256309418875077,6.315121038797132,1.782437636542769,-8.606912806371161,best_zero_slip_within_galaxy_limit
P0420,intermediate_mass,90,648,15.247854904713494,9.828369033085178,1.5514125337972897,-10.121556405045153,best_zero_slip_within_galaxy_limit
P0420,giant_mass,22,228,15.826886827048492,12.807628583496323,1.235739053788828,-1.8097658353984338,best_zero_slip_within_galaxy_limit
P0420,gas_rich,50,275,13.23931221392557,8.624709022190821,1.5350445075725654,-9.690565456850303,best_zero_slip_within_galaxy_limit
P0420,gas_poor,41,416,14.675127609775629,9.628359297758395,1.5241566248147995,-5.629464976666496,best_zero_slip_within_galaxy_limit
P0420,disk_dominated,104,640,13.936618530088912,9.942288606424803,1.4017515565865726,-8.488836532310188,best_zero_slip_within_galaxy_limit
P0420,bulge_dominated,13,181,18.503807399194336,12.30550257985143,1.5037018828870736,-7.574289040684856,best_zero_slip_within_galaxy_limit
P0420,late_type,61,324,11.682577457322246,8.132247767315997,1.4365742155908288,-8.631120400361931,best_zero_slip_within_galaxy_limit
P0420,early_type,26,308,17.493596158657212,10.725983983629979,1.630954902166177,-9.207177807928892,best_zero_slip_within_galaxy_limit
P0554,all,131,968,12.57091168672948,10.348465773189677,1.2147609087423965,-2.469939015004746,best_galaxy_below_cluster_threshold
P0554,dwarf_mass,19,92,9.350152888002361,6.315121038797132,1.4805975737534438,-6.038483909868682,best_galaxy_below_cluster_threshold
P0554,intermediate_mass,90,648,11.907385641832299,9.828369033085178,1.2115322086247007,-4.476429500378997,best_galaxy_below_cluster_threshold
P0554,giant_mass,22,228,15.253785505864892,12.807628583496323,1.1909921814504085,4.672657322056645,best_galaxy_below_cluster_threshold
P0554,gas_rich,50,275,11.222491736991879,8.624709022190821,1.301202360348289,-6.247336053581282,best_galaxy_below_cluster_threshold
P0554,gas_poor,41,416,12.14004703410445,9.628359297758395,1.2608635239578987,1.0013530786243285,best_galaxy_below_cluster_threshold
P0554,disk_dominated,104,640,11.620944199260311,9.942288606424803,1.1688399582115072,-3.4368185712799617,best_galaxy_below_cluster_threshold
P0554,bulge_dominated,13,181,15.744564934813456,12.30550257985143,1.279473538983529,-1.7567610754526286,best_galaxy_below_cluster_threshold
P0554,late_type,61,324,9.467136913100306,8.132247767315997,1.1641476236311086,-4.9195988814435765,best_galaxy_below_cluster_threshold
P0554,early_type,26,308,13.791349283617643,10.725983983629979,1.2857887262060088,-2.6353279113897052,best_galaxy_below_cluster_threshold
P0396,all,131,968,16.089220523687352,10.348465773189677,1.5547445269974758,-9.324644096042888,best_zero_slip_cluster_overall
P0396,dwarf_mass,19,92,11.915232034934213,6.315121038797132,1.8867780936790657,-9.429347521731588,best_zero_slip_cluster_overall
P0396,intermediate_mass,90,648,16.4453038247565,9.828369033085178,1.6732485084144455,-11.617434682150932,best_zero_slip_cluster_overall
P0396,giant_mass,22,228,16.525842536724642,12.807628583496323,1.2903124437899098,-2.7660431532298464,best_zero_slip_cluster_overall
P0396,gas_rich,50,275,14.165825277045965,8.624709022190821,1.6424699361564787,-10.897482205976544,best_zero_slip_cluster_overall
P0396,gas_poor,41,416,15.745815662029948,9.628359297758395,1.635358130610661,-6.790606419719761,best_zero_slip_cluster_overall
P0396,disk_dominated,104,640,14.959773698286234,9.942288606424803,1.5046609780185907,-9.825982983312358,best_zero_slip_cluster_overall
P0396,bulge_dominated,13,181,19.529183812659337,12.30550257985143,1.587028541575839,-8.818035452251888,best_zero_slip_cluster_overall
P0396,late_type,61,324,12.615946238647046,8.132247767315997,1.551347991308296,-9.856148500846635,best_zero_slip_cluster_overall
P0396,early_type,26,308,18.6637648960955,10.725983983629979,1.7400515350927412,-10.48442695133846,best_zero_slip_cluster_overall
