r_Mpc,M_Msun,M_stat_err_Msun,M_syst_err_up_Msun,M_syst_err_down_Msun,M2hsub_Msun,M2hsub_stat_err_Msun,M2hsub_syst_err_up_Msun,M2hsub_syst_err_down_Msun,ρ_Msun_Mpc3,ρ_stat_err_Msun_Mpc3,ρ_syst_err_up_Msun_Mpc3,ρ_syst_err_down_Msun_Mpc3
0.3416685099467855,1.632388194403095e14,2.863896869743367e13,9.334129273890312e12,9.856524560332996e12,1.6200889563708075e14,2.863640941328288e13,9.373105680739504e12,9.889466184897031e12,7.990507927609884e14,3.9669300295117544e14,1.9206799449361825e14,2.0160097468402e14
0.4555627440716902,2.5446240728951128e14,4.809644527818212e13,5.788516589908501e12,7.130157959312641e12,2.5212871636812825e14,4.8083965040330305e13,5.809939264990595e12,7.140159562169194e12,9.22493215940369e13,1.5362607815331812e14,5.990600382654375e11,1.6584817411150469e12
0.6075104248982122,3.417468438506592e14,6.318704013254207e13,7.433057303196067e12,1.0370627387186764e13,3.372387580666453e14,6.312969002280658e13,7.492270070753783e12,1.0407823973027113e13,3.2989561507692144e14,9.117062625985484e13,6.316608787228769e13,6.6801993348026125e13
0.8100718538678752,6.879589933669409e14,1.0752388679052831e14,2.9703709174710152e13,3.686784762621213e13,6.79445385286217e14,1.0735510634363402e14,3.008320878435016e13,3.720582176302784e13,1.226379606145079e14,5.426024162579071e13,6.51037609128462e13,6.6204411542980984e13
1.0802247194837704,7.912868757748615e14,1.342552007727893e14,2.146356843597958e13,3.0056444318892957e13,7.754296716951772e14,1.3353704332851764e14,2.1876337657990945e13,3.0391688470407855e13,2.5936110284879438e13,3.0831524411990523e13,1.7727824907678562e13,1.811960134177336e13
1.4404817612284584,9.247796314892119e14,1.8054910730163347e14,4.2323300378002427e12,1.2454842737143883e13,8.95297319853357e14,1.779515184853735e14,3.8495803779926333e12,1.3362110851303242e13,-1.5777192803745957e12,1.7314445362127883e13,4.0196553028401387e12,4.0362654255984053e12
1.9208599655328462,8.413232814368031e14,2.489170350083004e14,5.130352038435405e13,6.037942110275292e13,7.880436413021132e14,2.4352356227532516e14,4.752399386361559e13,5.632495197965265e13,1.940571837249922e11,9.578851562109062e12,6.640202674669563e12,6.67638792069685e12
2.561435200078338,9.917345311940194e14,3.644124018589337e14,6.8258586257253875e13,8.085963319758798e13,8.979859368348205e14,3.588054065587495e14,5.959040191421171e13,7.164768645188481e13,3.0636128014715547e12,6.037097867542495e12,1.3409658559370903e12,1.4226183673379595e12
3.415588735091628,1.320745241830271e15,6.129944050968924e14,1.9815174879359934e14,2.20956827947946e14,1.1631840199247612e15,6.07156416914262e14,1.7779926025425497e14,1.9934783759301894e14,3.9947247111064517e12,3.8512419325310396e12,2.3839330434411504e12,2.510529675903911e12
4.554637518187664,2.1881447195408195e15,1.1440489631251582e15,3.84869033969082e14,4.547887192400753e14,1.945728993260109e15,1.1377196658102882e15,3.400051436051367e14,4.049806473561298e14,1.8587738970516187e12,9.802777635902147e11,1.4215354576845737e12,0.0
