name,Vflat_kms,Vflat_stat_err_kms,log10_Mb_beta_Msun,log10_Mb_r4tail_Msun,log10_M200c_Msun,log10_M200c_stat_err_Msun,log10_M200c_NFW_Msun,log10_M200c_NFW_stat_err_up_Msun,log10_M200c_NFW_stat_err_down_Msun,Vflat_2hsub_kms,Vflat_2hsub_stat_err_kms,log10_Mb_beta_2hsub_Msun,log10_Mb_r4tail_2hsub_Msun,log10_M200c_2hsub_Msun,log10_M200c_2hsub_stat_err_Msun,log10_M200c_NFW_2hsub_Msun,log10_M200c_NFW_2hsub_stat_err_up_Msun,log10_M200c_NFW_2hsub_stat_err_down_Msun
Abell 383,1601.3334639985073,152.17654770341647,NaN,NaN,NaN,NaN,14.941538063325584,0.14192165058166495,-0.11731879529382105,1587.0117509882652,151.88133000702402,NaN,NaN,NaN,NaN,14.931344138361542,0.13503371930992714,-0.11735190516473892
Abell 209,1953.803961072379,107.9731904693626,14.420663173180799,14.129822358037336,15.285839967171166,0.11539670074887223,15.374742666284497,0.09410805484148099,-0.09755849579357623,1930.6020707722444,106.97464052362669,14.41149041950947,14.129822358037336,15.262655021891485,0.11161924279231032,15.351245106347971,0.09235526843130337,-0.09564338644934445
Abell 2261,1948.4112632424406,104.02026006800857,14.526220720846334,14.233702819011281,15.275704434476932,0.11525070157602463,15.303999931538414,0.07615498946849186,-0.08120449849786482,1923.8299706702446,103.01929150531356,14.512151300326154,14.233702819011281,15.248692804844554,0.11187625206334434,15.284392153959967,0.07466002818297746,-0.08254043926844012
RXJ2129,1331.4572686798824,126.34907974087157,14.141660823037002,13.89412957000084,14.96420425542775,0.17600718351267264,14.758815190039943,0.13243982383261255,-0.11695216581372136,1311.0700324953423,124.80153165261413,14.129537856793341,13.89412957000084,14.934069254654206,0.17586268657855544,14.747507585828327,0.12689486422430996,-0.11268964167445183
Abell 611,1764.451760152471,154.1690606924827,14.238810120142755,14.151560131967914,15.145266681699693,0.3804964542247802,15.206496167851363,0.1465060965782179,-0.15593643893553732,1736.7618302237645,152.94397102253512,14.223283407986752,14.151560131967914,15.106156105114232,0.15276776261296565,15.178871641286197,0.1463649556663924,-0.14743536998648565
MS2137,1749.86118813146,131.40440442600618,13.918551309827816,13.43386329937375,15.065873909037657,0.08207111366191107,15.117099350540862,0.13598998836089748,-0.13960207663966173,1723.4679144232778,131.39018039875478,13.914379982431312,13.43386329937375,15.049079151629726,0.07924940477936339,15.085708129405072,0.12929006090781847,-0.14751089671319484
RXJ2248,1756.3752965595183,181.2210976491634,14.477081580937153,14.489083900793757,15.170529014547009,0.15900838779126292,15.132359590637952,0.15331401540562695,-0.16897966669325903,1722.8137719216313,179.87927908603734,14.469571070466344,14.489083900793757,15.143703541324344,0.15119182879582688,15.105797623243408,0.1459326708634432,-0.1650083058490086
MACSJ1115,1825.4188497879081,126.29482431539189,14.380786663096556,13.853962728367955,15.319932854977967,0.18046203592183105,15.278049802063244,0.11508380440943711,-0.12554039373802972,1792.9843623468114,123.02733826537207,14.361798846116528,13.853962728367955,15.265806081799973,0.17742656379398178,15.242870022995675,0.11184022599121413,-0.12049776088404585
MACSJ1931,1714.4177632627043,297.0494409975229,NaN,NaN,15.3346909496149,0.31174366155451233,15.219352997514623,0.2570982272034392,-0.26814584727148727,1684.5414802838388,284.8245174555743,NaN,NaN,15.271804816725897,0.4629762620599887,15.192416760947307,0.23369983669536687,-0.25214692318490606
RXJ1532,1152.1412219782353,187.66791457361333,NaN,NaN,14.59842929642311,0.24690555060162414,14.69109149005803,0.11768811356140851,-0.13330725572061297,1136.0841988719078,187.19304438939147,NaN,NaN,14.576473827594116,0.23674598069193478,14.67937156906353,0.11561572913253393,-0.1327160097706077
MACSJ1720,1638.6332411195147,157.5252411333499,14.213426156685818,13.997130098317987,15.065132234184079,0.10936295041617718,15.05567841223726,0.09402985833576949,-0.10385872731754553,1609.8344550992135,156.6891417991488,14.204615965011351,13.997130098317987,15.040221214632528,0.14710064361621983,15.03430747373836,0.0895805792850517,-0.10443338724681794
MACSJ0429,1607.0986700259014,176.00002128575343,14.263219529380509,13.52023533246921,15.060892237233723,0.2426368810431572,14.886228049229558,0.14426675255667654,-0.1518071448623015,1572.7743030478966,172.07889202009915,14.243803265233291,13.52023533246921,15.018781232751481,0.23393479343820475,14.865000207558342,0.1398534579417472,-0.1488240902019342
MACSJ1206,1765.15861609362,146.05848676112907,14.507093281281144,14.469996676974251,15.21837871422727,0.17462493096957496,15.163944039911712,0.11461535089328834,-0.12114773001999168,1724.2368227300449,142.63392193108865,14.489371923752248,14.469996676974251,15.171640453971687,0.16862729582769323,15.124390937862398,0.10876460875806693,-0.1061419114658868
MACSJ0329,1459.539761231935,128.36345404113692,14.066925870817222,13.802594785390662,14.828426266798823,0.23159431689477705,14.966641360297075,0.06711275150461837,-0.06969965296480751,1427.74538434082,125.67708219695125,14.05441522229603,13.802594785390662,14.791820423829073,0.1997439502524524,14.951569539375235,0.06470120076768637,-0.06927588429108944
RXJ1347,2274.273721212555,171.25416013737512,14.73039151925565,14.450194702578756,15.444418030750006,0.12080933979029605,15.44371730229954,0.08616776896315592,-0.08256077035581555,2228.1828286301375,169.75605143122033,14.712408400881262,14.450194702578756,15.409351795984579,0.11442880354468761,15.417553926806123,0.08344732492476403,-0.07759466503182466
MACSJ0744,2016.768976020743,191.87872753763534,14.373853972119509,14.374124417601134,15.19454187531563,0.13945495056630874,15.180821429870452,0.11347307602946444,-0.12210484464371696,1970.5662271046065,191.05509938439914,14.363088856649604,14.374124417601134,15.165676592112575,0.13011506019233043,15.135857582518302,0.11316233701054124,-0.12288784250741713
MACSJ0416,1676.8400259943364,117.80293052270426,14.212058407976583,14.183232964151074,14.941214648880942,0.09073990721363172,14.990028138601724,0.09873237404997504,-0.10980107554963858,1653.206239083211,117.65299430966341,14.206851711109637,14.183232964151074,14.922073788475156,0.0873523356980883,14.962654462388908,0.09923036340666336,-0.1079432527481714
MACSJ1149,2250.746948510437,155.0299017887197,14.731307821591404,14.497280055719896,15.41912582536234,0.10498032705928419,15.392698450054269,0.1010432342726908,-0.11002591914653337,2200.726789916956,153.53818258212524,14.715578757989823,14.497280055719896,15.380967087825042,0.10449332659082176,15.346069738937217,0.0993414470584355,-0.10618468027452366
MACSJ0717,2499.117422708614,130.4904234376421,NaN,NaN,15.352040182920183,0.08311272030602898,15.488561756555608,0.07395589621938647,-0.07787323709837324,2457.4470816453454,129.9448811895119,NaN,NaN,15.324449027787,0.0776404266648447,15.446620302725869,0.07375393249679263,-0.07862130388696187
MACSJ0647,1724.6079729955263,181.08277910044436,14.123224023493165,14.247690198053848,14.965246225038669,0.13148494655971396,15.0913665745327,0.13574538989899665,-0.15778812456305147,1689.2728183722093,180.6792954976876,14.119409980388426,14.247690198053848,14.94242500473116,0.12569750010607467,15.042394540162924,0.13663055787828782,-0.1598141764496006
