r_over_R200,delta_v_obs_kms,delta_v_err_kms,delta_v_pred_kms
0.150,-294.717,187.270,46.498
0.450,86.683,69.441,22.240
0.800,-334.094,193.955,12.347
1.250,-154.466,129.415,6.707
1.750,-268.498,191.073,3.514
