domain,scenario,systems,median_sigma,minimum_sigma,maximum_sigma,median_multipole_gate,median_trace_length_kpc
registered_cluster_baryons_only,high,4,0.0006029045849769417,0.0005170512482356632,0.005514898127505023,0.0351795524994169,240.5569701991164
registered_cluster_baryons_only,low,4,0.00048618437594163196,0.0004167676855047986,0.004490524077033068,0.03517955237363337,240.83053512661763
registered_cluster_baryons_only,nominal,4,0.0005576863473755237,0.0004835692183084907,0.005141109207377582,0.035179552567013786,240.6684050483664
registered_galaxy_baryons_only,high,13,4.662067983533121e-06,5.605465994278759e-07,0.00011358280333215699,0.01389178364600745,1.4955571432808934
registered_galaxy_baryons_only,low,13,2.9881813186087256e-06,5.433690774042878e-07,7.933297405305824e-05,0.01389178364600745,1.7219466427214591
registered_galaxy_baryons_only,nominal,13,3.7045320966606855e-06,5.866257683623547e-07,9.96971372759183e-05,0.01389178364600745,1.5893453253392797
