case,domain,scenario,cells,cell_kpc,stellar_scale_height_kpc,gas_scale_height_kpc,multipole_gate,dipole_squared,quadrupole_squared,local_sigma_mass_weighted_mean,final_sigma_mass_weighted_mean,transverse_mismatch_mass_weighted_mean,survival_mass_weighted_mean,trace_length_mass_weighted_kpc,minimum_constitutive_eigenvalue_proxy,sigma_global_minimum,sigma_global_maximum,component_mass_relative_error,all_coefficients_finite
CVnIdwA,registered_galaxy_baryons_only,low,33,0.22821436876810547,0.8636030170271234,1.204972012087867,0.04490281969508879,0.015906808409125613,0.0300353757878436,0.00018528302563349878,8.31973029258151e-06,0.04261354733347917,0.007794318735634975,0.8376591083041098,0.0020982958826892676,1.1469269029533273e-14,7.930378629807916e-05,7.183140095735167e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,33,0.22821436876810547,0.8636030170271234,1.204972012087867,0.04490281969508879,0.015906808409125613,0.0300353757878436,0.0002465658382251029,1.1071501376790226e-05,0.05868855741870568,0.007667609388374742,0.8306401773360419,0.0021667943457613368,1.572302732302302e-14,9.815636647511259e-05,7.183140095735167e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,33,0.22821436876810547,0.8636030170271234,1.204972012087867,0.04490281969508879,0.015906808409125613,0.0300353757878436,0.0003104340511185835,1.3939364224593733e-05,0.078888641148048,0.007427737036372125,0.8165649094439016,0.0023037730026322124,2.094973750869534e-14,0.00011465404194410377,7.183140095735167e-16,True
DDO101,registered_galaxy_baryons_only,low,33,0.296275841653724,2.0171528081785106,1.9804759204250841,0.0063700316954859535,0.002860029106578309,0.003530377814117103,0.00046909991369843,2.9881813186087256e-06,0.03731827584936169,0.023190405654436367,1.4577543266391702,0.0008637841096150862,5.901373438670275e-14,2.0004444038213026e-05,3.656952770697621e-16,True
DDO101,registered_galaxy_baryons_only,nominal,33,0.296275841653724,2.0171528081785106,1.9804759204250841,0.0063700316954859535,0.002860029106578309,0.003530377814117103,0.0004407897031431236,2.8078443800655414e-06,0.03569233164170204,0.02287630985071683,1.4443797785777839,0.0016074488418756495,6.146156213039706e-14,1.9415991729457026e-05,3.656952770697621e-16,True
DDO101,registered_galaxy_baryons_only,high,33,0.296275841653724,2.0171528081785106,1.9804759204250841,0.0063700316954859535,0.002860029106578309,0.003530377814117103,0.0003690482876125739,2.3508492892569123e-06,0.03068291062516292,0.022508344007664563,1.42804021137785,0.003091989034636462,5.64489416468791e-14,1.650935615238993e-05,3.656952770697621e-16,True
DDO126,registered_galaxy_baryons_only,low,33,0.4538090708113212,2.211031329975282,2.7768165675022485,0.01836279750764126,0.004049091322782857,0.014484395131242448,0.0005734376035462507,1.0529918597186868e-05,0.023142290562467256,0.04103990858755049,1.9455571250497348,0.0012901363616258847,1.8406196865724194e-11,7.533827355531545e-05,2.503686313572835e-16,True
DDO126,registered_galaxy_baryons_only,nominal,33,0.4538090708113212,2.211031329975282,2.7768165675022485,0.01836279750764126,0.004049091322782857,0.014484395131242448,0.0007007956778036885,1.2868569125739338e-05,0.028475625914285284,0.0396550416982413,1.9109814253018198,0.0015098047960776081,2.2756913746180937e-11,9.261223700573097e-05,2.503686313572835e-16,True
DDO126,registered_galaxy_baryons_only,high,33,0.4538090708113212,2.211031329975282,2.7768165675022485,0.01836279750764126,0.004049091322782857,0.014484395131242448,0.000767639519243507,1.4096009050731605e-05,0.032130772309596475,0.037244510164353734,1.846631516680745,0.0017717457730335572,2.5680098045526364e-11,0.00010294797669480575,2.503686313572835e-16,True
DDO133,registered_galaxy_baryons_only,low,33,0.5702980091938404,2.9930945550628967,3.8976397140262438,0.01389178364600745,0.0033398281172265904,0.010649349390167553,0.0015285995222156384,2.1234973844010007e-05,0.03945529789387689,0.0789773696380821,2.724523862947022,0.0014323461910116496,6.904158843821184e-12,0.0001194993534397492,1.4504325529718034e-15,True
DDO133,registered_galaxy_baryons_only,nominal,33,0.5702980091938404,2.9930945550628967,3.8976397140262438,0.01389178364600745,0.0033398281172265904,0.010649349390167553,0.001866490501881784,2.592888222946961e-05,0.047836148814034404,0.07624468221115305,2.677192476503626,0.0016116687502162324,8.511591246481412e-12,0.00014281699328259662,1.4504325529718034e-15,True
DDO133,registered_galaxy_baryons_only,high,33,0.5702980091938404,2.9930945550628967,3.8976397140262438,0.01389178364600745,0.0033398281172265904,0.010649349390167553,0.002051145055040112,2.8494063331195277e-05,0.05300669083587952,0.07173609016430135,2.594071071912058,0.0024788352417622903,9.558216169063224e-12,0.00015210507558821717,1.4504325529718034e-15,True
DDO210,registered_galaxy_baryons_only,low,33,0.08688342628607038,0.7656283344775086,0.46358414837512746,0.02184525117770102,0.012262263598230388,0.009825127986465069,3.829742336317561e-05,8.366168328273265e-07,0.057140503175228834,0.001170703808147308,0.31709699981383604,0.0005537798459629731,4.539663351275539e-12,5.6099347691388755e-05,1.7178187557734773e-15,True
DDO210,registered_galaxy_baryons_only,nominal,33,0.08688342628607038,0.7656283344775086,0.46358414837512746,0.02184525117770102,0.012262263598230388,0.009825127986465069,5.2139530819344274e-05,1.1390011470360593e-06,0.07282320937485369,0.0013112122619277282,0.33488014890350887,0.0006455404228633855,5.120965349611022e-12,5.9980536781949935e-05,1.7178187557734773e-15,True
