galaxy,model,prediction_kind,scored_pixels,gas_weighted_rmse_km_s,inverse_variance_weighted_rmse_km_s,gas_weighted_bias_km_s,gas_weighted_uncertainty_rms_km_s,field_error_ratio,standardized_mean_square,error_band,kinematic_twin_source_transport_rmse_km_s,fitted_observation_nuisances,fitted_gravity_parameters
NGC3521,newtonian_thin_sheet,registered_baryons_photometric_axis,7962,54.30761675313435,56.81139827795367,5.718881271622773,34.4397862320656,1.576886000023152,4.523924998745084,close,2.4845271615724345,0,0
NGC3521,newtonian_thin_sheet,registered_baryons_kinematic_axis,7962,54.31058594758745,56.796411323353574,5.721366780470599,34.4397862320656,1.5769722141022144,4.5215384735843,close,2.4845271615724345,1,0
NGC3521,newtonian_thin_sheet,fake_twin_kinematic_axis,7962,54.64910921244212,56.99200303318075,5.681403290191019,34.4397862320656,1.5868016382041412,4.552734043767891,close,2.4845271615724345,1,0
NGC3521,fixed_simple_mond,registered_baryons_photometric_axis,7962,24.228433142380638,25.189779629290175,6.538543715886015,34.4397862320656,0.7035012638906117,0.8893919113537163,consistent,2.736591663864663,0,0
NGC3521,fixed_simple_mond,registered_baryons_kinematic_axis,7962,24.213886673083483,25.16945660313369,6.540324179075728,34.4397862320656,0.7030788899188589,0.8879573737066384,consistent,2.736591663864663,1,0
NGC3521,fixed_simple_mond,fake_twin_kinematic_axis,7962,24.493334201034273,25.220094963834605,6.54150816675213,34.4397862320656,0.7111929800025717,0.8915339259278969,consistent,2.736591663864663,1,0
NGC6946,newtonian_thin_sheet,registered_baryons_photometric_axis,23067,66.01097926134409,70.06967264660855,-15.729157537273933,12.263065790205529,5.382909982760334,79.00605964007342,miss,8.940498188062225,0,0
NGC6946,newtonian_thin_sheet,registered_baryons_kinematic_axis,23067,39.13841338960026,43.829456911883945,-11.206859131973944,12.263065790205529,3.191568410312206,30.91237718449289,miss,8.940498188062225,1,0
NGC6946,newtonian_thin_sheet,fake_twin_kinematic_axis,23067,39.0013361450102,43.064919186562356,-11.305470283744423,12.263065790205529,3.1803903536227,29.843344915743014,miss,8.940498188062225,1,0
NGC6946,fixed_simple_mond,registered_baryons_photometric_axis,23067,71.15309095214117,76.60796217924525,-16.8926149527184,12.263065790205529,5.802226960975037,94.43827487716064,miss,12.106845407081233,0,0
NGC6946,fixed_simple_mond,registered_baryons_kinematic_axis,23067,29.63930269629225,36.44417699962588,-9.356316009434932,12.263065790205529,2.416956999445038,21.372558752472862,miss,12.106845407081233,1,0
NGC6946,fixed_simple_mond,fake_twin_kinematic_axis,23067,27.584382758697497,34.20161895356502,-9.427179821367432,12.263065790205529,2.249387162281153,18.8232041911076,miss,12.106845407081233,1,0
