case,domain,scenario,mode,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,activation_global_minimum,activation_global_maximum,mismatch_weighted_mean,trace_length_weighted_mean_kpc
CVnIdwA,sealed_galaxy_baryons_only,low,transverse_tensor_mix,0.005397872736358518,0.001314968878241853,0.014440449453287652,0.12914940110753834,1.4437871090776333,723,2.7015094646699625e-11,0.12914940110753834,0.07900782772075296,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,nominal,transverse_tensor_mix,0.006525810690664404,0.001772750687549358,0.01802388020905152,0.09594099610255545,1.4380676828974952,721,3.717885252803612e-11,0.09594099610255545,0.10410010509043299,0.7961102802085851
CVnIdwA,sealed_galaxy_baryons_only,high,transverse_tensor_mix,0.007477323856581579,0.0023881264271843937,0.01965267054882431,0.11083049964420204,1.4165728733360534,700,4.9890891002659766e-11,0.11083049964420204,0.1334949446609834,0.7635978495593632
DDO101,sealed_galaxy_baryons_only,low,transverse_tensor_mix,0.008017045326680143,0.002272881936637169,0.02363352082037166,0.12264467334296422,2.4686239545754516,1258,5.423602464847046e-11,0.12264467334296422,0.09260657437920823,1.421446956712804
DDO101,sealed_galaxy_baryons_only,nominal,transverse_tensor_mix,0.007733847121573955,0.0023177007577632517,0.02096959680516036,0.08840408681396958,2.4837681943627357,1267,5.2582559206216655e-11,0.13466128002286798,0.08955366432390283,1.457203580882073
DDO101,sealed_galaxy_baryons_only,high,transverse_tensor_mix,0.0064834281389968655,0.0020212115690853563,0.01692664929400988,0.0735361097016737,2.5017758715337775,1291,4.551780456065607e-11,0.0735361097016737,0.07729726994958319,1.4228194303095139
DDO126,sealed_galaxy_baryons_only,low,transverse_tensor_mix,0.00648560573671841,0.0024249533331547717,0.019899696895309862,0.11912205563597451,3.426718341915738,1027,9.018502266636298e-11,0.36039227124106044,0.06628748733444442,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,nominal,transverse_tensor_mix,0.008475084056290057,0.003196329256164479,0.023892644902891794,0.14243346024836231,3.37119138389492,1000,1.1319937253735428e-10,0.35407228535026725,0.08223863415280064,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,high,transverse_tensor_mix,0.010342976224616537,0.0038972294670984024,0.028661938227981663,0.18375221486088308,3.3011811530953197,950,1.305756426307209e-10,0.2133090515462514,0.09453579012628342,1.6364318439419223
DDO133,sealed_galaxy_baryons_only,low,transverse_tensor_mix,0.01323912842406648,0.0062057191183822365,0.03914734428862819,0.1830592152843,4.849337774257565,1294,2.5072726655231906e-13,0.1830592152843,0.09938446164791215,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,nominal,transverse_tensor_mix,0.015915498563273837,0.00758135355598012,0.04556553581200581,0.19093418098678322,4.7705035317132,1268,3.410912086867271e-13,0.19093418098678322,0.11910152888530781,2.332656432990508
DDO133,sealed_galaxy_baryons_only,high,transverse_tensor_mix,0.017451138646287917,0.00867706142635392,0.049132427565268935,0.18845639001425618,4.646442774132567,1196,4.4786399348892057e-13,0.18845639001425618,0.13439030348455921,2.131158873973283
DDO210,sealed_galaxy_baryons_only,low,transverse_tensor_mix,0.003840020618257998,0.0013838627336951743,0.01066156370486885,0.05587903351340015,0.6547658655966685,1026,5.122047225154073e-10,0.11019874643447858,0.15526914024862168,0.2911490633459505
DDO210,sealed_galaxy_baryons_only,nominal,transverse_tensor_mix,0.0041834155535344295,0.0016223498310548817,0.01174051567761742,0.05096759709415176,0.716505744129723,1233,3.2926986048768634e-10,0.06044671694909674,0.1942959453217548,0.2715929146708713
DDO210,sealed_galaxy_baryons_only,high,transverse_tensor_mix,0.0038398071098583427,0.001650642917896547,0.01021072822033616,0.049719579246897155,0.8122091716294675,1579,1.983618348788106e-10,0.05363410872826167,0.2295065123668049,0.23463287195899965
