model,routing_fraction,parameter,value,lower,upper
linear_route_00_f0,0.0,map_center_x_arcsec,-0.49687233889870347,-3.0,3.0
linear_route_00_f0,0.0,map_center_y_arcsec,2.5094852604125837,-3.0,3.0
linear_route_00_f0,0.0,external_shear_gamma1_at_reference_source,-0.24999999999999997,-0.25,0.25
linear_route_00_f0,0.0,external_shear_gamma2_at_reference_source,-0.24999999999999997,-0.25,0.25
linear_route_01_f0p025,0.025,map_center_x_arcsec,0.13293616497480862,-3.0,3.0
linear_route_01_f0p025,0.025,map_center_y_arcsec,2.38894607037561,-3.0,3.0
linear_route_01_f0p025,0.025,external_shear_gamma1_at_reference_source,-0.24999999992983257,-0.25,0.25
linear_route_01_f0p025,0.025,external_shear_gamma2_at_reference_source,-0.24999999996617017,-0.25,0.25
linear_route_02_f0p05,0.05,map_center_x_arcsec,0.5163349816963985,-3.0,3.0
linear_route_02_f0p05,0.05,map_center_y_arcsec,2.140421227631625,-3.0,3.0
linear_route_02_f0p05,0.05,external_shear_gamma1_at_reference_source,-0.24999999997666159,-0.25,0.25
linear_route_02_f0p05,0.05,external_shear_gamma2_at_reference_source,-0.2499999999979461,-0.25,0.25
linear_route_03_f0p075,0.075,map_center_x_arcsec,0.7506001056806754,-3.0,3.0
linear_route_03_f0p075,0.075,map_center_y_arcsec,1.783493242424684,-3.0,3.0
linear_route_03_f0p075,0.075,external_shear_gamma1_at_reference_source,-0.24999999999304037,-0.25,0.25
linear_route_03_f0p075,0.075,external_shear_gamma2_at_reference_source,-0.24999999999470252,-0.25,0.25
linear_route_04_f0p1,0.1,map_center_x_arcsec,0.8895703791567269,-3.0,3.0
linear_route_04_f0p1,0.1,map_center_y_arcsec,1.4463151995177705,-3.0,3.0
linear_route_04_f0p1,0.1,external_shear_gamma1_at_reference_source,-0.24208336151941184,-0.25,0.25
linear_route_04_f0p1,0.1,external_shear_gamma2_at_reference_source,-0.24999999961722558,-0.25,0.25
linear_route_05_f0p118862891957,0.11886289195733203,map_center_x_arcsec,0.9338572352590331,-3.0,3.0
linear_route_05_f0p118862891957,0.11886289195733203,map_center_y_arcsec,1.3539727019696326,-3.0,3.0
linear_route_05_f0p118862891957,0.11886289195733203,external_shear_gamma1_at_reference_source,-0.22080235645827206,-0.25,0.25
linear_route_05_f0p118862891957,0.11886289195733203,external_shear_gamma2_at_reference_source,-0.24999999981864185,-0.25,0.25
linear_route_06_f0p125,0.125,map_center_x_arcsec,0.9526584158233813,-3.0,3.0
linear_route_06_f0p125,0.125,map_center_y_arcsec,1.3213268652928556,-3.0,3.0
linear_route_06_f0p125,0.125,external_shear_gamma1_at_reference_source,-0.2140815381443363,-0.25,0.25
linear_route_06_f0p125,0.125,external_shear_gamma2_at_reference_source,-0.24999999985018062,-0.25,0.25
linear_route_07_f0p15,0.15,map_center_x_arcsec,1.043899345305555,-3.0,3.0
linear_route_07_f0p15,0.15,map_center_y_arcsec,1.1612077988839267,-3.0,3.0
linear_route_07_f0p15,0.15,external_shear_gamma1_at_reference_source,-0.18850434153440532,-0.25,0.25
linear_route_07_f0p15,0.15,external_shear_gamma2_at_reference_source,-0.24999999997535524,-0.25,0.25
linear_route_08_f0p2,0.2,map_center_x_arcsec,1.1552741966239788,-3.0,3.0
linear_route_08_f0p2,0.2,map_center_y_arcsec,0.9624138712930985,-3.0,3.0
linear_route_08_f0p2,0.2,external_shear_gamma1_at_reference_source,-0.15457268799457372,-0.25,0.25
linear_route_08_f0p2,0.2,external_shear_gamma2_at_reference_source,-0.22669397442733458,-0.25,0.25
linear_route_09_f0p3,0.3,map_center_x_arcsec,1.7950549442552124,-3.0,3.0
linear_route_09_f0p3,0.3,map_center_y_arcsec,1.3259148044550542,-3.0,3.0
linear_route_09_f0p3,0.3,external_shear_gamma1_at_reference_source,-0.09672774205794818,-0.25,0.25
linear_route_09_f0p3,0.3,external_shear_gamma2_at_reference_source,-0.14880739379457214,-0.25,0.25
linear_route_10_f0p4,0.4,map_center_x_arcsec,-0.011529887623922075,-3.0,3.0
