model,routing_fraction,registered_quadrupole_marker,field_normalized_residual_RMS,mixed_source_identity_relative_RMS,boundary_maximum_relative_mismatch,strong_lens_median_physical_deflection_arcsec,strong_lens_RMS_physical_deflection_arcsec,normalized_deflection_curl_RMS,training_RMS_arcsec,training_roots_converged,heldout_RMS_arcsec,heldout_roots_converged,candidate_to_compact_halo_heldout_RMS_ratio,optimizer_cost,nuisance_parameters_near_bound,families,missing_multiplicity_families,exact_multiplicity_families,demagnified_only_surplus_families,potentially_observable_surplus_families,exact_or_demagnified_only_families,parity_diverse_families,critical_curve_present_families,total_global_roots,total_observed_images,passes_all_diagnostic_viability_gates,failed_diagnostic_gates
linear_route_00_f0,0.0,False,2.9286374690145644e-14,0.0,0.0,8.66344067620818,8.466656663210383,4.2271192572082147e-16,inf,14,inf,6,inf,1049.0482382594043,2,7,4,3,0,0,3,4,7,15,22,False,"training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,acceptable_multiplicity,parity_diversity,nuisance_bounds"
linear_route_01_f0p025,0.025,False,3.11722225227112e-14,0.0,0.0,9.039189608348039,8.835919141325455,4.2541723446151307e-16,inf,13,inf,4,inf,767.8256873030349,2,7,4,3,0,0,3,4,7,15,22,False,"training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,acceptable_multiplicity,parity_diversity,nuisance_bounds"
linear_route_02_f0p05,0.05,False,3.1508585199693877e-14,0.0,0.0,9.414822478806467,9.205400167741589,4.046085870013156e-16,inf,13,inf,5,inf,539.7012538898816,2,7,3,4,0,0,4,5,7,17,22,False,"training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,acceptable_multiplicity,parity_diversity,nuisance_bounds"
linear_route_03_f0p075,0.075,False,3.294268335857845e-14,0.0,0.0,9.779583803765767,9.575074442599938,4.577087052790331e-16,inf,14,inf,6,inf,374.4377237664614,2,7,2,5,0,0,5,6,7,19,22,False,"training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,parity_diversity,nuisance_bounds"
linear_route_04_f0p1,0.1,False,2.9716902885955516e-14,0.0,0.0,10.129789498048405,9.944920415531866,4.279021353845319e-16,inf,13,inf,5,inf,273.458598026564,1,7,3,4,0,0,4,5,7,17,22,False,"training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,acceptable_multiplicity,parity_diversity,nuisance_bounds"
linear_route_05_f0p118862891957,0.11886289195733203,True,3.197341127740863e-14,0.0,0.0,10.394025874176528,10.224077324688517,3.920553143515081e-16,inf,13,inf,5,inf,217.25471632504755,1,7,3,4,0,0,4,5,7,17,22,False,"training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,acceptable_multiplicity,parity_diversity,nuisance_bounds"
linear_route_06_f0p125,0.125,False,3.1270408789832155e-14,0.0,0.0,10.479996225107337,10.314919617624415,4.0899987193136753e-16,inf,14,inf,6,inf,201.00720310263262,1,7,2,5,0,0,5,6,7,19,22,False,"training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,parity_diversity,nuisance_bounds"
linear_route_07_f0p15,0.15,False,3.270165181556962e-14,0.0,0.0,10.858912026026134,10.68505613095701,4.3361112919749363e-16,0.9527444949918538,15,2.912494999043335,7,1.148411771213196,146.50106335936837,1,7,1,6,0,0,6,7,7,21,22,False,"no_missing_multiplicity,nuisance_bounds"
linear_route_08_f0p2,0.2,False,3.2610654067534687e-14,0.0,0.0,11.608401013514136,11.425687707948917,4.2140979434135554e-16,0.7347871367915767,15,2.5738860437440083,7,1.014896517030209,86.59613611525894,0,7,1,6,0,0,6,7,7,21,22,False,no_missing_multiplicity
linear_route_09_f0p3,0.3,False,3.223892640983102e-14,0.0,0.0,13.052023137157537,12.908096979710926,4.1457923126233006e-16,0.4951692816279737,15,2.6920780550188983,7,1.0615002355107663,48.95820047253972,0,7,0,5,0,2,5,7,7,25,22,True,
linear_route_10_f0p4,0.4,False,3.245186080968584e-14,0.0,0.0,14.533436575198008,14.39164084409435,4.1432740112776457e-16,0.7216865765543865,15,5.946805470106689,7,2.34485601013179,104.3556257665921,0,7,1,4,0,2,4,7,7,25,22,False,"heldout_RMS,compact_halo_comparison,no_missing_multiplicity,acceptable_multiplicity"
linear_route_11_f0p5,0.5,False,3.103489670429622e-14,0.0,0.0,16.081224940527136,15.876001235919617,4.050237226104182e-16,1.0889246423116337,15,7.681980204228393,7,3.029044340217037,230.30372558911694,1,7,0,2,0,5,2,7,7,31,22,False,"heldout_RMS,compact_halo_comparison,observable_surplus,acceptable_multiplicity,nuisance_bounds"
linear_route_12_f0p6,0.6,False,3.1176194563212674e-14,0.0,0.0,17.65907173067091,17.360968717504583,3.8555653750746305e-16,1.6674581950344625,15,16.616592202434596,7,6.552007845161408,513.4487448280944,1,7,1,1,0,5,1,7,7,33,22,False,"heldout_RMS,compact_halo_comparison,no_missing_multiplicity,observable_surplus,acceptable_multiplicity,nuisance_bounds"
linear_route_13_f0p7,0.7,False,2.8773099331479886e-14,0.0,0.0,19.19746295500516,18.846399785825383,4.0599354522545666e-16,2.0647034169747744,15,inf,4,inf,799.2407857400106,2,7,1,0,0,6,0,7,7,33,22,False,"heldout_roots,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,observable_surplus,acceptable_multiplicity,nuisance_bounds"
linear_route_14_f0p8,0.8,False,2.5577476848413596e-14,0.0,0.0,20.70691515870434,20.33219283485873,4.058250756260172e-16,inf,14,inf,5,inf,1396.9328050895015,2,7,1,2,0,4,2,7,7,29,22,False,"field_amplitude_upper,training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,observable_surplus,acceptable_multiplicity,nuisance_bounds"
linear_route_15_f0p9,0.9,False,2.5910875040746402e-14,0.0,0.0,22.24383141859101,21.81827391363342,3.848524140380137e-16,inf,13,inf,6,inf,1848.2802207734283,2,7,2,2,0,3,2,6,7,25,22,False,"field_amplitude_upper,training_roots,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,observable_surplus,acceptable_multiplicity,parity_diversity,nuisance_bounds"
linear_route_16_f1,1.0,False,2.4665948068714115e-14,0.0,0.0,23.806094322371564,23.304587921191125,3.8088934270519685e-16,3.4859402954175094,15,inf,6,inf,2044.609636183798,3,7,1,3,0,3,3,7,7,27,22,False,"field_amplitude_upper,heldout_roots,training_RMS,heldout_RMS,compact_halo_comparison,no_missing_multiplicity,observable_surplus,acceptable_multiplicity,nuisance_bounds"
