model,routing_fraction,system_label,variant_id,source_family,source_redshift,observed_images,global_roots,surplus_roots,missing_roots,unassigned_roots,potentially_observable_surplus_roots,faintest_assigned_abs_magnification,observable_surplus_abs_magnification_threshold,all_observed_images_assigned,assignment_RMS_arcsec,assignment_max_arcsec,multiplicity_classification,parity_diverse,critical_sign_change_cells,critical_curve_present
linear_route_03_f0p075,0.075,RXJ2129,linear_route_03_f0p075,6,3.0815,3,3,0,0,0,0,2.3792596034487254,0.5948149008621814,True,1.524747663874204,1.9165365635803502,exact_multiplicity,True,286,True
linear_route_03_f0p075,0.075,RXJ2129,linear_route_03_f0p075,7,3.427,3,3,0,0,0,0,3.0067355335504957,0.7516838833876239,True,3.5358678737014264,6.0264896111186195,exact_multiplicity,True,296,True
linear_route_04_f0p1,0.1,RXJ2129,linear_route_04_f0p1,1,0.6786,3,3,0,0,0,0,5.65700157304762,1.414250393261905,True,2.7957223700720015,4.0137847286624755,exact_multiplicity,True,84,True
linear_route_04_f0p1,0.1,RXJ2129,linear_route_04_f0p1,2,0.916,3,1,0,2,0,0,3.347374141942718,0.8368435354856795,False,,1.5001840812105893,missing_multiplicity,False,162,True
linear_route_04_f0p1,0.1,RXJ2129,linear_route_04_f0p1,3,1.5194,4,3,0,1,0,0,2.652802610468303,0.6632006526170757,False,,3.305539213751508,missing_multiplicity,True,214,True
linear_route_04_f0p1,0.1,RXJ2129,linear_route_04_f0p1,4,1.5202,3,3,0,0,0,0,3.0059571566491035,0.7514892891622759,True,2.228544139982195,3.403285851254987,exact_multiplicity,True,214,True
linear_route_04_f0p1,0.1,RXJ2129,linear_route_04_f0p1,5,1.521,3,3,0,0,0,0,6.28626424449154,1.571566061122885,True,3.497037237132366,5.366393680325774,exact_multiplicity,True,214,True
linear_route_04_f0p1,0.1,RXJ2129,linear_route_04_f0p1,6,3.0815,3,1,0,2,0,0,2.2738527511324262,0.5684631877831066,False,,0.9597281210178585,missing_multiplicity,False,298,True
linear_route_04_f0p1,0.1,RXJ2129,linear_route_04_f0p1,7,3.427,3,3,0,0,0,0,2.839847924995456,0.709961981248864,True,2.661918938903627,4.48832219097017,exact_multiplicity,True,306,True
linear_route_05_f0p118862891957,0.11886289195733203,RXJ2129,linear_route_05_f0p118862891957,1,0.6786,3,3,0,0,0,0,4.98000238113708,1.24500059528427,True,2.4475910806323657,3.433678604545205,exact_multiplicity,True,88,True
linear_route_05_f0p118862891957,0.11886289195733203,RXJ2129,linear_route_05_f0p118862891957,2,0.916,3,1,0,2,0,0,3.2617399533500966,0.8154349883375241,False,,1.2038331658463404,missing_multiplicity,False,166,True
linear_route_05_f0p118862891957,0.11886289195733203,RXJ2129,linear_route_05_f0p118862891957,3,1.5194,4,3,0,1,0,0,2.620024991600953,0.6550062479002382,False,,3.0728018251595235,missing_multiplicity,True,216,True
