candidate_id,role,family,feature,fixed_slope,parameter_count,parameters_json,feature_log10_center,feature_log10_IQR,development_q_min,development_q_median,development_q_max
constant,one-strength control,constant,none,,1,[1.2214174667358473],,,1.2214174667358473,1.2214174667358473,1.2214174667358473
inverse_hill0_m1__potential_depth,P0623 primary winner,inverse_hill_zero_floor,potential_depth,1.0,2,"[1.7876062572497071, 1.074325102309615]",-7.167481648323096,0.9318351528740374,0.8960304008536516,1.3325148824629447,1.7113051788985607
inverse_hillfloor_m2__outward_radial_column,best monotonic local path-density candidate,inverse_hill_free_floor,outward_radial_column,2.0,3,"[0.8992052089333402, 0.10031448302324737, 0.5458567842352822]",7.0971230501753535,0.8552024732478749,0.9210373415981431,1.2823048945774436,1.410700921299343
inverse_loglinear__pair_surface_L30p0kpc,best physical-scale pair-surface candidate,inverse_log_linear,pair_surface_L30p0kpc,,2,"[0.2385556299775111, -0.20810612475631415]",6.656260507049973,1.3168293573706968,1.0796460036315925,1.2694143215623797,2.0415530530248587
inverse_loglinear__pair_count_L30p0kpc,best four-fold physical-scale pair-count candidate,inverse_log_linear,pair_count_L30p0kpc,,2,"[0.23987908661623525, -0.20927093233065472]",20.881790135419116,2.7365644595094274,1.0817797253493981,1.2710954485775174,2.023056842503897
inverse_hillfloor_m2__mean_surface_R80,simple density candidate available in every domain,inverse_hill_free_floor,mean_surface_R80,2.0,3,"[1.1005943604602806, 1.0, -1.853763955436799]",7.859944287847834,1.245871949970872,1.1196612262944217,1.2179371389755778,1.9110292257490922
