R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.45,8.41,1.58,8.4,9.99,0.0,13.052206709978202
0.9,17.8,2.22,13.51,15.52,0.0,20.57645499108143
1.35,26.0,2.35,16.7,20.76,0.0,26.643340631384795
1.8,30.9,2.22,18.72,21.37,0.0,28.40977472631559
2.25,34.7,1.82,19.9,19.92,0.0,28.156995578363823
2.69,38.8,1.81,20.61,18.76,0.0,27.869512015821158
3.14,42.5,1.57,20.73,17.36,0.0,27.03890715247197
3.59,45.6,1.59,20.61,16.32,0.0,26.289056658617476
4.04,48.8,1.83,20.38,15.37,0.0,25.52609057415569
4.49,51.8,1.91,19.9,14.49,0.0,24.616459940454476
4.94,54.8,2.19,19.43,13.72,0.0,23.785779364990336
5.39,56.6,2.73,18.84,13.04,0.0,22.912599154177162
5.84,58.4,3.27,18.25,12.45,0.0,22.092193191261025
6.29,58.5,3.95,17.65,11.93,0.0,21.303694515271285
6.74,57.7,4.07,17.06,11.48,0.0,20.562927807099843
7.19,57.3,3.94,16.47,11.08,0.0,19.850120906432785
