R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.74,87.5,9.4,11.85,126.23,0.0,126.78499674646051
3.5,106.0,7.1,22.09,136.2,0.0,137.9797380052593
5.24,116.0,5.3,28.99,123.81,0.0,127.15870477478134
6.98,125.0,5.7,34.81,109.91,0.0,115.2906943339314
8.72,126.0,4.4,36.96,98.62,0.0,105.31830800008136
10.47,123.0,4.4,36.75,89.83,0.0,97.0566401643906
12.31,118.0,4.6,34.7,83.14,0.0,90.09078532236246
14.52,115.0,6.4,34.16,76.18,0.0,83.48831055902377
17.07,122.0,15.2,34.92,70.2,0.0,78.40565285743114
31.82,121.0,10.2,33.73,50.64,0.0,60.845069644137965
34.61,118.0,10.4,32.54,48.51,0.0,58.41294120312724
37.16,113.0,10.5,31.57,46.75,0.0,56.41123469664531
