R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.72,125.0,17.6,2.2,201.48,0.0,201.4920107597321
1.43,162.0,8.5,3.72,240.13,0.0,240.15881266362055
2.16,178.0,5.22,4.09,263.27,0.0,263.30176793937403
2.87,193.0,1.88,5.34,280.74,0.0,280.7907818999762
3.59,192.0,3.59,6.03,273.32,0.0,273.3865089941345
4.3,190.0,0.97,5.11,272.18,0.0,272.22796421381844
5.03,195.0,0.99,8.42,273.73,0.0,273.85946998415085
5.75,201.0,0.45,14.42,276.2,0.0,276.5761674475948
6.46,204.0,0.81,19.11,279.72,0.0,280.372021607007
7.18,204.0,0.65,22.51,275.62,0.0,276.53767284042874
7.91,206.0,0.66,25.8,271.43,0.0,272.65341534629636
8.62,206.0,1.54,28.49,267.09,0.0,268.6051901955731
11.49,206.0,1.9,33.07,245.58,0.0,247.79661276942429
14.3,206.0,0.42,45.73,225.03,0.0,229.62955776641647
17.19,203.0,4.19,47.26,208.52,0.0,213.808554552899
20.07,200.0,1.23,44.56,190.41,0.0,195.55449803060014
22.96,194.0,4.09,40.45,175.86,0.0,180.45204930950496
25.85,188.0,5.2,37.41,164.23,0.0,168.43693478569358
28.74,184.0,1.16,38.46,154.38,0.0,159.0985732179896
31.62,182.0,2.47,40.22,146.2,0.0,151.63142286478748
34.51,180.0,3.85,42.57,139.3,0.0,145.65951702515014
37.4,181.0,8.43,40.57,133.34,0.0,139.3753224211517
40.29,180.0,4.55,41.86,128.12,0.0,134.78499174611395
43.17,179.0,0.44,42.92,123.52,0.0,130.76435599963776
45.92,179.0,1.96,44.68,119.59,0.0,127.66389661920869
48.81,179.0,2.99,44.56,115.83,0.0,124.10552969146862
51.7,174.0,3.39,43.74,112.43,0.0,120.63868575212514
54.59,172.0,4.84,41.74,109.32,0.0,117.01747732710699
