R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.74,59.2,3.5,0.0,56.25,0.0,56.25
2.61,71.2,4.0,0.0,59.09,0.0,59.09
3.5,84.5,4.4,6.4,61.72,0.0,62.05093391722642
4.37,93.5,4.5,14.66,63.73,0.0,65.39440725322005
5.24,97.5,3.5,17.89,64.38,0.0,66.8194320538569
6.11,100.0,3.5,20.91,64.3,0.0,67.61448143704128
6.98,101.0,4.0,24.79,64.23,0.0,68.84792662092302
7.85,103.0,3.5,27.59,62.94,0.0,68.72155193241782
8.72,105.0,4.0,29.1,61.95,0.0,68.44422912123417
9.6,110.0,4.9,32.76,60.68,0.0,68.9585382675706
10.47,111.0,6.0,36.86,60.19,0.0,70.57971167410646
