R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.74,84.9,11.3,0.0,137.12,0.0,137.12
3.5,136.0,9.9,0.0,180.27,0.0,180.27
5.24,162.0,8.0,16.92,240.94,0.0,241.53337243536348
6.98,179.0,6.5,31.57,264.14,0.0,266.0199325238618
8.72,182.0,6.1,42.24,243.55,0.0,247.18580076533524
10.47,179.0,7.0,48.71,230.28,0.0,235.3753226232521
12.19,174.0,6.2,53.67,219.07,0.0,225.54851761871547
13.94,171.0,7.2,54.74,199.15,0.0,206.5361714083032
15.68,168.0,6.1,54.64,184.18,0.0,192.1140338444852
17.42,165.0,5.6,53.77,172.93,0.0,181.09665319933444
19.28,171.0,8.6,52.37,162.7,0.0,170.92076205072337
21.48,174.0,7.6,50.22,152.44,0.0,160.49922741247073
