R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.32,284.0,34.7,-3.24,26.79,189.88,191.7879456587405
0.63,282.0,18.8,-2.41,50.47,292.13,296.4674786549108
0.95,281.0,12.6,-0.21,72.14,320.6,328.6161646967477
1.26,280.0,10.6,2.45,90.82,326.59,338.99159724099354
1.58,280.0,10.8,3.54,108.12,325.9,343.38502588202647
1.89,279.0,7.67,4.4,123.29,320.4,343.33066291841743
2.21,279.0,11.2,5.23,137.43,313.32,342.17507244099477
2.52,279.0,4.45,6.01,149.84,305.5,340.32101859861666
2.84,279.0,5.03,6.75,161.33,297.22,338.24940472970536
3.15,279.0,4.26,7.48,171.56,290.7,337.63186164815664
3.47,279.0,4.14,8.19,181.11,286.88,339.3641740078054
3.79,279.0,5.73,8.9,189.8,283.42,341.21861965607917
4.1,280.0,4.52,9.6,197.34,279.37,342.17368762077547
4.42,280.0,4.86,10.25,204.41,274.03,342.02478199686055
4.73,280.0,1.59,10.97,210.6,267.5,340.63022605165264
5.05,281.0,1.85,11.69,215.35,260.4,338.11305594430985
5.36,282.0,4.81,12.31,218.91,253.49,335.15713374475564
5.68,282.0,20.3,13.02,222.04,246.69,332.15544267706946
5.99,283.0,12.8,13.74,224.98,240.45,329.5769872123962
6.31,284.0,8.08,14.46,228.22,234.35,327.43454689449004
6.62,284.0,7.81,15.07,231.93,228.92,326.22537638877816
6.94,285.0,10.4,15.79,235.94,223.68,325.49923210354893
7.57,286.0,6.82,17.23,242.45,214.14,323.93643666620767
7.89,287.0,13.4,17.95,243.91,209.75,322.19458887448747
8.2,287.0,10.5,18.77,244.06,205.73,319.75370115137054
8.31,288.0,2.93,18.97,244.14,204.35,318.9406261359628
8.52,288.0,5.58,19.59,244.43,201.86,317.61179543587485
8.83,288.0,5.74,20.3,245.34,198.26,316.08674948501084
9.15,288.0,7.0,21.12,245.9,194.78,314.40755843331755
9.78,289.0,12.7,22.56,245.25,188.37,310.06414336391754
10.1,289.0,3.89,23.18,244.0,185.3,307.26113063646693
11.04,288.0,5.02,25.23,239.18,177.32,298.8076433092032
11.36,288.0,3.39,25.74,237.64,174.8,296.1255767406794
11.67,288.0,10.7,26.35,236.26,172.47,293.69884405628835
13.57,285.0,4.07,29.02,230.28,159.94,281.87203195776624
13.88,284.0,8.92,29.38,229.01,158.15,279.8574404942631
14.2,284.0,5.69,29.84,228.03,156.35,278.088886868929
16.61,278.0,9.14,32.61,219.86,144.57,265.14584024645757
19.35,273.0,6.1,35.69,212.46,133.94,253.67883494686743
22.19,269.0,2.26,39.89,201.82,125.08,240.76447183918143
24.92,265.0,1.32,44.61,194.49,118.03,231.83505580476825
27.66,262.0,3.15,49.22,187.22,112.03,223.66192724735248
30.5,257.0,4.71,51.48,179.93,106.69,215.42458401955892
33.23,252.0,4.96,51.89,173.14,102.21,207.64613119439522
35.96,247.0,2.58,50.25,166.11,98.25,199.42581853912498
38.8,242.0,2.52,48.3,159.33,94.59,191.48422128206806
41.54,238.0,2.3,47.17,153.43,91.42,184.72517478676264
44.27,235.0,0.63,47.68,147.95,88.55,178.89574449941506
47.11,236.0,1.4,49.73,142.73,85.84,173.82011218498278
49.84,239.0,2.07,50.56,138.21,83.46,169.18596070596402
52.58,242.0,2.63,49.43,133.98,81.25,164.30315821675492
55.42,245.0,1.64,49.12,129.96,79.14,159.8921999348311
58.15,247.0,1.31,50.56,126.43,77.26,156.556590726804
60.89,246.0,2.14,53.22,123.2,75.51,153.9882089641931
63.62,243.0,4.0,53.84,120.17,73.87,150.984606500133
66.46,239.0,4.67,53.63,117.27,72.27,147.822131969472
69.19,234.0,5.12,53.12,114.7,70.83,144.89552546576448
71.93,230.0,2.1,53.02,112.26,69.47,142.26562796403073
74.77,228.0,1.32,53.32,109.91,68.14,139.87955568988627
77.5,228.0,1.6,54.04,107.81,66.93,137.92368397052047
80.23,227.0,3.16,54.66,105.81,65.78,136.05322524659238
83.07,226.0,3.48,54.96,103.86,64.64,134.1112627634234
85.81,224.0,3.71,54.86,102.09,63.6,132.20040733674008
88.54,222.0,1.49,54.35,100.4,62.62,130.21269868949034
91.38,222.0,1.18,53.73,98.74,61.64,128.2029254736412
94.12,224.0,1.22,53.22,97.22,60.73,126.38128698505962
99.69,227.0,2.8,52.91,94.34,59.01,123.21397566834698
108.31,229.0,4.12,51.38,90.37,56.61,118.36947832950858
