R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.23,13.1,2.19,2.45,11.6,0.0,11.855905701379376
0.47,17.3,2.39,4.75,13.88,0.0,14.670272662769428
0.7,23.6,2.21,6.71,13.02,0.0,14.647337642042666
0.93,26.2,2.21,7.8,11.93,0.0,14.253592529604598
1.17,27.4,2.24,8.39,10.78,0.0,13.660179354605853
1.4,26.9,2.23,8.84,9.72,0.0,13.13864528785217
1.64,27.4,2.21,9.23,8.89,0.0,12.815030237966667
1.87,31.0,2.2,9.41,8.25,0.0,12.514415687518136
2.1,32.5,2.19,9.55,7.73,0.0,12.28639084515872
2.33,33.0,2.19,10.05,7.3,0.0,12.42145321610962
2.57,36.5,2.2,10.65,6.92,0.0,12.700744072691176
2.8,38.9,2.21,11.28,6.62,0.0,13.079097828214298
3.26,41.5,2.21,12.0,6.11,0.0,13.46596079008104
3.73,42.7,2.2,12.41,5.7,0.0,13.656430719628025
4.21,44.7,2.22,13.14,5.36,0.0,14.191166266378533
4.67,46.7,2.24,13.55,5.09,0.0,14.474480992422492
5.14,48.5,2.27,13.86,4.84,0.0,14.680776546218526
5.61,50.0,2.32,13.86,4.63,0.0,14.612888147111782
6.07,50.2,2.4,13.76,4.45,0.0,14.46167694287215
6.54,50.1,2.57,13.55,4.29,0.0,14.21290258884511
7.0,51.6,3.24,13.34,4.14,0.0,13.967648334633859
