R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.35,14.4,2.82,-0.61,15.45,0.0,15.462037381923508
0.69,24.4,3.97,-1.22,17.95,0.0,17.991411840097484
1.03,29.2,3.26,-2.04,20.19,0.0,20.29279921548528
1.38,32.9,3.73,-1.72,21.43,0.0,21.498913926056822
1.72,37.8,3.41,3.47,22.82,0.0,23.082315741710143
2.07,42.0,3.12,3.53,25.15,0.0,25.396523384116968
2.41,45.1,2.92,4.13,26.82,0.0,27.13612536822455
2.76,47.6,2.79,6.88,28.98,0.0,29.78547968389967
3.1,52.3,2.78,9.39,30.06,0.0,31.49247052868352
3.45,57.3,2.78,11.99,30.89,0.0,33.1353617756016
3.79,61.4,2.93,14.78,31.14,0.0,34.469522770122595
4.14,64.5,3.42,16.87,32.08,0.0,36.24532107734735
4.48,66.4,4.53,18.27,32.77,0.0,37.518872584340805
4.82,66.9,5.46,19.32,33.02,0.0,38.25680070262018
5.17,69.4,4.77,19.78,33.86,0.0,39.21413010637875
5.51,70.2,4.44,19.55,34.37,0.0,39.541110252495436
5.86,70.9,4.24,19.78,34.15,0.0,39.464805840140656
6.2,72.3,4.38,20.48,34.36,0.0,40.000499996875035
6.55,73.9,3.51,21.53,34.78,0.0,40.904636656496535
6.89,75.0,3.22,22.81,35.14,0.0,41.89410101673027
7.25,75.5,3.23,24.09,35.58,0.0,42.96818008712959
7.58,77.1,2.98,25.37,36.1,0.0,44.12308806056077
7.94,77.0,2.79,26.77,36.68,0.0,45.409859061661926
8.27,77.0,2.82,28.28,37.11,0.0,46.65737347944052
8.63,78.2,2.93,29.91,37.49,0.0,47.95944328284055
8.97,79.6,3.14,31.07,37.76,0.0,48.89951431251644
9.3,80.3,3.39,32.12,37.98,0.0,49.741077591865654
9.66,81.2,3.66,33.05,38.12,0.0,50.45232303868673
9.99,82.3,3.9,33.75,38.33,0.0,51.07104267586477
10.35,83.8,4.1,34.21,38.96,0.0,51.84790931175529
10.69,79.0,2.78,34.56,38.32,0.0,51.60248056053119
