R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.96,22.9,2.71,4.08,14.85,0.0,15.400288958328021
1.92,33.5,2.71,6.24,21.2,0.0,22.099266956168478
2.88,37.2,4.19,7.45,20.56,0.0,21.86815264259878
3.83,35.9,5.98,8.09,20.08,0.0,21.64842950423887
