R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.34,19.6,2.89,4.29,19.73,0.0,20.19101285225682
0.68,32.5,2.89,6.17,28.0,0.0,28.671743930218128
1.02,41.9,2.89,5.94,31.57,0.0,32.123955235929465
1.37,50.6,2.89,8.81,31.98,0.0,33.17132044402212
1.71,57.0,2.89,15.21,31.44,0.0,34.92588867874374
2.05,60.5,2.89,17.87,29.65,0.0,34.618772364137925
2.39,60.5,2.89,17.46,27.89,0.0,32.90446322309483
2.74,60.0,2.89,15.96,26.14,0.0,30.627131762540223
3.08,61.5,2.89,15.55,24.58,0.0,29.085716425764726
3.42,61.5,2.89,16.29,23.19,0.0,28.339728297921276
3.76,63.0,2.89,16.96,21.99,0.0,27.770518540351382
4.11,64.0,2.89,17.21,20.84,0.0,27.027572957999762
