R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.21,55.5,7.21,5.41,32.3,0.0,32.74993282435858
0.63,63.2,5.22,13.09,52.43,0.0,54.039365281246596
1.04,66.6,7.97,16.91,57.12,0.0,59.570483462869426
1.46,70.5,4.62,16.91,56.92,0.0,59.378737777086506
1.88,76.1,4.69,16.7,53.72,0.0,56.25591879971387
2.3,78.8,4.52,15.77,48.94,0.0,51.41805616707034
2.71,80.1,6.65,14.85,45.52,0.0,47.88102860215098
3.14,80.1,6.28,13.92,42.09,0.0,44.33209334105486
3.55,80.1,5.09,13.09,39.26,0.0,41.38472785944109
3.96,80.4,5.4,12.99,36.87,0.0,39.09139291455345
4.38,80.1,7.58,12.99,34.8,0.0,37.145391369589845
4.8,80.4,8.9,13.09,33.03,0.0,35.52926962379047
5.22,80.6,9.37,13.09,31.53,0.0,34.139258925758774
5.63,80.6,9.37,13.92,30.23,0.0,33.28091495136515
