R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.64,12.4,8.6,1.18,13.56,0.0,13.611245350811954
1.18,21.9,6.2,1.55,21.17,0.0,21.226667190117247
1.8,32.3,1.88,1.6,27.72,0.0,27.76613765002255
2.03,37.9,6.2,1.54,29.76,0.0,29.79981879139536
2.78,53.1,9.5,1.46,36.4,0.0,36.42926845271532
3.0,62.4,11.0,1.62,38.08,0.0,38.11444345651658
3.64,68.0,6.2,2.96,42.4,0.0,42.50319517401015
4.19,78.0,7.98,5.28,45.43,0.0,45.735798888835426
4.6,82.3,6.2,6.86,46.43,0.0,46.93404414707942
5.14,85.7,6.3,8.92,47.19,0.0,48.025644191410905
5.39,85.5,6.51,9.95,47.91,0.0,48.93230630166536
6.31,89.5,15.6,14.48,50.48,0.0,52.515719551387654
9.1,95.2,15.5,26.69,51.31,0.0,57.83659913929933
10.17,97.5,6.2,29.9,52.01,0.0,59.992083644427616
11.99,101.0,10.2,33.72,51.6,0.0,61.64088253748481
14.02,107.0,10.7,36.41,50.13,0.0,61.95728367189769
15.94,117.0,11.7,38.69,49.27,0.0,62.64542281763289
17.98,120.0,12.0,39.0,48.97,0.0,62.60240330849927
