R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.41,15.0,4.1,10.41,8.28,0.0,13.301372109673498
0.82,23.4,1.3,18.08,12.66,0.0,22.071746645881923
1.24,29.2,1.5,20.09,15.11,0.0,25.138022993067693
1.64,36.2,1.1,20.2,15.99,0.0,25.762765767673315
2.06,44.0,1.1,22.0,16.89,0.0,27.735754902291735
2.47,52.1,1.2,22.63,17.03,0.0,28.32203735609428
2.89,52.9,1.7,22.95,16.99,0.0,28.554554803043242
3.3,54.8,2.2,22.74,17.19,0.0,28.506204587773517
3.71,55.0,2.5,22.74,17.16,0.0,28.488123841348344
4.12,52.0,2.7,22.74,16.37,0.0,28.01935937882949
