R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.63,265.0,15.0,-0.69,39.69,345.22,347.4947778024873
1.72,250.0,15.0,-2.33,81.63,298.99,309.9417782423015
2.79,233.0,7.29,-3.94,104.82,255.24,275.9532815532368
3.91,230.0,6.45,-5.06,118.95,225.3,254.82306822577897
5.03,228.0,5.37,-3.48,122.96,203.41,237.71180050641155
6.14,228.0,5.16,1.4,120.03,186.27,221.59800044224227
7.26,227.0,5.94,-1.38,115.88,172.25,207.60573522906344
8.37,226.0,3.0,5.96,113.5,160.83,196.93669160418025
9.5,223.0,3.92,11.22,109.97,151.12,187.23392774815147
10.65,219.0,2.9,16.09,105.99,142.79,178.55461993462953
11.74,216.0,2.55,18.57,102.02,136.04,171.0549820964008
12.82,214.0,2.55,19.07,97.84,130.19,163.9687976415025
14.01,214.0,3.07,17.78,93.27,124.54,156.60661831480814
15.09,214.0,3.61,20.16,89.43,120.01,151.01837835177545
16.18,214.0,4.46,23.24,85.93,115.89,146.13197665124494
17.36,214.0,5.07,23.44,82.48,111.88,140.95927922630705
18.44,214.0,4.78,23.34,79.67,108.55,136.65711470684576
19.53,214.0,4.87,22.64,77.35,105.49,132.75440557661352
