R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.74,54.7,8.3,0.0,52.62,0.0,52.62
3.5,85.4,7.0,5.24,59.95,0.0,60.17856844425597
5.24,93.8,6.2,17.89,62.66,0.0,65.16385270991886
6.98,98.7,5.2,25.97,65.09,0.0,70.07959046683992
8.72,103.0,5.2,29.85,66.99,0.0,73.33950231628245
10.47,107.0,5.2,34.48,67.16,0.0,75.49394677720856
12.19,109.0,5.2,40.3,63.93,0.0,75.57205105063643
13.94,108.0,7.4,42.57,59.68,0.0,73.30693896214737
15.68,108.0,7.4,40.84,54.03,0.0,67.72847628582826
16.61,108.0,7.4,39.98,51.7,0.0,65.35510997619085
