R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
3.5,102.0,7.0,0.0,138.23,0.0,138.23
5.24,125.0,6.1,0.0,163.99,0.0,163.99
6.98,145.0,4.9,8.76,177.95,0.0,178.16548515355043
8.72,164.0,3.9,23.82,182.72,0.0,184.26608695036643
10.47,162.0,4.8,31.14,173.68,0.0,176.4495451963535
12.19,160.0,4.8,37.29,166.41,0.0,170.53689395553093
13.94,156.0,4.8,46.45,159.41,0.0,166.03960551627435
16.03,146.0,4.85,53.13,148.01,0.0,157.25697758764156
22.3,158.0,4.9,48.17,124.21,0.0,133.22339509260377
27.52,168.0,10.6,42.67,109.5,0.0,117.52012125589388
30.08,169.0,10.6,40.52,103.96,0.0,111.57756046804393
32.52,167.0,15.2,39.01,99.53,0.0,106.9018287963307
