R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.44,15.7,9.1,-2.08,12.26,0.0,12.435191996909417
1.32,44.5,9.1,-5.39,28.49,0.0,28.995382390994603
2.2,69.4,9.1,-6.26,35.84,0.0,36.38259473979282
3.08,90.0,11.4,-3.53,40.15,0.0,40.30488059776384
3.96,105.0,9.88,1.83,41.23,0.0,41.270592435776834
4.84,113.0,16.2,8.4,42.44,0.0,43.26330546779799
5.53,117.0,24.8,13.64,43.19,0.0,45.29266717692832
7.48,124.0,9.1,27.27,47.2,0.0,54.511401559673736
8.37,127.0,9.1,32.13,48.6,0.0,58.26059474464709
9.24,130.0,9.1,36.26,48.96,0.0,60.92511140736634
10.13,133.0,9.1,39.77,48.92,0.0,63.04616800409046
13.23,142.0,23.8,47.41,49.96,0.0,68.87459400969271
