R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.74,56.9,6.6,0.0,57.53,0.0,57.53
2.61,87.4,4.8,0.0,63.17,0.0,63.17
3.5,92.1,5.7,0.0,61.1,0.0,61.1
4.37,93.5,5.2,8.69,59.01,0.0,59.64642654845301
5.24,98.2,4.4,16.6,57.64,0.0,59.98274418530716
6.11,99.7,4.4,18.86,56.44,0.0,59.50775747749196
6.98,102.0,3.5,23.82,56.03,0.0,60.88311177986881
7.85,107.0,4.4,29.74,55.57,0.0,63.027712159017796
8.72,108.0,4.4,30.17,54.32,0.0,62.13607084455856
9.6,110.0,4.4,31.9,52.55,0.0,61.47448657776655
10.47,113.0,4.4,35.89,51.23,0.0,62.55081933915814
11.35,110.0,5.2,38.26,49.57,0.0,62.61798862946653
12.19,108.0,5.7,39.33,47.76,0.0,61.86975432309393
13.12,109.0,8.6,40.63,45.68,0.0,61.13476343292743
13.94,108.0,9.8,40.95,43.38,0.0,59.65506600448951
14.86,108.0,9.8,40.63,41.42,0.0,58.02080058048148
15.68,109.0,12.3,40.09,39.99,0.0,56.62515518742532
