R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.92,234.0,12.0,-5.19,121.44,254.98,282.470193294797
2.32,192.0,12.0,-10.42,280.89,185.98,337.04054489037367
3.24,212.0,6.3,-11.44,325.09,158.37,361.794746506911
4.17,223.0,4.41,-11.64,311.44,139.66,341.5190753091253
5.1,222.0,4.01,-11.54,293.95,126.35,320.16260962204814
6.03,224.0,3.85,-11.44,280.55,116.3,303.9158865541583
6.96,224.0,3.23,-9.02,271.7,108.06,292.53925206713717
7.89,226.0,3.4,6.44,260.33,101.6,279.5277132951221
8.8,226.0,3.21,16.24,254.4,96.17,272.4550724431461
9.73,227.0,2.75,25.64,241.26,91.46,259.2850338912757
10.64,227.0,2.65,32.27,231.49,87.46,249.55605502571962
11.58,224.0,2.35,35.44,224.36,83.84,242.12093837584558
12.52,220.0,2.43,42.18,213.5,80.63,232.08317323752706
13.46,218.0,2.3,46.37,208.0,77.76,226.8497178750725
14.4,217.0,2.77,49.33,200.84,75.18,220.0504189952839
15.33,216.0,4.43,49.33,193.84,72.86,212.87548966473335
16.27,210.0,4.47,47.29,188.07,70.73,206.4204493261266
17.11,208.0,4.35,45.04,182.56,68.97,200.283838838784
