R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.44,26.1,3.3,9.09,27.58,0.0,29.03936121886981
2.88,43.0,3.47,16.12,37.24,0.0,40.57920649790974
4.33,48.5,2.35,15.32,39.71,0.0,42.56273604927202
5.76,52.5,2.0,18.34,39.12,0.0,43.20567092408125
7.2,56.4,2.05,17.63,37.66,0.0,41.58235803799491
8.64,58.5,2.21,22.27,36.69,0.0,42.91979729681863
10.08,61.5,2.1,25.8,36.12,0.0,44.38799837793995
11.47,64.6,2.01,29.52,34.86,0.0,45.67986427300326
13.0,65.6,2.12,36.98,33.7,0.0,50.03209369994424
14.42,65.4,2.65,38.39,31.99,0.0,49.971513885412755
15.84,65.5,3.05,37.89,29.33,0.0,47.915561146667166
17.26,65.1,3.22,39.0,27.53,0.0,47.737835099635596
18.68,64.9,3.48,34.46,26.15,0.0,43.258688144695284
