R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.63,29.5,2.53,-2.22,32.45,0.0,32.52584971987665
1.26,50.8,3.76,-8.54,43.44,0.0,44.27149421467497
1.88,68.2,2.58,-2.13,53.72,0.0,53.76221070603403
2.51,84.3,2.28,8.88,65.57,0.0,66.168567311073
3.13,95.3,2.01,11.55,69.99,0.0,70.93660973009635
3.77,106.0,3.58,16.04,70.54,0.0,72.34067458905814
4.39,112.0,4.25,20.82,71.78,0.0,74.73848272476502
5.02,115.0,3.18,24.3,71.41,0.0,75.43128064669192
5.65,116.0,2.32,25.4,67.79,0.0,72.3922930980916
6.28,116.0,2.01,24.6,64.52,0.0,69.05063649235971
6.9,116.0,2.28,25.5,61.11,0.0,66.21693212464619
7.54,114.0,3.05,25.7,56.38,0.0,61.961233041313825
8.16,112.0,3.69,24.6,53.17,0.0,58.585056968479606
8.79,109.0,5.1,24.9,50.65,0.0,56.43963589535283
9.41,107.0,6.39,27.79,48.55,0.0,55.94092062167014
