R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.91,33.1,3.9,0.0,31.52,0.0,31.52
1.36,46.7,2.7,0.0,37.5,0.0,37.5
1.82,53.9,4.7,0.0,42.04,0.0,42.04
2.27,58.8,2.5,2.86,46.16,0.0,46.24851565185633
2.72,65.6,2.6,7.4,48.37,0.0,48.932779401951
3.17,70.8,2.7,8.38,49.78,0.0,50.480419966557335
3.63,82.1,4.9,8.42,50.48,0.0,51.177405170641464
4.08,84.1,6.6,9.19,50.65,0.0,51.47697155039329
4.54,83.4,6.2,12.0,50.39,0.0,51.799151537452815
4.99,81.5,2.7,12.98,49.84,0.0,51.50248537692138
5.45,80.8,4.0,13.57,49.05,0.0,50.89250828953118
5.9,82.8,12.4,15.44,48.12,0.0,50.53640272120681
6.36,88.2,11.7,20.16,47.07,0.0,51.20557098597769
6.81,88.5,8.5,24.2,45.98,0.0,51.959603539673004
7.26,88.4,8.9,27.05,44.86,0.0,52.38436885178631
7.71,88.2,10.8,28.23,43.73,0.0,52.05041594454361
8.17,89.5,3.1,27.84,42.59,0.0,50.88195849218071
8.62,89.7,9.5,26.95,41.5,0.0,49.48285056461481
9.07,93.7,7.3,26.46,40.45,0.0,48.335640059897834
9.53,97.0,5.7,26.26,39.41,0.0,47.357530552173
9.96,96.2,1.5,25.18,38.5,0.0,46.003069462808675
10.45,94.8,2.1,24.1,37.5,0.0,44.57645118221055
10.93,92.5,13.9,23.02,36.62,0.0,43.25441942738337
11.32,92.8,10.6,22.03,35.97,0.0,42.18011142706951
11.8,93.5,12.1,21.74,35.19,0.0,41.36379697271516
