R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.09,7.0,2.49,1.74,3.78,0.0,4.161249812255928
0.25,14.9,1.35,4.38,11.32,0.0,12.137825175870676
0.41,21.1,1.37,6.41,15.94,0.0,17.18056169046868
0.58,26.0,1.24,7.97,17.47,0.0,19.20213009017489
0.74,27.5,1.59,9.12,17.72,0.0,19.92919466511379
0.9,28.8,2.57,9.81,17.18,0.0,19.783541139037773
1.08,29.5,1.85,10.01,16.66,0.0,19.4359383617051
