cells,spacing,relative_RMS_error,normalized_residual_RMS
9,0.25,0.012950746721877402,1.5557210166195762e-15
17,0.125,0.0032189644400733883,6.933163828912659e-15
25,0.08333333333333337,0.001429118316584441,1.8542419735317535e-14
