extra_spatial_channels,transition_power_n,path_power_q,chi_t,galaxy_equal_RMSE_km_s,cluster_all5_log_RMS_dex,cluster_reliable3_log_RMS_dex,cluster_all6_stress_log_RMS_dex,solar_solar_limb_fractional_force_change,solar_Mercury_fractional_force_change,solar_Earth_fractional_force_change,solar_Saturn_fractional_force_change,is_primary_dimension_fixed_formula,galaxy_ratio_to_fixed_RAR,all5_gap_fraction_closed_from_fixed_RAR,galaxy_gate_pass,solar_gate_pass,all5_cluster_gate_pass,reliable3_cluster_gate_pass,gap_closed_gate_pass,selected_primary_row
1.0,1.0,0.0,3e-07,37.431611673954045,0.22343267870439437,0.18674587809141374,0.21064396537719332,0.0,0.0,0.0,0.0,False,3.4262263879275987,0.6167420982485954,False,True,False,True,False,False
1.0,1.0,0.0,5e-07,28.06310102086676,0.25698701061420776,0.21158928926223344,0.24293364244109858,0.0,0.0,0.0,0.0,False,2.5686988335497145,0.559185777852691,False,True,False,False,False,False
1.0,1.0,0.0,8e-07,21.571185882891232,0.29164622061004664,0.2380700032779686,0.27624400644230984,0.0,0.0,0.0,0.0,False,1.9744745947522295,0.4997342411464569,False,True,False,False,False,False
1.0,1.0,0.0,1e-06,19.208415668679784,0.3092829945058179,0.25193005862617335,0.2931978759123692,0.0,0.0,0.0,0.0,False,1.7582032322724355,0.46948158072027046,False,True,False,False,False,False
1.0,1.0,0.0,1.5e-06,15.985900708077898,0.3428914549308386,0.2792225950142073,0.3255611016273733,0.0,0.0,0.0,0.0,False,1.4632368843182455,0.41183241275487203,False,True,False,False,False,False
1.0,1.0,0.0,2e-06,14.41181655759581,0.3675299650949708,0.30009800335743064,0.3493772067366044,0.0,0.0,0.0,0.0,False,1.319156295425167,0.36956955415002524,False,True,False,False,False,False
1.0,1.0,0.0,3e-06,12.94906269353876,0.4023886358755529,0.33113283684701666,0.38329608508163693,0.0,0.0,0.0,0.0,False,1.1852660977032607,0.30977587894245084,False,True,False,False,False,False
1.0,1.0,0.0,5e-06,11.940283352942354,0.4444149569048437,0.3713035791017477,0.42474215279966765,0.0,0.0,0.0,0.0,False,1.0929295339866467,0.2376874104631973,False,True,False,False,False,False
1.0,1.0,0.0,8e-06,11.473237367087965,0.47896120822233723,0.4069167299043085,0.4595132207000296,0.0,0.0,0.0,0.0,False,1.0501794302762197,0.1784296337131983,False,True,False,False,False,False
1.0,1.0,0.0,1e-05,11.33829409951793,0.4934782431178047,0.4226374030060811,0.4743887278825971,0.0,0.0,0.0,0.0,False,1.0378276729367584,0.15352831504329256,True,True,False,False,False,False
1.0,1.0,0.0,2e-05,11.104587984756119,0.5297833202167003,0.4639775013315873,0.5125355370357724,0.0,0.0,0.0,0.0,False,1.0164358593971312,0.09125359429729796,True,True,False,False,False,False
1.0,1.0,0.25,3e-07,37.06155029222069,0.25035085980502464,0.22489860293952044,0.23761621336084315,0.0,0.0,0.0,0.0,False,3.392353572557214,0.5705688810298155,False,True,False,False,False,False
1.0,1.0,0.25,5e-07,27.813728480659034,0.28475866606216615,0.25218293363779754,0.27082973693262735,0.0,0.0,0.0,0.0,False,2.5458730256436453,0.5115485814637539,False,True,False,False,False,False
1.0,1.0,0.25,8e-07,21.40954706607462,0.319494431632738,0.2798097153711595,0.3043188077224493,0.0,0.0,0.0,0.0,False,1.9596793146474236,0.4519657276685888,False,True,False,False,False,False
1.0,1.0,0.25,1e-06,19.080535987525376,0.3368869137525937,0.29376306483215286,0.3210911415196727,0.0,0.0,0.0,0.0,False,1.746498025938617,0.42213210511096955,False,True,False,False,False,False
1.0,1.0,0.25,1.5e-06,15.906611789649572,0.3695344287873395,0.32035883706291385,0.3526291484189418,0.0,0.0,0.0,0.0,False,1.4559793345510683,0.3661312632369469,False,True,False,False,False,False
1.0,1.0,0.25,2e-06,14.357604509532917,0.3930685005707849,0.34000257677889933,0.3754494640304938,0.0,0.0,0.0,0.0,False,1.3141941059465365,0.3257628667083292,False,True,False,False,False,False
1.0,1.0,0.25,3e-06,12.91888634887136,0.42579000392589283,0.36823497041003317,0.4073876087880242,0.0,0.0,0.0,0.0,False,1.1825039674137283,0.26963511140078134,False,True,False,False,False,False
1.0,1.0,0.25,5e-06,11.926624931552949,0.4643119487719615,0.4032901246152337,0.44549492954607633,0.0,0.0,0.0,0.0,False,1.0916793381845147,0.20355775942748078,False,True,False,False,False,False
1.0,1.0,0.25,8e-06,11.466761754167146,0.49515958112065633,0.4331685253142136,0.47664531914584085,0.0,0.0,0.0,0.0,False,1.049586698227689,0.1506442871614071,True,True,False,False,False,False
1.0,1.0,0.25,1e-05,11.333733632869457,0.5078855267421895,0.4460431912401741,0.4897331383002344,0.0,0.0,0.0,0.0,False,1.0374102399042626,0.12881525460899323,True,True,False,False,False,False
1.0,1.0,0.25,2e-05,11.102981909213934,0.5390581988140698,0.47909705453609813,0.5226259274806871,0.0,0.0,0.0,0.0,False,1.0162888505413126,0.07534423613698271,True,True,False,False,False,False
1.0,1.0,0.5,3e-07,36.721931442093585,0.271819017801165,0.25412636230150626,0.2590089414755395,0.0,0.0,0.0,0.0,False,3.361267252356025,0.5337441818149169,False,True,False,False,False,False
1.0,1.0,0.5,5e-07,27.58378051748244,0.30663119380505255,0.28262147016036293,0.29271172505035675,0.0,0.0,0.0,0.0,False,2.524825206860196,0.4740302598943803,False,True,False,False,False,False
1.0,1.0,0.5,8e-07,21.260040736328648,0.3411967402567766,0.31062632460370637,0.32614463641897956,0.0,0.0,0.0,0.0,False,1.945994557052701,0.414739385870061,False,True,False,False,False,False
1.0,1.0,0.5,1e-06,18.962110814693713,0.35828638193026463,0.3244444530276745,0.3426815448572834,0.0,0.0,0.0,0.0,False,1.7356582187808327,0.38542523071852286,False,True,False,False,False,False
1.0,1.0,0.5,1.5e-06,15.833023495435627,0.3899732049687981,0.35018263255851295,0.37340067320450154,0.0,0.0,0.0,0.0,False,1.4492435798185561,0.33107228028469904,False,True,False,False,False,False
1.0,1.0,0.5,2e-06,14.30719664555367,0.4124957336452546,0.3687007977213335,0.3953200384969789,0.0,0.0,0.0,0.0,False,1.3095801247151342,0.2924390009778043,False,True,False,False,False,False
1.0,1.0,0.5,3e-06,12.89072776553709,0.4433580900734284,0.39461797678437266,0.4255542270977364,0.0,0.0,0.0,0.0,False,1.1799265288009617,0.2395002722459394,False,True,False,False,False,False
1.0,1.0,0.5,5e-06,11.913795047980626,0.4789846265519635,0.42572853645347325,0.46092430766940984,0.0,0.0,0.0,0.0,False,1.0905049809051,0.17838946385117482,False,True,False,False,False,False
1.0,1.0,0.5,8e-06,11.460627849460561,0.5069164127186203,0.45138495075046303,0.48922855653031044,0.0,0.0,0.0,0.0,False,1.04902524374505,0.13047759249700808,True,True,False,False,False,False
1.0,1.0,0.5,1e-05,11.32939374565853,0.5182710963457634,0.4622141297734615,0.50094618276582,0.0,0.0,0.0,0.0,False,1.037012997161625,0.11100070913677518,True,True,False,False,False,False
1.0,1.0,0.5,2e-05,11.101428983621906,0.545631739776499,0.48944027705640153,0.5299117139918548,0.0,0.0,0.0,0.0,False,1.0161467066580023,0.064068528702661,True,True,False,False,False,False
1.0,1.0,0.75,3e-07,36.408072724082324,0.28817736880204886,0.2754945940736068,0.27532152793303355,0.0,0.0,0.0,0.0,False,3.332538833417025,0.5056844220829648,False,True,False,False,False,False
1.0,1.0,0.75,5e-07,27.37048563306253,0.3232794031651347,0.3047738378388598,0.3093881410402149,0.0,0.0,0.0,0.0,False,2.5053016937457984,0.44547330115288497,False,True,False,False,False,False
1.0,1.0,0.75,8e-07,21.121015377096686,0.35769059737918024,0.3329752022039199,0.34276563131928584,0.0,0.0,0.0,0.0,False,1.9332691537614741,0.3864471901663017,False,True,False,False,False,False
1.0,1.0,0.75,1e-06,18.851873535428474,0.3745309496470829,0.34665682743362886,0.3591116050089758,0.0,0.0,0.0,0.0,False,1.7255678737953744,0.3575606454031254,False,True,False,False,False,False
1.0,1.0,0.75,1.5e-06,15.76438758944317,0.4054378073589558,0.3716971862131981,0.3891732136113857,0.0,0.0,0.0,0.0,False,1.4429611318620257,0.30454558285691136,False,True,False,False,False,False
1.0,1.0,0.75,2e-06,14.260098464366585,0.42714571715007754,0.3893414651371355,0.4103729705794726,0.0,0.0,0.0,0.0,False,1.3052690885617304,0.2673096332805235,False,True,False,False,False,False
1.0,1.0,0.75,3e-06,12.864327329258032,0.4565241871206032,0.41350073241845625,0.43925525552295,0.0,0.0,0.0,0.0,False,1.177510018600439,0.21691624041220947,False,True,False,False,False,False
1.0,1.0,0.75,5e-06,11.90168834013861,0.4898747949359333,0.441677334301011,0.472480296059908,0.0,0.0,0.0,0.0,False,1.089396818044239,0.15970937144588393,False,True,False,False,False,False
1.0,1.0,0.75,8e-06,11.454792733315267,0.5155593415631767,0.46425106611955375,0.49858972214164266,0.0,0.0,0.0,0.0,False,1.048491138265228,0.11565222857459889,True,True,False,False,False,False
1.0,1.0,0.75,1e-05,11.32524692658243,0.52587266782193,0.4736040137544132,0.5092630514448634,0.0,0.0,0.0,0.0,False,1.0366334265177464,0.09796160334946391,True,True,False,False,False,False
1.0,1.0,0.75,2e-05,11.099922789909787,0.5503879809614712,0.4966752320755636,0.5352748720179792,0.0,0.0,0.0,0.0,False,1.0160088402822036,0.05591006671157628,True,True,False,False,False,False
1.0,1.0,1.0,3e-07,36.11648145737933,0.30066919691137556,0.2912220942739628,0.2878037671178282,0.0,0.0,0.0,0.0,False,3.3058486203113415,0.4842569753102668,False,True,False,False,False,False
1.0,1.0,1.0,5e-07,27.17171702912964,0.33600781729275314,0.3210591176942538,0.3221679234160473,0.0,0.0,0.0,0.0,False,2.4871078141496312,0.4236400343296911,False,True,False,False,False,False
1.0,1.0,1.0,8e-07,20.991180727435598,0.3703058152905052,0.34938494262249165,0.3555140454941409,0.0,0.0,0.0,0.0,False,1.921385003364453,0.36480809075225507,False,True,False,False,False,False
1.0,1.0,1.0,1e-06,18.748828310092694,0.38695221103212163,0.36295338985879233,0.3717144301786405,0.0,0.0,0.0,0.0,False,1.7161358388279604,0.3362542429415858,False,True,False,False,False,False
1.0,1.0,1.0,1.5e-06,15.700110749382203,0.4172451529182373,0.38745020905531047,0.401263653704035,0.0,0.0,0.0,0.0,False,1.437077682133284,0.28429224072923176,False,True,False,False,False,False
1.0,1.0,1.0,2e-06,14.215916241164134,0.438309333538613,0.4044254616620579,0.42189828750038755,0.0,0.0,0.0,0.0,False,1.301224958687438,0.24816049082814173,False,True,False,False,False,False
1.0,1.0,1.0,3e-06,12.839477602980809,0.46651672695035756,0.4272527138923814,0.449717887792419,0.0,0.0,0.0,0.0,False,1.1752354494836879,0.19977586564462335,False,True,False,False,False,False
1.0,1.0,1.0,5e-06,11.890220503757083,0.498083989026171,0.4532323215088847,0.48126451837828577,0.0,0.0,0.0,0.0,False,1.0883471329821832,0.1456280001785365,False,True,False,False,False,False
1.0,1.0,1.0,8e-06,11.449222122449406,0.5220286680262864,0.47352594236569095,0.5056719217971272,0.0,0.0,0.0,0.0,False,1.0479812437377967,0.10455528205641929,True,True,False,False,False,False
1.0,1.0,1.0,1e-05,11.321271245313502,0.5315436723348765,0.4817961083247412,0.5155414116353878,0.0,0.0,0.0,0.0,False,1.036269520624721,0.08823403214968362,True,True,False,False,False,False
1.0,1.0,1.0,2e-05,11.098458287972242,0.5539043549832944,0.5018481453566989,0.5393000856937068,0.0,0.0,0.0,0.0,False,1.015874790078133,0.04987837010751739,True,True,False,False,False,False
1.0,1.0,1.5,3e-07,35.58967601248085,0.31795093602228813,0.3119787644911762,0.3051165605416492,0.0,0.0,0.0,0.0,False,3.257628556149075,0.4546133121331969,False,True,False,False,False,False
1.0,1.0,1.5,5e-07,26.811268441150993,0.35365956306321583,0.34254204068787875,0.33994066108891385,0.0,0.0,0.0,0.0,False,2.454114886290129,0.39336169239034025,False,True,False,False,False,False
1.0,1.0,1.5,8e-07,20.755090560945444,0.3878206072101187,0.37100915053668904,0.37327179320417336,0.0,0.0,0.0,0.0,False,1.8997749705022657,0.33476466809963346,False,True,False,False,False,False
1.0,1.0,1.5,1e-06,18.561217085051783,0.404197158327064,0.38440947753096893,0.38927478759373524,0.0,0.0,0.0,0.0,False,1.698963227199435,0.30667368939678696,False,True,False,False,False,False
1.0,1.0,1.5,1.5e-06,15.582777357332018,0.43361665552763956,0.4081404106886585,0.41810296805107067,0.0,0.0,0.0,0.0,False,1.4263378089071699,0.2562099218178677,False,True,False,False,False,False
1.0,1.0,1.5,2e-06,14.1350639905465,0.4537574232258817,0.42418904586298567,0.4379320135870308,0.0,0.0,0.0,0.0,False,1.29382431249025,0.221662117922524,False,True,False,False,False,False
1.0,1.0,1.5,3e-06,12.793777969819493,0.4802842654563838,0.4451928215980287,0.4642322795922571,0.0,0.0,0.0,0.0,False,1.1710524265772801,0.17616017097230452,False,True,False,False,False,False
1.0,1.0,1.5,5e-06,11.868936443742285,0.5093090284963986,0.4682069661126003,0.4933882159338577,0.0,0.0,0.0,0.0,False,1.0863989398693636,0.12637349766179473,False,True,False,False,False,False
1.0,1.0,1.5,8e-06,11.438767042161908,0.530803799389832,0.48546854055237354,0.515393286949242,0.0,0.0,0.0,0.0,False,1.0470242592434886,0.08950314888822275,True,True,False,False,False,False
1.0,1.0,1.5,1e-05,11.313764835700786,0.5392065609788791,0.4923135550667566,0.5241371580522893,0.0,0.0,0.0,0.0,False,1.0355824366990354,0.07508974797386425,True,True,False,False,False,False
1.0,1.0,1.5,2e-05,11.095638968671167,0.5586058033548462,0.5084377165082498,0.5447723166252868,0.0,0.0,0.0,0.0,False,1.015616729424227,0.04181389516803269,True,True,False,False,False,False
1.0,1.0,2.0,3e-07,35.1250822347648,0.3289881385956371,0.3244701324380582,0.31618978296156663,0.0,0.0,0.0,0.0,False,3.2151029103194744,0.4356810094637945,False,True,False,False,False,False
1.0,1.0,2.0,5e-07,26.492064351368978,0.3649706245654111,0.3554651952326462,0.3513470378559523,0.0,0.0,0.0,0.0,False,2.4248971896258262,0.37395963480838834,False,True,False,False,False,False
1.0,1.0,2.0,8e-07,20.54533573831691,0.39906205525687943,0.3839973789881703,0.3846908650206844,0.0,0.0,0.0,0.0,False,1.880575489738657,0.31548201967044376,False,True,False,False,False,False
1.0,1.0,2.0,1e-06,18.394272424746916,0.4152661193042713,0.39728011897850346,0.40057080688470525,0.0,0.0,0.0,0.0,False,1.6836822875102109,0.28768691099314414,False,True,False,False,False,False
1.0,1.0,2.0,1.5e-06,15.478012303934308,0.44411094916016514,0.4205088045616789,0.42892890732853794,0.0,0.0,0.0,0.0,False,1.4167483529785692,0.2382088801560699,False,True,False,False,False,False
