system,cohort,model,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
A2163,development,selected,0.05447384898150988,0.5668733650836175,0.5395892394969145,42.60387178398233
A2163,development,local,0.06926560332762631,0.47875181211213264,0.5951977027142487,58.19176794359468
A3192,development,selected,0.048016140908992956,0.8226732348193029,0.4675406631338592,7.798272458079943
A3192,development,local,0.03251989520495903,0.8928692557102607,0.395127645839789,3.1294287497766287
ACT-CL J0102-4915,development,selected,0.10211902515975244,0.5247594668737212,0.6193740593117569,44.252492019566844
ACT-CL J0102-4915,development,local,0.14025674026731982,-0.05959549172537661,0.7417692397856331,57.31587614051562
CL J0152.7-1357,development,selected,0.05827884373212517,0.7164533302224283,0.5252270988813923,18.18619817078916
CL J0152.7-1357,development,local,0.04382492997652814,0.7742358855751383,0.4659799994412451,28.734088641011194
MACS J0035.4-2015,development,selected,0.07056489509418414,0.6870873567800251,0.5690065535680834,16.78042822363039
MACS J0035.4-2015,development,local,0.07485207941948027,0.5908276298160826,0.5960923631452479,28.817530403713413
MACS J0257.1-2325,development,selected,0.15971787381091818,0.4570471898614056,0.7445495213823478,10.264658889528746
MACS J0257.1-2325,development,local,0.216477974781204,-0.17433388467188593,0.8796553395593534,33.28730776488018
MACS J0553.4-3342,development,selected,0.05940601062782645,0.7651941219469016,0.49301953487265615,7.861461969489609
MACS J0553.4-3342,development,local,0.03649350321752677,0.8688552495330734,0.3830188936927685,2.687318133715939
RXC J0032.1+1808,holdout,selected,0.11609501460596033,0.2171993605308755,0.7162030331120494,42.98997466775827
RXC J0032.1+1808,holdout,local,0.08372863435083308,0.6866647782503351,0.6024644926253422,39.50674630266751
RXC J0142.9+4438,holdout,selected,0.036539416274811276,0.8647399669762754,0.47250666357466947,14.0496991776932
RXC J0142.9+4438,holdout,local,0.01990680342914624,0.9362407106108595,0.3572112604549538,12.060680799853962
RXC J0600.1-2007,holdout,selected,0.029189805496515064,0.8930685806638744,0.40762126209835303,15.89990330397218
RXC J0600.1-2007,holdout,local,0.02213826503604354,0.899308124341506,0.342431347282966,21.740624814664145
