candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,development_mean_JS,holdout_mean_JS,development_mean_Pearson,holdout_mean_Pearson
activation_only__w100__f0.05,activation_only,100.0,0.05,0.07799310119421964,0.039534207553458316,0.5365769134678737,0.8086266667622217
activation_only__w100__f0.1,activation_only,100.0,0.1,0.07722667568577106,0.04029424053805953,0.5467487474086429,0.8087129588438522
activation_only__w100__f0.2,activation_only,100.0,0.2,0.07591007930492406,0.041946256161933176,0.5690130090342719,0.8069897032218257
activation_only__w100__f0.4,activation_only,100.0,0.4,0.07404725943042263,0.045776287470526866,0.6214238338908097,0.7932341065203404
activation_only__w100__f0.6,activation_only,100.0,0.6,0.07311172477478575,0.050314148883595554,0.6799204016846597,0.7616587430105239
activation_only__w100__f0.8,activation_only,100.0,0.8,0.07304875521712563,0.055582303448858485,0.7224010324608097,0.7113083731970771
activation_only__w100__f1,activation_only,100.0,1.0,0.07385639483723139,0.06162106951077107,0.7228825230460796,0.6440423273024879
activation_only__w20__f0.05,activation_only,20.0,0.05,0.07874890331433489,0.039818406119391365,0.527620725454185,0.8057740436740722
activation_only__w20__f0.1,activation_only,20.0,0.1,0.0787638146680175,0.04090088085814671,0.5277160519360672,0.8022289178913509
activation_only__w20__f0.2,activation_only,20.0,0.2,0.07908706325513075,0.04331345914160292,0.5258970274026332,0.7904239712654592
activation_only__w20__f0.4,activation_only,20.0,0.4,0.08082858924382683,0.049146980091853476,0.5103773754469176,0.7414619750587171
activation_only__w20__f0.6,activation_only,20.0,0.6,0.08398943433731836,0.056404669088440246,0.4714229021773492,0.6472831271040929
activation_only__w20__f0.8,activation_only,20.0,0.8,0.08863850601531145,0.0652672521162932,0.4031323605509622,0.5028092259997005
activation_only__w20__f1,activation_only,20.0,1.0,0.0949995022671001,0.07607281673246452,0.30885181994860433,0.32549451131168067
activation_only__w50__f0.05,activation_only,50.0,0.05,0.07828772678088913,0.03956801187982739,0.5322867612243946,0.8075008789003187
activation_only__w50__f0.1,activation_only,50.0,0.1,0.07781269747325899,0.040372501714980434,0.5377203921926378,0.8061967034931019
activation_only__w50__f0.2,activation_only,50.0,0.2,0.07707438754603754,0.04214662853199803,0.5489912920511607,0.8007849338389388
activation_only__w50__f0.4,activation_only,50.0,0.4,0.07637202729810987,0.04636369399361825,0.5722785890617289,0.775122925231151
