candidate_id,minimum_permittivity,anisotropy_tau,smoothing_r80_fraction,all_four_RMS_arcsec,systems_improved,all_four_improve
e0d50_a2d4_n4_tp0d0_w0d20,0.5,0.0,0.2,11.215679083518904,2,False
e0d50_a2d4_n4_tp0d0_w0d50,0.5,0.0,0.5,11.215652708803466,2,False
e0d50_a2d4_n4_tp0d0_w0d80,0.5,0.0,0.8,11.215650416589922,2,False
e0d50_a2d4_n4_tp0d3_w0d20,0.5,0.3,0.2,11.234076831216882,2,False
e0d50_a2d4_n4_tp0d3_w0d50,0.5,0.3,0.5,11.23067749916611,2,False
e0d50_a2d4_n4_tp0d3_w0d80,0.5,0.3,0.8,11.246362391543986,0,False
e0d50_a2d4_n4_tp0d6_w0d20,0.5,0.6,0.2,11.256215173409908,2,False
e0d50_a2d4_n4_tp0d6_w0d50,0.5,0.6,0.5,11.249910061831848,3,False
e0d50_a2d4_n4_tp0d6_w0d80,0.5,0.6,0.8,11.281313707768327,0,False
e0d50_a2d4_n4_tp0d9_w0d20,0.5,0.9,0.2,11.284236995369843,2,False
e0d50_a2d4_n4_tp0d9_w0d50,0.5,0.9,0.5,11.275841387747212,3,False
e0d50_a2d4_n4_tp0d9_w0d80,0.5,0.9,0.8,11.323258237046351,0,False
e0d50_a2d4_n4_tp1d2_w0d20,0.5,1.2,0.2,11.32092970630881,2,False
e0d50_a2d4_n4_tp1d2_w0d50,0.5,1.2,0.5,11.311788758315426,3,False
e0d50_a2d4_n4_tp1d2_w0d80,0.5,1.2,0.8,11.375631732448227,0,False
e0d75_a2d4_n4_tm1d2_w0d20,0.75,-1.2,0.2,11.12345285519896,1,False
e0d75_a2d4_n4_tm1d2_w0d50,0.75,-1.2,0.5,11.145483318129791,1,False
e0d75_a2d4_n4_tm1d2_w0d80,0.75,-1.2,0.8,11.037343150500197,3,False
e0d75_a2d4_n4_tm0d9_w0d20,0.75,-0.9,0.2,11.151335748318044,1,False
e0d75_a2d4_n4_tm0d9_w0d50,0.75,-0.9,0.5,11.167758020805564,1,False
e0d75_a2d4_n4_tm0d9_w0d80,0.75,-0.9,0.8,11.090747781570858,3,False
e0d75_a2d4_n4_tm0d6_w0d20,0.75,-0.6,0.2,11.176107467176609,1,False
e0d75_a2d4_n4_tm0d6_w0d50,0.75,-0.6,0.5,11.186922493650432,1,False
e0d75_a2d4_n4_tm0d6_w0d80,0.75,-0.6,0.8,11.13758067228275,3,False
e0d75_a2d4_n4_tm0d3_w0d20,0.75,-0.3,0.2,11.199778623140041,1,False
e0d75_a2d4_n4_tm0d3_w0d50,0.75,-0.3,0.5,11.20505802896204,1,False
e0d75_a2d4_n4_tm0d3_w0d80,0.75,-0.3,0.8,11.181092168478692,2,False
e0d75_a2d4_n4_tp0d0_w0d20,0.75,0.0,0.2,11.224415589295178,2,False
e0d75_a2d4_n4_tp0d0_w0d50,0.75,0.0,0.5,11.224402084160252,2,False
e0d75_a2d4_n4_tp0d0_w0d80,0.75,0.0,0.8,11.224400926063446,2,False
e0d75_a2d4_n4_tp0d3_w0d20,0.75,0.3,0.2,11.252292881352302,2,False
e0d75_a2d4_n4_tp0d3_w0d50,0.75,0.3,0.5,11.247503819859604,3,False
e0d75_a2d4_n4_tp0d3_w0d80,0.75,0.3,0.8,11.270721923269049,0,False
e0d75_a2d4_n4_tp0d6_w0d20,0.75,0.6,0.2,11.286102551190949,2,False
e0d75_a2d4_n4_tp0d6_w0d50,0.75,0.6,0.5,11.277474781902109,3,False
e0d75_a2d4_n4_tp0d6_w0d80,0.75,0.6,0.8,11.323634338245334,0,False
e0d75_a2d4_n4_tp0d9_w0d20,0.75,0.9,0.2,11.32924206520311,2,False
e0d75_a2d4_n4_tp0d9_w0d50,0.75,0.9,0.5,11.318359667445282,3,False
e0d75_a2d4_n4_tp0d9_w0d80,0.75,0.9,0.8,11.38741438806707,0,False
e0d75_a2d4_n4_tp1d2_w0d20,0.75,1.2,0.2,11.38622114621725,2,False
e0d75_a2d4_n4_tp1d2_w0d50,0.75,1.2,0.5,11.375682572231767,3,False
e0d75_a2d4_n4_tp1d2_w0d80,0.75,1.2,0.8,11.467473833876774,0,False
e1d00_a2d4_n4_tm1d2_w0d20,1.0,-1.2,0.2,11.100159911517405,1,False
e1d00_a2d4_n4_tm1d2_w0d50,1.0,-1.2,0.5,11.130713990842782,1,False
e1d00_a2d4_n4_tm1d2_w0d80,1.0,-1.2,0.8,10.984652289307961,4,True
e1d00_a2d4_n4_tm0d9_w0d20,1.0,-0.9,0.2,11.136413245071555,1,False
e1d00_a2d4_n4_tm0d9_w0d50,1.0,-0.9,0.5,11.158720283901452,1,False
e1d00_a2d4_n4_tm0d9_w0d80,1.0,-0.9,0.8,11.05531801937419,4,True
e1d00_a2d4_n4_tm0d6_w0d20,1.0,-0.6,0.2,11.168972329700393,1,False
e1d00_a2d4_n4_tm0d6_w0d50,1.0,-0.6,0.5,11.18342446163907,1,False
e1d00_a2d4_n4_tm0d6_w0d80,1.0,-0.6,0.8,11.11751288496247,4,True
e1d00_a2d4_n4_tm0d3_w0d20,1.0,-0.3,0.2,11.200381105654747,1,False
e1d00_a2d4_n4_tm0d3_w0d50,1.0,-0.3,0.5,11.207337488732522,1,False
e1d00_a2d4_n4_tm0d3_w0d80,1.0,-0.3,0.8,11.17547918557247,4,True
e1d00_a2d4_n4_tp0d0_w0d20,1.0,0.0,0.2,11.233351209106104,0,False
e1d00_a2d4_n4_tp0d0_w0d50,1.0,0.0,0.5,11.233351209106104,0,False
e1d00_a2d4_n4_tp0d0_w0d80,1.0,0.0,0.8,11.233351209106104,0,False
e1d00_a2d4_n4_tp0d3_w0d20,1.0,0.3,0.2,11.270950261483886,3,False
