domain,system,redshift,baryonic_mass_msun,baryonic_half_mass_radius_kpc,relaxed_target_quality_pass,target_quality_pass,fit_success,fit_at_boundary,fit_rmse_dex,m200_msun,concentration,r200_kpc,halo_scale_kpc
cluster,A209,0.206,36904457401799.54,382.00588474586334,True,True,True,False,0.0008956188868322459,1530964699498117.8,2.793571236400571,2271.0243660949914,812.9466456782162
cluster,A2261,0.224,42371986415253.625,368.423812963409,True,True,True,False,0.00117341666315487,2267248707692811.5,3.870636290078126,2571.3333933901845,664.3180088972616
cluster,A383,0.187,15027831132605.94,232.84990370436898,True,True,True,False,0.0015963699223850033,769074272781722.8,6.073656811864792,1818.0038526125452,299.32607470693824
cluster,A611,0.288,34362030926682.71,361.6815594910199,True,True,True,False,0.0013135873050986989,1519896058500175.8,4.054708867214484,2196.4217346590144,541.6965327446354
cluster,MACS0329,0.45,9350531873074.537,114.54500035246899,True,True,True,False,0.0012302911788362894,847338202714435.1,6.780588381054646,1695.7190062442496,250.08434533235877
cluster,MACS0416,0.397,21771898764743.156,267.1734841845295,True,True,True,False,0.0011585515644365447,1052632876640892.2,2.9828317288973096,1861.9956960851675,624.237592099608
cluster,MACS0429,0.399,8547444999967.0625,112.66317136619384,True,True,True,False,0.0017976960366124246,903448202931076.6,4.786625286022261,1768.1054236067237,369.38454922926275
cluster,MACS0647,0.584,10042372231441.414,126.56673158398434,True,True,True,False,0.0004944174673385016,1328684560059215.0,4.136876585176758,1865.7565879036645,451.00610315256614
cluster,MACS0717,0.548,73973952546996.58,427.1333806942173,True,True,True,False,0.0013757784472128412,2624142204342869.0,1.8798366096843486,2375.4770952451995,1263.661470899897
cluster,MACS0744,0.686,55600516295338.9,368.7015730667874,True,True,True,False,0.0021559984615320393,1706000056093014.5,3.5759821196045465,1945.156116928218,543.9501798021644
cluster,MACS1115,0.355,10299978423311.516,118.52516072484826,True,True,True,False,0.0006922956824985294,1701006553688152.8,3.0113052033710916,2221.6701560313254,737.7764809572319
cluster,MACS1149,0.544,27662810791704.44,266.25415497759263,True,True,True,False,0.0011305108808898007,2461883031533159.0,2.16066175041708,2329.261410026642,1078.0314917765431
cluster,MACS1206,0.439,63398476894051.53,377.0928470872809,True,True,True,False,0.001568057649645139,1752663964484817.5,3.8427163120693377,2170.1460418640695,564.7427146906471
cluster,MACS1720,0.387,23275354604390.42,243.0072515102516,True,True,True,False,0.0006047253562079181,1393451184602310.5,4.2141771983937195,2052.6311610224425,487.07756327968974
cluster,MACS1931,0.352,48314648508537.72,339.1539291821856,True,True,True,False,0.002034039221088548,1364447340487198.2,4.497943853831264,2066.693228610952,459.4751059087991
cluster,MS2137,0.313,8847820736838.44,108.79348772177224,True,True,True,False,0.0013410599630124657,1363453008353279.2,2.7614743830090274,2097.9407856549583,759.7176343779612
cluster,RXJ1347,0.451,79813953630966.75,342.6667996293961,True,True,True,False,0.0013659678385793675,3288365404882542.0,3.306044219579238,2663.7092448486424,805.708897985537
cluster,RXJ1532,0.362,45507064789849.51,325.6572474480728,True,True,True,False,0.0054191477036231684,538100497957924.5,5.500877740856178,1509.6178023756715,274.4321676454326
cluster,RXJ2129,0.234,36147546442004.695,355.5589255484801,True,True,True,False,0.0010254438062357262,598368405959331.2,5.73693378690355,1643.1890923645785,286.4228790849393
cluster,RXJ2248,0.348,77104340060847.53,373.2148666082213,True,True,True,False,0.0007798761264891605,1720834451814150.5,3.752151573683017,2236.419079019974,596.036443385138
