cohort,system_label,variant_id,family,quadrupole_Q,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec,width_over_R80,return_length_over_R80,travel_mode
P0581_four,MACS0329,scalar_control,control,0.27846805628929305,0.0,3,3,True,19.640918303224144,,,
P0581_four,MACS0329,fixed_support,baseline,0.27846805628929305,0.00943621290272878,3,3,True,19.646486132754166,0.23,0.36,constant
P0581_four,MACS0329,width_minus_linear,width,0.27846805628929305,0.00943621290272878,3,3,True,19.64567101160884,0.1659523470534626,0.36,constant
P0581_four,MACS0329,width_minus_rational,width,0.27846805628929305,0.00943621290272878,3,3,True,19.645876093250326,0.17990281326822247,0.36,constant
P0581_four,MACS0329,width_minus_even,width,0.27846805628929305,0.00943621290272878,3,3,True,19.64625344902296,0.22090246298319063,0.36,constant
P0581_four,MACS0329,width_plus_even,width,0.27846805628929305,0.00943621290272878,3,3,True,19.64637432027277,0.23875112952185193,0.36,constant
P0581_four,MACS0329,width_plus_linear,width,0.27846805628929305,0.00943621290272878,3,3,True,19.646894643811457,0.2940476529465374,0.36,constant
P0581_four,MACS0329,return_minus_linear,return_length,0.27846805628929305,0.00943621290272878,3,3,True,19.644083535856275,0.23,0.2597514997358545,constant
P0581_four,MACS0329,return_minus_rational,return_length,0.27846805628929305,0.00943621290272878,3,3,True,19.644562725077254,0.23,0.2815870120720004,constant
P0581_four,MACS0329,return_minus_even,return_length,0.27846805628929305,0.00943621290272878,3,3,True,19.646362394512373,0.23,0.3457603768432549,constant
P0581_four,MACS0329,return_plus_even,return_length,0.27846805628929305,0.00943621290272878,3,3,True,19.64637788893626,0.23,0.3736974201211595,constant
P0581_four,MACS0329,return_plus_linear,return_length,0.27846805628929305,0.00943621290272878,3,3,True,19.648802852968473,0.23,0.46024850026414543,constant
P0581_four,MACS0329,phase_hard_no_cross,center_crossing,0.27846805628929305,0.00943621290272878,3,3,True,19.64253092056997,0.23,0.36,hard_no_cross
P0581_four,MACS0329,phase_tanh_no_cross,center_crossing,0.27846805628929305,0.00943621290272878,3,3,True,19.642603856288527,0.23,0.36,tanh_no_cross
P0581_four,MACS0329,phase_rational_no_cross,center_crossing,0.27846805628929305,0.00943621290272878,3,3,True,19.641987803594798,0.23,0.36,rational_no_cross
P0581_four,MACS0329,joint_rational_narrow,joint,0.27846805628929305,0.00943621290272878,3,3,True,19.644755946702617,0.17990281326822247,0.2815870120720004,constant
P0581_four,MACS0329,joint_even_narrow,joint,0.27846805628929305,0.00943621290272878,3,3,True,19.646134369615908,0.22090246298319063,0.3457603768432549,constant
P0581_four,MACS0329,joint_even_wide,joint,0.27846805628929305,0.00943621290272878,3,3,True,19.64628924894161,0.23875112952185193,0.3736974201211595,constant
