system,total_mass,screen_order,screen_power,memory_length,analysis_half_width,integrated_response
galaxy,0.3,before_memory,2.0,0.5,0.5,4.222738071070169e-09
galaxy,0.3,before_memory,2.0,0.5,1.0,6.81379145870458e-09
galaxy,0.3,before_memory,2.0,0.5,1.5,7.844127125950528e-09
galaxy,0.3,before_memory,2.0,0.5,2.0,8.250073696510193e-09
cluster,0.3,before_memory,2.0,0.5,0.5,3.601070339666125e-08
cluster,0.3,before_memory,2.0,0.5,1.0,1.4446392078574904e-07
cluster,0.3,before_memory,2.0,0.5,1.5,1.9614727843465558e-07
cluster,0.3,before_memory,2.0,0.5,2.0,1.9823736475202904e-07
galaxy,1.0,before_memory,2.0,0.5,0.5,5.230536928897671e-09
galaxy,1.0,before_memory,2.0,0.5,1.0,1.4676025941158018e-07
galaxy,1.0,before_memory,2.0,0.5,1.5,5.929133048425291e-07
galaxy,1.0,before_memory,2.0,0.5,2.0,9.239170166023815e-07
cluster,1.0,before_memory,2.0,0.5,0.5,8.62328409741987e-06
cluster,1.0,before_memory,2.0,0.5,1.0,2.0656897949514238e-05
cluster,1.0,before_memory,2.0,0.5,1.5,2.918853721230202e-05
cluster,1.0,before_memory,2.0,0.5,2.0,3.016961147084514e-05
galaxy,3.0,before_memory,2.0,0.5,0.5,2.2342048174862327e-08
galaxy,3.0,before_memory,2.0,0.5,1.0,8.744525242957092e-07
galaxy,3.0,before_memory,2.0,0.5,1.5,1.8304123075678453e-05
galaxy,3.0,before_memory,2.0,0.5,2.0,6.466090515790986e-05
cluster,3.0,before_memory,2.0,0.5,0.5,3.687417807989442e-05
cluster,3.0,before_memory,2.0,0.5,1.0,4.9088285556046136e-05
cluster,3.0,before_memory,2.0,0.5,1.5,8.911181929941243e-05
cluster,3.0,before_memory,2.0,0.5,2.0,0.00014867682854945616
galaxy,0.3,before_memory,2.0,1.0,0.5,1.3636914880027175e-09
galaxy,0.3,before_memory,2.0,1.0,1.0,5.6189733651179e-09
galaxy,0.3,before_memory,2.0,1.0,1.5,7.792561308960515e-09
galaxy,0.3,before_memory,2.0,1.0,2.0,9.125793961458918e-09
cluster,0.3,before_memory,2.0,1.0,0.5,2.1049949489395815e-09
cluster,0.3,before_memory,2.0,1.0,1.0,1.5422567274683417e-08
cluster,0.3,before_memory,2.0,1.0,1.5,2.5638819530753145e-08
cluster,0.3,before_memory,2.0,1.0,2.0,2.75059921270923e-08
galaxy,1.0,before_memory,2.0,1.0,0.5,6.365109323045936e-09
galaxy,1.0,before_memory,2.0,1.0,1.0,2.1335861675609709e-07
galaxy,1.0,before_memory,2.0,1.0,1.5,9.970906846385509e-07
galaxy,1.0,before_memory,2.0,1.0,2.0,1.952228726520871e-06
cluster,1.0,before_memory,2.0,1.0,0.5,4.5308188940428216e-07
cluster,1.0,before_memory,2.0,1.0,1.0,2.202004503118462e-06
cluster,1.0,before_memory,2.0,1.0,1.5,4.358178184730171e-06
cluster,1.0,before_memory,2.0,1.0,2.0,5.4450162103240076e-06
galaxy,3.0,before_memory,2.0,1.0,0.5,3.3056393137162224e-09
galaxy,3.0,before_memory,2.0,1.0,1.0,1.599610285308825e-06
galaxy,3.0,before_memory,2.0,1.0,1.5,4.051983144676839e-05
galaxy,3.0,before_memory,2.0,1.0,2.0,0.00016855051885688403
cluster,3.0,before_memory,2.0,1.0,0.5,1.5334916932792077e-06
cluster,3.0,before_memory,2.0,1.0,1.0,4.361503722864863e-06
cluster,3.0,before_memory,2.0,1.0,1.5,4.1359886626204985e-05
cluster,3.0,before_memory,2.0,1.0,2.0,0.00016368763237149299
galaxy,0.3,before_memory,2.0,2.0,0.5,1.2720497696631184e-10
galaxy,0.3,before_memory,2.0,2.0,1.0,6.998855058284778e-10
galaxy,0.3,before_memory,2.0,2.0,1.5,1.1138394163581126e-09
galaxy,0.3,before_memory,2.0,2.0,2.0,1.4228489611963739e-09
cluster,0.3,before_memory,2.0,2.0,0.5,5.392273094964397e-11
cluster,0.3,before_memory,2.0,2.0,1.0,5.463137289756574e-10
cluster,0.3,before_memory,2.0,2.0,1.5,1.0874933531292073e-09
cluster,0.3,before_memory,2.0,2.0,2.0,1.3273097498946182e-09
galaxy,1.0,before_memory,2.0,2.0,0.5,7.261643380870025e-10
galaxy,1.0,before_memory,2.0,2.0,1.0,3.204326755133672e-08
galaxy,1.0,before_memory,2.0,2.0,1.5,1.6231190792167967e-07
galaxy,1.0,before_memory,2.0,2.0,2.0,3.5667275827157076e-07
cluster,1.0,before_memory,2.0,2.0,0.5,8.65024673517432e-09
cluster,1.0,before_memory,2.0,2.0,1.0,6.329784533337677e-08
cluster,1.0,before_memory,2.0,2.0,1.5,1.8179590684145105e-07
cluster,1.0,before_memory,2.0,2.0,2.0,3.3673571616097433e-07
galaxy,3.0,before_memory,2.0,2.0,0.5,1.4538312721206618e-10
galaxy,3.0,before_memory,2.0,2.0,1.0,2.47911551244328e-07
galaxy,3.0,before_memory,2.0,2.0,1.5,6.930899198542487e-06
galaxy,3.0,before_memory,2.0,2.0,2.0,3.225087655258271e-05
cluster,3.0,before_memory,2.0,2.0,0.5,1.470391017187498e-08
cluster,3.0,before_memory,2.0,2.0,1.0,3.2040442201386697e-07
cluster,3.0,before_memory,2.0,2.0,1.5,7.3988802048887825e-06
cluster,3.0,before_memory,2.0,2.0,2.0,3.365589592955475e-05
galaxy,0.3,before_memory,4.0,0.5,0.5,2.4735533007274634e-08
galaxy,0.3,before_memory,4.0,0.5,1.0,4.319306564808201e-08
galaxy,0.3,before_memory,4.0,0.5,1.5,4.4717847477970876e-08
galaxy,0.3,before_memory,4.0,0.5,2.0,4.515266962462623e-08
cluster,0.3,before_memory,4.0,0.5,0.5,4.488297956440545e-08
cluster,0.3,before_memory,4.0,0.5,1.0,1.9878262060011722e-07
cluster,0.3,before_memory,4.0,0.5,1.5,2.6886971082892985e-07
cluster,0.3,before_memory,4.0,0.5,2.0,2.7131256538012075e-07
galaxy,1.0,before_memory,4.0,0.5,0.5,5.022567668600397e-10
galaxy,1.0,before_memory,4.0,0.5,1.0,1.7306561000544431e-07
galaxy,1.0,before_memory,4.0,0.5,1.5,8.237341659426947e-07
galaxy,1.0,before_memory,4.0,0.5,2.0,1.2414556932210324e-06
cluster,1.0,before_memory,4.0,0.5,0.5,1.7437127546382753e-05
cluster,1.0,before_memory,4.0,0.5,1.0,3.814940334258289e-05
cluster,1.0,before_memory,4.0,0.5,1.5,5.3163773378251216e-05
cluster,1.0,before_memory,4.0,0.5,2.0,5.462103169955955e-05
galaxy,3.0,before_memory,4.0,0.5,0.5,7.293277297906311e-10
galaxy,3.0,before_memory,4.0,0.5,1.0,2.0855385821285167e-07
galaxy,3.0,before_memory,4.0,0.5,1.5,2.0725758892864984e-05
galaxy,3.0,before_memory,4.0,0.5,2.0,9.342462782160348e-05
cluster,3.0,before_memory,4.0,0.5,0.5,8.483746283698177e-06
cluster,3.0,before_memory,4.0,0.5,1.0,9.126861866813778e-06
cluster,3.0,before_memory,4.0,0.5,1.5,3.536872653788093e-05
cluster,3.0,before_memory,4.0,0.5,2.0,0.0001218352471831941
galaxy,0.3,before_memory,4.0,1.0,0.5,6.949031454066555e-09
galaxy,0.3,before_memory,4.0,1.0,1.0,2.3234515362350673e-08
galaxy,0.3,before_memory,4.0,1.0,1.5,2.6873999014478125e-08
galaxy,0.3,before_memory,4.0,1.0,2.0,2.8401836163560592e-08
cluster,0.3,before_memory,4.0,1.0,0.5,2.6876761450046505e-09
cluster,0.3,before_memory,4.0,1.0,1.0,2.1120935387902064e-08
cluster,0.3,before_memory,4.0,1.0,1.5,3.4541878785751014e-08
cluster,0.3,before_memory,4.0,1.0,2.0,3.6685012436487563e-08
galaxy,1.0,before_memory,4.0,1.0,0.5,9.832092777209797e-10
galaxy,1.0,before_memory,4.0,1.0,1.0,2.0282847153709976e-07
galaxy,1.0,before_memory,4.0,1.0,1.5,1.2318811349963034e-06
galaxy,1.0,before_memory,4.0,1.0,2.0,2.408705388019956e-06
cluster,1.0,before_memory,4.0,1.0,0.5,8.966121659280905e-07
cluster,1.0,before_memory,4.0,1.0,1.0,3.8117627375189075e-06
cluster,1.0,before_memory,4.0,1.0,1.5,7.266356872706484e-06
cluster,1.0,before_memory,4.0,1.0,2.0,8.704188619473949e-06
galaxy,3.0,before_memory,4.0,1.0,0.5,4.721082354129838e-10
galaxy,3.0,before_memory,4.0,1.0,1.0,6.007736992445781e-07
galaxy,3.0,before_memory,4.0,1.0,1.5,4.348101588460072e-05
galaxy,3.0,before_memory,4.0,1.0,2.0,0.00022168372375816955
cluster,3.0,before_memory,4.0,1.0,0.5,2.5595852325878303e-07
cluster,3.0,before_memory,4.0,1.0,1.0,8.974599596237106e-07
cluster,3.0,before_memory,4.0,1.0,1.5,4.084158117457663e-05
cluster,3.0,before_memory,4.0,1.0,2.0,0.00021313199188931488
galaxy,0.3,before_memory,4.0,2.0,0.5,4.2811771279982233e-10
galaxy,0.3,before_memory,4.0,2.0,1.0,2.0904803197751076e-09
galaxy,0.3,before_memory,4.0,2.0,1.5,2.812701889383634e-09
galaxy,0.3,before_memory,4.0,2.0,2.0,3.2090327902192647e-09
cluster,0.3,before_memory,4.0,2.0,0.5,7.216376840904339e-11
cluster,0.3,before_memory,4.0,2.0,1.0,7.66032525039543e-10
cluster,0.3,before_memory,4.0,2.0,1.5,1.489334360391511e-09
cluster,0.3,before_memory,4.0,2.0,2.0,1.7681834952476483e-09
galaxy,1.0,before_memory,4.0,2.0,0.5,1.4533439972976041e-10
galaxy,1.0,before_memory,4.0,2.0,1.0,2.9752932243389696e-08
galaxy,1.0,before_memory,4.0,2.0,1.5,1.9319094534515538e-07
galaxy,1.0,before_memory,4.0,2.0,2.0,4.2861972805697387e-07
cluster,1.0,before_memory,4.0,2.0,0.5,1.6715477251012167e-08
cluster,1.0,before_memory,4.0,2.0,1.0,1.0346628965578298e-07
cluster,1.0,before_memory,4.0,2.0,1.5,2.772810387175797e-07
cluster,1.0,before_memory,4.0,2.0,2.0,4.766368789483945e-07
galaxy,3.0,before_memory,4.0,2.0,0.5,3.155168377879514e-11
galaxy,3.0,before_memory,4.0,2.0,1.0,1.0450198876956218e-07
galaxy,3.0,before_memory,4.0,2.0,1.5,7.351008271744185e-06
galaxy,3.0,before_memory,4.0,2.0,2.0,4.129529131673685e-05
cluster,3.0,before_memory,4.0,2.0,0.5,1.7765409913528092e-09
cluster,3.0,before_memory,4.0,2.0,1.0,3.705421221416197e-07
cluster,3.0,before_memory,4.0,2.0,1.5,1.0382362969101388e-05
cluster,3.0,before_memory,4.0,2.0,2.0,4.94908715170908e-05
galaxy,0.3,before_memory,8.0,0.5,0.5,4.804481158059621e-08
galaxy,0.3,before_memory,8.0,0.5,1.0,8.919190971318485e-08
galaxy,0.3,before_memory,8.0,0.5,1.5,9.112767539135302e-08
galaxy,0.3,before_memory,8.0,0.5,2.0,9.157014755964689e-08
cluster,0.3,before_memory,8.0,0.5,0.5,4.56486202184336e-08
cluster,0.3,before_memory,8.0,0.5,1.0,2.064999751392059e-07
cluster,0.3,before_memory,8.0,0.5,1.5,2.793889232488324e-07
cluster,0.3,before_memory,8.0,0.5,2.0,2.8187199298032575e-07
galaxy,1.0,before_memory,8.0,0.5,0.5,1.0509973420614033e-10
galaxy,1.0,before_memory,8.0,0.5,1.0,2.063759726427264e-07
galaxy,1.0,before_memory,8.0,0.5,1.5,9.492423454327377e-07
galaxy,1.0,before_memory,8.0,0.5,2.0,1.3888912293442429e-06
cluster,1.0,before_memory,8.0,0.5,0.5,2.675301273572062e-05
cluster,1.0,before_memory,8.0,0.5,1.0,5.736059114493368e-05
cluster,1.0,before_memory,8.0,0.5,1.5,7.801736676794592e-05
cluster,1.0,before_memory,8.0,0.5,2.0,7.969040207734629e-05
galaxy,3.0,before_memory,8.0,0.5,0.5,2.578165480273435e-10
galaxy,3.0,before_memory,8.0,0.5,1.0,8.618954966072226e-08
galaxy,3.0,before_memory,8.0,0.5,1.5,2.3989084562914163e-05
galaxy,3.0,before_memory,8.0,0.5,2.0,0.00011193879671349289
