variant,system,comparable,predictionNormalizedRmse,potentialNormalizedRmse,accelerationNormalizedRmse
hybrid_picard20_newton,DDO53,True,4.986355800724316e-09,1.0147042665309092e-09,4.090062279575283e-09
hybrid_picard20_newton,DDO101,False,,,
hybrid_picard40_newton,DDO53,True,4.936213209652239e-09,1.0595472339979616e-09,4.123809273634434e-09
hybrid_picard40_newton,DDO101,True,3.236476113206605e-08,9.18089451820107e-09,5.3953825862803776e-08
hybrid_picard80_newton,DDO53,True,4.999085642797488e-09,1.2373342629450205e-09,4.1291489985117594e-09
hybrid_picard80_newton,DDO101,True,3.2362884582617835e-08,9.179937920094484e-09,5.394839768000694e-08
