variant,routing_fraction,radius_kpc,inward_acceleration_km2_s2_kpc,circular_speed_km_s,azimuthal_scatter_fraction,ring_cells
coherent_monopole_projected_routing,0.08352413225178856,0.375,472.39115314840024,13.309646217336136,0.1462135900132564,8
coherent_monopole_projected_routing,0.08352413225178856,0.75,600.5490728214478,21.222907543880172,0.030004415171490113,12
coherent_monopole_projected_routing,0.08352413225178856,1.125,611.7068721134011,26.23299889695374,0.030049676611235088,16
coherent_monopole_projected_routing,0.08352413225178856,1.5,612.3751881893795,30.307800683719517,0.02942226065002555,32
coherent_monopole_projected_routing,0.08352413225178856,1.875,609.8832218536032,33.81613580785815,0.03206688379602062,28
coherent_monopole_projected_routing,0.08352413225178856,2.25,594.0200730279269,36.558790520377386,0.02744294199789527,40
coherent_monopole_projected_routing,0.08352413225178856,2.625,575.9855999279605,38.88395812942525,0.024349942764218216,40
coherent_monopole_projected_routing,0.08352413225178856,3.0,557.411103279164,40.89294939029823,0.03175236122797236,48
coherent_monopole_projected_routing,0.08352413225178856,3.375,538.4073574382463,42.62774720008179,0.03718833180179128,68
coherent_monopole_projected_routing,0.08352413225178856,3.75,520.6377029572685,44.18587315070007,0.036578649793174066,56
coherent_monopole_projected_routing,0.08352413225178856,4.125,502.1262655627636,45.51121669925338,0.03521166253087206,72
coherent_monopole_projected_routing,0.08352413225178856,4.5,485.0503235452925,46.719658131816594,0.029979356356962167,68
coherent_monopole_projected_routing,0.08352413225178856,4.875,467.5650172331121,47.74284720260639,0.033493379277938655,88
coherent_monopole_projected_routing,0.08352413225178856,5.25,450.6899333642441,48.64280162739685,0.03963552708486534,88
coherent_monopole_projected_routing,0.08352413225178856,5.625,434.22933510315124,49.422059952568,0.03880222481204423,84
coherent_monopole_projected_routing,0.08352413225178856,6.0,417.49118626622396,50.04944672618613,0.038426058527041326,112
coherent_monopole_projected_routing,0.08352413225178856,6.375,398.4225639493144,50.39785556129228,0.032730719071526825,112
coherent_monopole_projected_routing,0.08352413225178856,6.75,382.2305343374602,50.79425269435368,0.029932579728576693,112
coherent_monopole_projected_routing,0.08352413225178856,7.125,368.0402575589823,51.20826920632789,0.029824760539626752,116
coherent_monopole_projected_routing,0.08352413225178856,7.5,355.34009062177665,51.62412885137458,0.029125224309328863,112
coherent_monopole_projected_routing,0.08352413225178856,7.875,341.867664362406,51.886490118854134,0.02923844883206045,144
coherent_monopole_projected_routing,0.08352413225178856,8.25,327.8013056209215,52.003468839805315,0.02589079142920873,140
coherent_monopole_projected_routing,0.08352413225178856,8.625,313.9380439913591,52.03571494104287,0.0224325177977035,144
coherent_monopole_projected_routing,0.08352413225178856,9.0,301.10805655838243,52.057396295103366,0.020546764497265863,144
coherent_monopole_projected_routing,0.08352413225178856,9.375,288.5944853481177,52.015125686079074,0.01888870013929282,168
coherent_monopole_projected_routing,0.08352413225178856,9.75,277.5889456315595,52.02395813380317,0.016332377383670365,164
coherent_monopole_projected_routing,0.08352413225178856,10.125,267.5987943307529,52.052260206439385,0.014482445940868336,160
coherent_monopole_projected_routing,0.08352413225178856,10.5,258.31578188433303,52.07989736727115,0.013384726149838332,184
coherent_monopole_projected_routing,0.08352413225178856,10.875,249.61606149637547,52.10158029055437,0.010949224853710554,172
coherent_monopole_projected_routing,0.08352413225178856,11.25,241.27790545914561,52.09967789166635,0.012038692546214714,200
coherent_monopole_projected_routing,0.08352413225178856,11.625,233.57815921390502,52.10898291908647,0.012082097990393201,192
