model,parameter,value,lower,upper
two_potential_rar_metric_P0707,map_center_x_arcsec,1.6031165105904908,-3.0,3.0
two_potential_rar_metric_P0707,map_center_y_arcsec,1.2516942714758394,-3.0,3.0
two_potential_rar_metric_P0707,external_shear_gamma1_at_reference_source,-0.111597548855603,-0.25,0.25
two_potential_rar_metric_P0707,external_shear_gamma2_at_reference_source,-0.1692376612615169,-0.25,0.25
