system_label,variant_id,source_family,image_id,observed_x_arcsec,observed_y_arcsec,assigned,assigned_root_index,assigned_root_x_arcsec,assigned_root_y_arcsec,assigned_distance_arcsec,assigned_signed_magnification
RXJ2129,two_potential_rar_metric_P0707,1,1a,-5.748113029341908,4.227443603999998,True,2,-5.539314637224334,3.329699313399284,0.921705798971159,10.325641963928918
RXJ2129,two_potential_rar_metric_P0707,1,1b,-4.783674198960802,-0.969769187999997,True,0,-4.058112038655296,-0.8867520768218634,0.7302960284812968,-9.062616350525625
RXJ2129,two_potential_rar_metric_P0707,1,1c,0.456839445991538,-8.935221672000038,True,1,1.1478834453868847,-7.6230466927401865,1.4830188755696632,3.9292211917520556
RXJ2129,two_potential_rar_metric_P0707,2,2a,-6.776271782658472,11.277998675999983,True,2,-6.63500515252347,11.159496026441818,0.18438855371742752,3.27386180972176
RXJ2129,two_potential_rar_metric_P0707,2,2b,-0.7772390574582798,-4.156659036000021,True,0,-0.7272418523419779,-4.196648031136107,0.06402218561901372,-8.002051119241766
RXJ2129,two_potential_rar_metric_P0707,2,2c,0.24443970348725166,-5.292556488000027,True,1,1.1216681092957834,-6.192975304707243,1.2570933622598603,8.901595113802006
RXJ2129,two_potential_rar_metric_P0707,3,3a,-2.0174375536347493,8.154932903999962,True,1,-2.4201990718191286,8.207986647731564,0.40624074174573466,13.207057307858307
RXJ2129,two_potential_rar_metric_P0707,3,3b,2.98907637506174,5.134105511999998,True,3,1.5950142705659844,4.382697881531977,1.583673760064459,-71.07390853286103
RXJ2129,two_potential_rar_metric_P0707,3,3c,1.5634781039797112,3.965703875999982,True,2,1.301314325779645,4.216467955857724,0.3627843303493603,77.51140075065443
RXJ2129,two_potential_rar_metric_P0707,3,3d,7.381071049134713,-15.531179832000019,True,4,8.072635269754493,-13.88066912027978,1.7895381193885458,2.3942486409948067
RXJ2129,two_potential_rar_metric_P0707,4,4a,-3.4189158540684597,10.495438775999993,True,0,-3.6219110897912494,10.650041155561933,0.25516457726801556,5.573415395776673
RXJ2129,two_potential_rar_metric_P0707,4,4b,3.486595771864287,3.41780230799999,True,2,3.2273613980096725,3.8525874177802115,0.5062020863986965,-7.421466975339109
RXJ2129,two_potential_rar_metric_P0707,4,4c,6.864471675477358,-13.912761239999998,True,4,7.408522252633627,-12.495039515857835,1.518527549176734,2.7174897954844623
RXJ2129,two_potential_rar_metric_P0707,5,5a,5.239793645663579,14.528709863999984,True,2,5.2406812437295685,14.645423157780305,0.11671666879832729,5.988475645352351
RXJ2129,two_potential_rar_metric_P0707,5,5b,13.2029839889991,1.9107456839999704,True,0,13.035497199668432,2.8601365596132684,0.9640512742059314,-48.30477137505563
RXJ2129,two_potential_rar_metric_P0707,5,5c,13.970143058665721,-3.314626776000029,True,1,13.339996333892506,1.9364283490173846,5.288729981830615,48.78325948339809
RXJ2129,two_potential_rar_metric_P0707,6,6a,-9.90574798751465,17.874595907999986,True,2,-9.326649924953076,18.215182828404913,0.6718288594675588,2.0709128718070566
RXJ2129,two_potential_rar_metric_P0707,6,6b,0.8049590237318596,-5.299632900000001,True,0,0.4928383235852056,-5.638951230559925,0.4610382423552431,-12.284505717346164
RXJ2129,two_potential_rar_metric_P0707,6,6c,1.7125179231929197,-6.634811124000012,True,1,1.915516525599878,-6.943318835562357,0.3693039949318355,15.159934380595137
RXJ2129,two_potential_rar_metric_P0707,7,7a,-10.01842785083087,10.257536087999991,True,2,-10.217165134556895,10.134218716118143,0.23388818300770284,4.099767482263851
RXJ2129,two_potential_rar_metric_P0707,7,7b,-7.485830922116288,-2.1700512000000174,True,1,-7.147186809727379,-2.0600760263990106,0.3560538915167812,-3.5407984664801866
RXJ2129,two_potential_rar_metric_P0707,7,7c,3.7040355081620837,-19.321482528000033,True,0,3.710693726970246,-15.782781171159838,3.538707620697185,2.612327481553689
