name,T,D,e_D,f_D,Inc,e_Inc,L36,Reff,SBeff,Rd,SBdisk,MHI,RHI,Vf,e_Vf,Q,Mbar,Sigma0,HSB_LSB
D512-2,10,15.2,4.56,1,56.0,10.0,0.325,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2,0.2435,46.97,LSB
D564-8,10,8.79,0.28,2,63.0,7.0,0.033,0.72,10.11,0.61,21.13,0.029,0.0,24.0,0.0,2,0.0455,10.565,LSB
D631-7,10,7.72,0.18,2,59.0,3.0,0.196,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,0.388,57.52,LSB
DDO064,10,6.8,2.04,1,60.0,5.0,0.157,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,0.2895,75.825,LSB
DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,0.3015,35.63,LSB
DDO161,10,7.5,2.25,1,70.0,10.0,0.548,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,1.652,84.685,LSB
DDO168,10,4.25,0.21,2,63.0,6.0,0.191,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,0.5085,46.11,LSB
DDO170,10,15.4,4.62,1,66.0,7.0,0.543,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,1.0065,36.965,LSB
ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,29.0065,1147.625,HSB
ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,3.229,660.39,HSB
ESO444-G084,10,4.83,0.48,2,32.0,6.0,0.071,0.75,19.81,0.46,66.81,0.135,2.95,62.7,0.0,2,0.1705,33.405,LSB
ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,179.8865,3279.445,HSB
F561-1,9,66.4,10.0,1,24.0,10.0,4.077,5.39,22.12,2.79,93.07,1.622,10.69,50.0,2.9,3,3.6605,46.535,LSB
F563-1,9,48.9,9.8,1,25.0,5.0,1.903,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,4.1515,20.885,LSB
F563-V1,10,54.0,10.8,1,60.0,10.0,1.54,5.01,9.75,3.79,40.63,0.61,6.83,28.6,0.0,3,1.38,20.315,LSB
F563-V2,10,59.7,11.9,1,29.0,10.0,2.986,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,3.662,73.08,LSB
F565-V2,10,51.8,10.4,1,60.0,10.0,0.559,3.57,6.93,2.17,40.26,0.699,7.31,78.5,0.0,2,0.9785,20.13,LSB
F567-2,9,79.0,11.8,1,20.0,10.0,2.134,5.43,11.5,3.08,46.65,2.449,14.94,48.1,0.0,3,3.516,23.325,LSB
F568-1,5,90.7,9.7,1,26.0,5.0,6.252,7.0,20.36,5.18,57.13,4.498,16.31,133.0,0.0,1,7.624,28.565,LSB
F568-3,7,82.4,8.24,1,40.0,10.0,8.346,7.47,23.81,4.99,132.08,3.195,16.14,107.0,0.0,1,7.368,66.04,LSB
