galaxy,grid_size,radius_kpc,radius_over_Rdisk,g_newton,g_qumond_exact,g_algebraic,algebraic_relative_error
F574-2,65,3.702153846153846,0.9846153846153847,8.490223071532677e-12,2.8802704569303173e-11,3.47180585638682e-11,0.2053749494368453
F574-2,65,4.627692307692308,1.2307692307692308,8.329028134278542e-12,2.963500032296898e-11,3.434683159434778e-11,0.15899548574416023
F574-2,65,5.553230769230769,1.476923076923077,7.649511348665082e-12,2.8902834940277466e-11,3.274689833258292e-11,0.13299952756359446
F574-2,65,6.47876923076923,1.723076923076923,7.1376658630503524e-12,2.853266310866966e-11,3.150118119775073e-11,0.1040392927142888
F574-2,65,7.404307692307692,1.9692307692307693,6.3752537724063575e-12,2.7189636489797737e-11,2.957232883843259e-11,0.08763237233895715
F574-2,65,8.329846153846153,2.2153846153846155,5.8238603339896935e-12,2.630065165335061e-11,2.811517311082914e-11,0.06899150186065306
F574-2,65,9.255384615384616,2.4615384615384617,5.130276471245897e-12,2.4732151473799567e-11,2.6195653333308304e-11,0.05917406178993856
F574-2,65,10.180923076923076,2.707692307692308,4.643041859488176e-12,2.365675527960093e-11,2.478018287765378e-11,0.04748865957207471
F574-2,65,11.106461538461538,2.953846153846154,4.058647198957663e-12,2.2055830787249408e-11,2.29958818897505e-11,0.04262143247147776
F574-2,65,12.032,3.2,3.660715990619856e-12,2.095856656567366e-11,2.1717472396813156e-11,0.03620981562653469
F574-2,65,12.95753846153846,3.446153846153846,3.1839614503143675e-12,1.9416408880160206e-11,2.0104859143885286e-11,0.03545713669166406
F574-2,65,13.883076923076922,3.6923076923076925,2.8711422077372018e-12,1.8374811392513998e-11,1.89901720358888e-11,0.0334893583520266
F574-2,65,14.808615384615385,3.9384615384615387,2.486483279480167e-12,1.692732171133372e-11,1.7545528054062674e-11,0.03652121423999599
F574-2,65,15.734153846153847,4.184615384615385,2.2451967473169455e-12,1.5972267072758636e-11,1.659008849059398e-11,0.03868088449942486
F574-2,65,16.659692307692307,4.430769230769231,1.9343547011654563e-12,1.462516486339257e-11,1.529152740165294e-11,0.04556273686379453
F574-2,65,17.58523076923077,4.676923076923077,1.7496419577093794e-12,1.3762463326775098e-11,1.4477081943732144e-11,0.05192519681899843
F574-2,65,18.51076923076923,4.923076923076923,1.4958330366561954e-12,1.2505085430308805e-11,1.3294617596532905e-11,0.06313688703881204
UGC05716,65,1.1224615384615384,0.9846153846153846,4.3649646199135533e-11,7.450706750903952e-11,8.814532346597777e-11,0.18304647348097003
UGC05716,65,1.4030769230769229,1.2307692307692306,4.282091626813685e-11,7.618611137587083e-11,8.715528903126293e-11,0.14397870500667387
UGC05716,65,1.6836923076923076,1.476923076923077,3.932740767260274e-11,7.385721535787367e-11,8.291172657413676e-11,0.1225948090838469
UGC05716,65,1.9643076923076919,1.723076923076923,3.669592506402219e-11,7.25807662384636e-11,7.963180665567201e-11,0.09714750591144594
UGC05716,65,2.244923076923077,1.9692307692307691,3.2776237944594585e-11,6.888158412418554e-11,7.458948948904361e-11,0.08286547757913598
UGC05716,65,2.5255384615384613,2.2153846153846155,2.994143274564621e-11,6.644014985221666e-11,7.080521853254938e-11,0.06569926001133308
UGC05716,65,2.8061538461538458,2.4615384615384612,2.6375602971431432e-11,6.231068287724495e-11,6.584662523698908e-11,0.05674696852079286
UGC05716,65,3.0867692307692303,2.7076923076923074,2.387064895078775e-11,5.949345844139129e-11,6.220534949944755e-11,0.04558301247065377
UGC05716,65,3.367384615384615,2.953846153846154,2.0866178990705064e-11,5.5358976072135966e-11,5.762879773647282e-11,0.041001872241624326
UGC05716,65,3.6479999999999992,3.1999999999999997,1.8820348591527558e-11,5.253473337101389e-11,5.435642736013023e-11,0.0346759919052233
UGC05716,65,3.9286153846153837,3.446153846153846,1.6369274357925657e-11,4.858546673262362e-11,5.0233609893227514e-11,0.033922554859336485
UGC05716,65,4.209230769230769,3.6923076923076925,1.4761018703423764e-11,4.592496183237262e-11,4.738577293186105e-11,0.03180865135654165
UGC05716,65,4.489846153846154,3.9384615384615382,1.2783423299357754e-11,4.2233026905054234e-11,4.369617427635494e-11,0.03464462480016084
UGC05716,65,4.770461538461538,4.184615384615384,1.1542929183619568e-11,3.980421490675443e-11,4.125640390973934e-11,0.036483297218317556
UGC05716,65,5.051076923076923,4.430769230769231,9.94483862415933e-12,3.6377499248039534e-11,3.794090465091929e-11,0.04297726438586924
UGC05716,65,5.331692307692307,4.676923076923076,8.995199747489159e-12,3.419201982194387e-11,3.586189836042396e-11,0.04883825369709194
UGC05716,65,5.6123076923076916,4.9230769230769225,7.690325951734354e-12,3.100207555616155e-11,3.2844672273870384e-11,0.0594346244454147
NGC3741,65,0.19692307692307692,0.9846153846153846,2.0762392877316336e-10,2.341616305736121e-10,2.522565027367605e-10,0.07727513734347702
NGC3741,65,0.24615384615384617,1.2307692307692306,2.036819915720946e-10,2.334515010907976e-10,2.484703452669554e-10,0.06433389421778202
NGC3741,65,0.2953846153846154,1.4769230769230768,1.8706476685282595e-10,2.195128448292906e-10,2.3250709011943404e-10,0.05919583111525295
NGC3741,65,0.34461538461538466,1.7230769230769232,1.74547855370905e-10,2.0990464198876836e-10,2.2047445279951923e-10,0.050355298056326214
NGC3741,65,0.39384615384615385,1.9692307692307691,1.559034696733815e-10,1.9350681634072434e-10,2.025206635125047e-10,0.046581548610199475
NGC3741,65,0.44307692307692303,2.215384615384615,1.424194338572125e-10,1.822707883884124e-10,1.894950931062457e-10,0.039635011082733484
NGC3741,65,0.49230769230769234,2.4615384615384612,1.2545820618353994e-10,1.6685549316808616e-10,1.730259656236759e-10,0.03698093684799297
NGC3741,65,0.5415384615384616,2.707692307692308,1.1354314064579278e-10,1.5641226773528072e-10,1.613690392604005e-10,0.03169042682450485
NGC3741,65,0.5907692307692308,2.9538461538461536,9.925207734261146e-11,1.4287209598790183e-10,1.472399953343693e-10,0.030572095385493325
NGC3741,65,0.64,3.1999999999999997,8.95208794505833e-11,1.3383402540690747e-10,1.3748631577747407e-10,0.027289699756561925
NGC3741,65,0.6892307692307693,3.4461538461538463,7.78620985346185e-11,1.2213976677278352e-10,1.2559511143761353e-10,0.028290087300215427
NGC3741,65,0.7384615384615385,3.692307692307692,7.021226889027304e-11,1.1447902045456444e-10,1.1762613572471474e-10,0.027490759945830945
NGC3741,65,0.7876923076923077,3.9384615384615382,6.080563760985574e-11,1.0432407276960445e-10,1.0757633945620234e-10,0.03117465221838489
NGC3741,65,0.8369230769230769,4.184615384615384,5.490510268330563e-11,9.782744802509548e-11,1.0108651713547213e-10,0.03331446517485159
NGC3741,65,0.8861538461538461,4.43076923076923,4.7303624335080015e-11,8.886760620153068e-11,9.244309669339185e-11,0.04023390124577908
NGC3741,65,0.9353846153846155,4.676923076923077,4.278657158302586e-11,8.330062407674448e-11,8.711412911271459e-11,0.04578002960045935
NGC3741,65,0.9846153846153847,4.9230769230769225,3.657980823855855e-11,7.522668404756049e-11,7.948525291421188e-11,0.05660981765405215
